Thu Jul 09 09:30:17 PDT 2015 --  #swagg.Ip pic.twitter.com/3tin97ecxv
Thu Jul 09 08:40:41 PDT 2015 --  I'm using WhatsApp+ by @unlimapps for iOS to add new features to WhatsApp! http://bit.ly/1vo6rze 
Mon Jun 01 14:46:59 PDT 2015 --  Je veux gagner Apprenti en jouant à Jeu de dames. http://link.gc.apple.com/players/G:8010265509/games/com.itchigoo.dames/achievement/com.itchigoo.dames.apprentice …
Tue Apr 14 14:53:29 PDT 2015 --  @kilamell23 #Trilogizz "La pire soirée du Rap Français" Ol'Kainry X S-Pi X Battso #lapiresoiréedurapfrançais https://www.youtube.com/watch?v=DszhAgCCDFY&spfreload=10 …
Tue Mar 10 04:06:28 PDT 2015 --  Kel horeur
Fri Dec 19 09:24:53 PST 2014 --  Ke fer de Noël ?!
Fri Nov 07 06:23:07 PST 2014 --  Mon amour je t'aime de tout mon cœur femme du monde . BEYONCE ne t arrive même pas a la cheville#MillionMaskMarch pic.twitter.com/I4sNJrHkV7
Sat Sep 13 12:02:07 PDT 2014 --  Criminel
Wed Sep 10 03:01:58 PDT 2014 --  Et si on est la pour nicker des meres!!! La chat a ramayad pic.twitter.com/sFzpdrIP94
