Sun Aug 16 19:54:38 PDT 2015 --  #myfavoritevlog https://twitter.com/ZoyaMahil16/status/633039547060760576 …
Thu Aug 13 08:23:26 PDT 2015 --  Meet the #GalaxyS6edgePlus and #GalaxyNote5. #TheNextBigThing is here. pic.twitter.com/I4V9FD3WOg
Sun Jun 21 13:54:18 PDT 2015 --  My poor mom! http://youtu.be/dFOksqPE_Bg 
Sun Jan 25 13:52:17 PST 2015 --  Having fun playing #CSRRacing for iOS, why not join me for FREE? http://nmgam.es/crit 
Mon Jan 19 08:00:14 PST 2015 --  Discover great free apps and get rewarded with gift cards! https://m.freemyapps.com/share/twitter/efad76ad … via @freemyapps
Sat Jan 03 08:08:01 PST 2015 --  This site is giving aways FREE Amazon Codes #Free #Amazon #Gift #Card #Codes http://amazon.freeredeem.com/ 
Wed Dec 31 11:49:19 PST 2014 --  Discover great free apps and get rewarded with gift cards! https://m.freemyapps.com/share/twitter/7498b2ca … via @freemyapps
Wed Dec 31 11:02:30 PST 2014 --  Discover great free apps and get rewarded with gift cards! https://m.freemyapps.com/share/twitter/efad76ad … via @freemyapps
Sat Nov 01 11:31:01 PDT 2014 --  Discover great free apps and get rewarded with gift cards! https://m.freemyapps.com/share/twitter/efad76ad … via @freemyapps
Tue Oct 28 04:37:56 PDT 2014 --  Guys be like I don't chase bitches I chase money I be like keep running cuz you still broke
