Tue Aug 25 06:59:57 PDT 2015 --  かっぱ巻き殿がまたコスホモセックスしておられるぞ
Tue Aug 25 06:57:36 PDT 2015 --  一人でビジネスホテルって言ったらコスするだろ！！！！！
Tue Aug 25 06:58:14 PDT 2015 --  雨が降ってきた……
Tue Aug 25 06:44:30 PDT 2015 --  最近ははだけるとキレるようになりました
Tue Aug 25 00:43:46 PDT 2015 --  そうそう。艦これを詳しく知らない人って，プレイヤーは，艦艇を擬人化した女子の服が脱げるのを喜んでると思ってますからね。実際は，プレイ中のずっと「頼む，脱げるな・・・！脱げるんじゃない・・・！！」って思ってますからね。
Tue Aug 25 06:20:12 PDT 2015 --  隣の部屋がAV見てんのかわからんけど嬌声が聞こえてきて股間に悪い
Tue Aug 25 04:48:23 PDT 2015 --  ΑΩは「始まりと終わり」だがBlackY君の名前の始まりと終わりはBとYでアルファベットだと「始まりから2番目と終わりから2番目」だな？ #sdvx
Sun Aug 23 00:02:49 PDT 2015 --  BlackYさんのΑΩ、なんで狐面キャラなのかなー始まりも終わりも関係ないよなーと思ってたけど、もしかして…… pic.twitter.com/X5ywxfKwxQ
Tue Aug 25 03:48:42 PDT 2015 --  尊い
Tue Aug 25 03:04:43 PDT 2015 --  最近お絵描きソフトでお洋服消し消しするの流行ってるから、応用して「グレイスちゃん幸せになって」を作ろうとしたけどgifに変換できなかったので無理やりスマホで撮ったの置いとくからみて。(あきらめた pic.twitter.com/0kvzyJDqf1
Tue Aug 25 03:04:55 PDT 2015 --  妄執「東方学とフロム脳の境界」
Tue Aug 25 03:02:52 PDT 2015 --  そもそもとして伊吹萃香というキャラクター自体がcaveの比喩なのでは……？
Tue Aug 25 02:57:13 PDT 2015 --  フロムとユーザーとかcaveとユーザーの関係は東方での人と鬼の関係そのものである という話とか 殺し合いで生まれる信頼関係
Mon Aug 24 21:57:34 PDT 2015 --  任天堂「お前らみんな殺す」 子供達「うわーん」 大人達「そんなこと言っていいのか」 アフィ「任天堂が問題発言！！！」 フロム「お前らみんな殺す」 一同「うおおおおおおおおおお！」
Tue Aug 25 02:05:07 PDT 2015 --  http://www.famitsu.com/news/201508/25086622.html … 「スプラトゥーン」のサントラが発売決定！　メインテーマSplattack!や話題のシオカラ節を始めとする37曲ほか、全61曲収録の2枚組3200円。10月21日発売！ #スプラトゥーン pic.twitter.com/WgIWmGGy3w
Tue Aug 25 01:49:57 PDT 2015 --  ゼクシィというプレゼントは惜しいんですよ。確かに欲しいのは紙なんですが紙にもう少し付加価値というか、そういうものをつけてほしい。ゼクシィは表紙だけでいいです。表紙を飾る芸能人は福沢諭吉でよい。福沢諭吉だけでよいんですね。そうすると自ずと答えは見えてきます。
Tue Aug 25 01:49:43 PDT 2015 --  ゼクシィ買わなきゃ……
