Fri Dec 12 14:12:50 PST 2014 --  Hello
Thu Sep 25 04:39:05 PDT 2014 --  I'm using CallApp - Social Dialer & Caller-ID that identifies a billion unknown callers world-wide. Try it for free! https://play.google.com/store/apps/details?id=com.callapp.contacts&referrer=utm_source%3Dtwitter%26utm_medium%3Duserpost%26utm_campaign%3Dnone …
Sun Jun 15 14:19:31 PDT 2014 --  Wat the latest now #WorldCup2014
Thu May 01 14:24:26 PDT 2014 --  Pls what's happening in Abuja? Now.
Thu May 01 14:24:25 PDT 2014 --  What's happening in Abuja pls? Can some one tell me?
Mon Apr 08 23:15:29 PDT 2013 --  Hello
Mon Apr 08 23:13:03 PDT 2013 --  This is wrong. Tnx
Sat Apr 06 04:18:17 PDT 2013 --  Salam, Mallam muktar yaya kwana biyu? Da fatan ka nanan lfy, amin. Where are u now? Wish u best of life.
Sat Mar 30 13:55:23 PDT 2013 --  Hello Ophra, hp all is well. I want to tell u that i love ur presentations/shows.
