Fri Jul 04 00:04:14 PDT 2014 --  Palestinian kids have more courage than all of us put together. pic.twitter.com/zTyp3Q8WDq
Thu Jul 03 17:44:47 PDT 2014 --  I hate a "I'm different" wanna be ass nigga
Wed Jul 02 19:59:39 PDT 2014 --  R.I.P to my sleeping schedule
Wed Jul 02 08:00:21 PDT 2014 --  Ya Allah please save Palestine, save the innocent civilians and get rid of the zionists. Ameen
Tue Jul 01 14:49:06 PDT 2014 --  “ @FunnyJokeBook: We all know that one person http://twitter.com/FunnyJokeBook/status/484089855966994432/photo/1pic.twitter.com/4X8S4drXIJ ”
Sat Jun 28 18:14:29 PDT 2014 --  this is so true pic.twitter.com/W58RDQeirB
Fri Jun 20 17:19:08 PDT 2014 --  This is the best thing I have read all week. pic.twitter.com/B3MCB2YVXv
Mon Jun 30 22:57:03 PDT 2014 --  If I were a bird, you'd be the first person I'd shit on.
Mon Jun 30 22:54:53 PDT 2014 --  A skinny guy with abs is like a fat girl with boobs...
Thu Jun 19 13:59:05 PDT 2014 --  Why do people take screenshots of their Facetime convos? What are you trying to prove? That you have friends?
Mon Jun 30 22:49:23 PDT 2014 --  I hate a "I'm different" wanna be ass nigga
Mon Jun 30 22:48:29 PDT 2014 --  Rule 1 during an argument: If you're losing, start correcting their grammar.
Mon Jun 30 19:38:25 PDT 2014 --  Persian pic.twitter.com/ncXNY4PiA2
Sat Dec 21 12:00:19 PST 2013 --  *gives people advice when i cant even handle my own problems*
Fri Dec 20 19:26:16 PST 2013 --  Food> people
Thu Dec 19 16:22:55 PST 2013 --  #throwback #nickiminaj #wadding #me #hot #spicy #saxy #weddingNight #naughtibasheer pic.twitter.com/CMtoUTee7H
Wed Jun 19 10:52:30 PDT 2013 --  Congrats to the @UCLABaseball team that keeps winning its way toward a World Series championship! Go Bruins!! #CWS http://ucla.in/11Ky00J 
Thu Jun 20 18:50:09 PDT 2013 --  A strong woman is someone who can smile this morning like she wasn't crying last night. #femalepains
Mon Jun 17 18:14:46 PDT 2013 --  When #Pisces has a feeling something will happen, it usually does.
Sun Jun 16 22:41:02 PDT 2013 --  Be what you want to be not what others see!
Sun Jun 16 11:41:19 PDT 2013 --  I think the only reason people hold onto memories so tight is because memories are the only things that dont change when everybody else does
Sun Jun 16 12:00:21 PDT 2013 --  When a girl says "whatever", she really means; I hope you get shot, fall off a bridge, get raped by a shark, and then eaten. #femalepains
Sun Jun 16 11:50:45 PDT 2013 --  I think I would be more of a morning person if the morning started around noon
Sat Jun 15 18:20:04 PDT 2013 --  I wanna talk to you, but when I send the first message, I always feel like I'm annoying you. #femalepains
Fri Jun 14 20:14:47 PDT 2013 --  Being real gets u hated #society
Fri Jun 14 20:07:06 PDT 2013 --  #Pisces is sensitive, quiet, shy and easily hurt.
Fri Jun 14 19:50:16 PDT 2013 --  I don't know why my mum always shouts down the phone like she wants to be heard from London to Jamaica
Fri Jun 14 19:47:27 PDT 2013 --  Politeness has become so rare that people mistake it for flirtation.#2013
Wed Jun 12 17:35:25 PDT 2013 --  #Pisces are a lazy texter, unless they like you. ;)
Wed Jun 12 22:42:20 PDT 2013 --  #Pisces hates being ignored.
Wed Jun 12 22:22:19 PDT 2013 --  I am hungry 24 hours a day
Wed Jun 12 22:21:21 PDT 2013 --  being skinny might be nice, but having pizza is nicer”
Wed Jun 12 22:20:24 PDT 2013 --  Reason to date me 1) 2) 3) 4) 5) please
