Tue Jun 16 02:00:09 PDT 2015 --  How oil flows in and out of every major region around the world http://wef.ch/1fe6R4R  pic.twitter.com/bjYxVau81I
Tue Jun 16 02:01:35 PDT 2015 --  BREAKING: @acmilan sack head coach Filippo Inzaghi. #SSNHQ
Tue Jun 16 02:02:23 PDT 2015 --  The whole being of any Christian is faith and love. Faith brings the man to God, love brings Him to men. ~ Martin Luther
Sun Jun 14 19:47:10 PDT 2015 --  That last 3pointer by @StephenCurry30 has got to hurt! #NBAFinals2015
Sun Jun 14 19:41:22 PDT 2015 --  Why is Iggy so suspect from the line? Dude can shoot #NBAFinals
Sun Jun 14 19:40:21 PDT 2015 --  Why Spotify? Why? - pic.twitter.com/YvysUolQhM
Sun Jun 14 19:37:39 PDT 2015 --  #stephssecretstuff https://vine.co/v/eOQdKvxAW60 
Sun Jun 14 19:36:59 PDT 2015 --  Just like that. #StephGonnaSteph #NBAFinals https://vine.co/v/eerHBqrMIKp 
Sun Jun 14 19:35:54 PDT 2015 --  In the 90s Bulls vs Knicks, tons of dunks! Now GS warriors vs Cavs, 3point shots... no dunks #NBAFinals2015 #Gamechanges
Sun Jun 14 19:30:19 PDT 2015 --  Who misses free throws though? #NBAFinals2015
Sun Jun 14 19:20:05 PDT 2015 --  The wisdom is strong in this cookie. - pic.twitter.com/kCXKwtOwTy
Sun Jun 14 19:25:08 PDT 2015 --  This game is a 3point shoot out! Dzyaaaam! Feelas dropping bombs on each other! #NBAFinals2015 #crunchtime
Sun Jun 14 18:13:57 PDT 2015 --  NBA vets from the 80s and 90s are laughing because that was just the norm for their time on the court.
Sun Jun 14 18:09:36 PDT 2015 --  Eishooooos, aaaaaiiiiiiirrrrrrball! #LeBronJames #NBAFinals2015
Sun Jun 07 10:05:39 PDT 2015 --  When your bf is an unlocked character pic.twitter.com/ZascQW2Yut
Sun Jun 07 15:17:04 PDT 2015 --  Yup pic.twitter.com/BxB4Sm0Cxp
Wed Jun 10 14:49:10 PDT 2015 --  The accuracy pic.twitter.com/v5SyqzbrSd
Thu Jun 11 11:26:41 PDT 2015 --  Technology advances, while this stays the same. pic.twitter.com/OKcO6RI0sw
Sun Jun 14 17:19:43 PDT 2015 --  Dead. (h/t @kinggage_) pic.twitter.com/X0D2iBtbB8
Sun Jun 14 17:19:31 PDT 2015 --  You know you are getting old when the NBA players you used to watch have all become coaches and commentators! #NBAFinals2015
Sun Jun 14 17:17:13 PDT 2015 --  Slow start Cavs, GS warriors celebrating like they have won already #NBAFinals
Sun Jun 14 16:55:37 PDT 2015 --  Game 5 #NBAFinals2015 #Lebronthetravellingman
