Sat Aug 22 08:34:32 PDT 2015 --  Cheeky giveaway 1. Retweet 2. Fav 3. Follow @redvise @SoarEvasion 4. Also tweet #nextgen200 pic.twitter.com/GUdvGnb6Cu
Sat Aug 22 08:31:56 PDT 2015 --  Giving out free #GFUEL at Sal & Gabi's Barbershop in Huntington, NY - come say hi :) pic.twitter.com/JFtCI2gEBc
Sat Aug 22 08:32:36 PDT 2015 --  Check out are Youtube channel WaSp Uprising we have our 2nd Teamtage out and up https://www.youtube.com/channel/UCXo1iLsDCPeF56ig4KtG5hQ …
Sat Aug 22 08:29:07 PDT 2015 --  can we hit 500 followers today :D
Sat Aug 22 08:24:51 PDT 2015 --  I fricken love you @WaspGiroh !!!
Sat Aug 22 08:23:07 PDT 2015 --  Giving this away in 5 Minutes pic.twitter.com/e8Y8soJUlk
Sat Aug 22 08:22:17 PDT 2015 --  Go checkout and make sure to follow @SoaRBriohs thanks for 300 follower!!<3
Mon Jul 13 13:56:04 PDT 2015 --  If this get 20 rt I'll prestige pic.twitter.com/1KFBRd9sms
Thu Jul 09 18:03:36 PDT 2015 --  http://www.youtube.com/watch?v=gc6tG3joV5M&sns=tw … via @youtube
Thu Jul 09 15:45:01 PDT 2015 --  Say hello to @TheJohnDiMaggio & The Coalition at our 4:15PM #GearsofWar panel. #SDCC http://xbx.lv/1LVaaLU  pic.twitter.com/QKviX5X8tD
Thu Jul 09 17:15:04 PDT 2015 --  The Gears of War: Ultimate Edition bundle is available for pre-order today: http://xbx.lv/1gr2m7w  #GearsofWar pic.twitter.com/MONjodByra
Thu Jun 25 17:32:10 PDT 2015 --  I could play all day AW and BO2
Thu Jun 25 17:30:11 PDT 2015 --  #788Followers@WaSp_Clan
Thu Jun 25 17:29:15 PDT 2015 --  #AdvancedWarfareWithWaSpVexzAndTempestt
Thu Jun 25 17:28:11 PDT 2015 --  #FavoritteBillsPlayerKyleWilliams
Thu Jun 25 17:24:27 PDT 2015 --  #FavoriteSportisFootballGoBills
Thu Jun 25 10:07:01 PDT 2015 --  #Follow@WaSp_Clan787followers
