Sun Apr 06 02:00:54 PDT 2014 --  #BugünGünlerdenGALATASARAY pic.twitter.com/8iWXh4ESIA
Thu Mar 27 01:39:01 PDT 2014 --  http://sts.chp.org.tr  #CHPSandıkTakipSistemi Dürüst bir seçim için herkes göreve. Lütfen tavsiye edelim.
Wed Mar 19 16:03:12 PDT 2014 --  CHP Seçim Sonuç Takip Sistemi Emrehan Halıcı Basın Toplantısı 18/3/2014 Özet: https://www.youtube.com/watch?v=JtzD8fT4h_c … … Tamamı: https://www.youtube.com/watch?v=Ty7_l84biiU …
Fri Mar 21 01:21:16 PDT 2014 --  #direntwitter pic.twitter.com/xmSIKD0cuZ
Fri Mar 21 01:22:23 PDT 2014 --  rte : benim yasakladığım twitter a girdiler bira resmi yayınladılar :))
Fri Mar 21 00:30:54 PDT 2014 --  yasaklar delinmek için vardır
Thu Mar 20 23:01:46 PDT 2014 --  twitterın kapanması en çok i. mellhe koydu :))
Tue Mar 11 12:34:12 PDT 2014 --  Melih Gökçek'in tankerleri, Kızılay meydanında TOMA'lara su desteği veriyor. Kayıtlara geçsin. pic.twitter.com/nhfa7xML29
Tue Mar 11 12:27:10 PDT 2014 --  #BerkininKanınaGirenler'e, demokrasiyi yok edenlere, insan haklarını hiçe sayanlara 'dur' demenin zamanı geldi!
Tue Mar 11 08:37:33 PDT 2014 --  Hepimizin Acısı Oldun Berkin, Umarız Sevginin de Tohumu Olursun...
Tue Mar 11 01:59:24 PDT 2014 --  Dünyanın tüm paralarını çalsan, tüm sandıklarından birinci çıksan, tüm kalabalıklarını toplasan, Berkin'in hesabını vermekten kaçamazsın.
Tue Mar 11 12:26:44 PDT 2014 --  Berkin Elvan Londra'da da anılıyor. http://www.odatv.com/n.php?n=okmeydani-hastenesi-karisti-1103141200 … pic.twitter.com/mhJhp4GpbX
Tue Mar 11 12:26:36 PDT 2014 --  #BerkinElvanÖlümsüzdür Türkiye Direniyor!! pic.twitter.com/7Tbxy7OeR3
Tue Mar 11 07:49:58 PDT 2014 --  Mısır'da ölen 17 yaşındaki Esmaya ağlayıp15 yaşındaki Berkin'in sokakta ne işi vardı diyenler var bu ülkede.bi Esma kadar olamadın be Çocuk
Tue Mar 11 07:45:37 PDT 2014 --  #HoşçakalBerkinim Okmeydanı'nda Berkin'in tabutunu Ethem Sarısülük'ün abisi taşıdı. pic.twitter.com/qiXXG9C3Hs
Thu Feb 27 06:42:33 PST 2014 --  Dün akşam Arena'da açılan ''Alo babacım hırsız var pankartı'' pic.twitter.com/ubSI8GYyEb
Thu Feb 20 04:53:34 PST 2014 --  CHP "Sosyal Paylaşım" Uygulamasına katılmak için http://sp.chp.org.tr  sayfasına gidip twitter hesabı ile bağlanabilirsiniz. (Lütfen RT)
Thu Jan 30 06:30:13 PST 2014 --  "Cebimde hiç param yoktu. Dolar yükseldi euro yükseldi borsa düştü, yine cebimde hiç param yok. Krizi çok iyi yönetiyorum hiç etkilenmedim."
Sun Jan 19 01:09:39 PST 2014 --  Elektrik teknisyenleri Eiffel Kulesi üzerinde çalışıyor, Paris, 1937. pic.twitter.com/dAMPF8v62D
Thu Jan 09 06:35:21 PST 2014 --  Kılıçdaroğlu: "Önümüzdeki günlerde daha büyük yolsuzluklar ortaya çıkacak"
Tue Dec 17 04:57:54 PST 2013 --  #AKgenekon
Fri Nov 22 02:13:12 PST 2013 --  Bize ulasamayinca cildiran iktidar salyalarini akitmaya devam ediyor.Alakasi olmayanlari almayi meslek edindiler. #BarışAtayYalnızDeğildir
Mon Nov 18 22:28:58 PST 2013 --  sigara tiryakiliktir bırakabilirsiniz, ama Galatasarayı asla.....Nejat Uygur
Wed Sep 18 03:50:49 PDT 2013 --  İNADINA GALATASARAY ÖLÜMÜNE GALATASARAY DÜNDE GALATASARAY BUGÜNDE YARINDA GALATASARAY LÜTFEN HERKES RT YAPSIN http://twitter.com/Vedat_Sanli/status/380279884573995008/photo/1pic.twitter.com/2mKeZJJfpV 
Tue Sep 10 01:39:40 PDT 2013 --  Bir canın daha katili olan iktidar "Öldürmeye gelince, siz öldürmeyi iyi bilirsiniz!" #AhmetAtakan
Mon Aug 19 02:05:31 PDT 2013 --  #ŞampiyonSahayaİniyor
Fri Jul 12 03:31:29 PDT 2013 --  o değilde Melih Gökçek'in REDHACK'e " sizi 1 aya yakalatmazsam şerefsizim " demesinin üzerinden bugün tam 429 gün geçti
Wed Jul 10 22:16:14 PDT 2013 --  diren cenk akyol
Mon Jun 10 00:48:05 PDT 2013 --  Borsa İstanbul teknik arıza nedeniyle açılamıyormuş. Teknik arıza dedikleri de başbakanın açıklamaları..
Mon Jun 10 00:40:31 PDT 2013 --  Borsa İstanbul teknik arıza nedeniyle açılamıyormuş. Teknik arıza dedikleri de başbakanın açıklamaları...
Sun Jun 09 22:15:21 PDT 2013 --  kahrolsun pazartesi
Mon Jun 03 07:46:04 PDT 2013 --  Bugünkü konserimde ilk kez piyano dışında bir şey çalacağım;TENCERE! ÇapulcuMozart ve AlkolikBeethoven ile devam eden gece direnişekatılarak
Thu May 16 23:12:12 PDT 2013 --  3 gün 3 gece G.Saray http://amkspor.com/2013/05/17/3-gun-3-gece-g-saray.html …
Thu May 16 04:55:28 PDT 2013 --  G.saray Taraftarı, yanlışa yanlış demeyi destur edinmiş şereflir bir topluluktur! WTT! #FenerbahceSupportsRacistFans pic.twitter.com/zxbOo5wzUh
Wed May 15 04:08:05 PDT 2013 --  Yazalım Yazdıralım >>> #UEFAStopRacistFenerbahce
Fri May 10 00:36:15 PDT 2013 --  ŞİKAYET VAR! 'Salih Kuşu' adlı rezilliği RTÜK'e şikayet ediyoruz! LÜTFEN KATILIN! http://www.facebook.com/photo.php?fbid=10152839451795164&set=a.10150393812300164.611535.15802420163&type=1&theater … pic.twitter.com/zTAcC7uUgM
Sat May 04 05:37:00 PDT 2013 --  Şampiyonluk YARIN her yeri YAKIN
Tue Apr 30 05:36:23 PDT 2013 --  Yetişkin bir Aziz Yıldırım , Hayatı Boyunca 20'den Fazla GALATASARAY Şampiyonluğu Görebilir... -National Geograph
Tue Apr 30 05:12:13 PDT 2013 --  Kiralık Kalemlerinize Zorla "ŞAMPİYON CİMBOM" yazdıracağız! #GalatasaraylıFanatikAlmazOkumaz
Mon Apr 29 04:17:07 PDT 2013 --  Yetişkin bir Aziz Yıldırım , Hayati Boyunca 20'den Fazla GALATASARAY Şampiyonluğu Görebilir ... -National Geographic
Tue Apr 09 05:47:21 PDT 2013 --  GALATASARAY tek bir ihtimali olan insanların hikayesidir. Çünkü tek ihtimalli hikayeler, tarihin ta kendisidir!
Tue Apr 09 05:43:21 PDT 2013 --  Bugün herşey güzel gidiyor haydi Galatasarayım sende güldür yüzümüzü :)
Tue Feb 19 04:09:02 PST 2013 --  Samsuna sadece Mustafa kemal çıkar
Fri Feb 15 23:05:41 PST 2013 --  Galatasaray'ın yedek kulübesine kulübe diyeni döverler. Bildiğin köşk. İçinde de Drogba, Amrabat, Eboue falan oturuyor!
Tue Jan 29 23:56:06 PST 2013 --  Sneijdere karşı emre geliyorsa Drogbaya karşı guizayı bekliyoruz :))))
Mon Jan 28 06:50:09 PST 2013 --  FB camiası budur. Adnan Öztürk'ün Meireles'in tükürmesini değil hakeme yaptığı hareket için açıklama yaptığını dahi çarpıtmaktan çekinmez.
Mon Jan 28 06:50:36 PST 2013 --  Eskişehir uyuma Başkanına sahip çık
Mon Jan 28 05:00:31 PST 2013 --  Aslanın kükrediği yerde kuş cıvıltısı duyulmaz
Fri Jan 25 01:48:58 PST 2013 --  Erman Hoca’ya bir müjdem var http://amkspor.com/2013/01/25/erman-hocaya-bir-mujdem-var-2.html …
Wed Jan 23 22:39:49 PST 2013 --  uğurlar olsun
