Wed Mar 12 07:44:30 PDT 2014 --  I just did a 12 second quarter mile in #CSRRacing for Android #12sec. Check it out for FREE! http://nmgam.es/crgt 
Mon Mar 10 11:02:05 PDT 2014 --  I just moved up to tier 2 in #CSRRacing for Android! You should check it out for FREE! http://nmgam.es/crgt 
Sun Mar 09 13:26:41 PDT 2014 --  Having fun playing #CSRRacing for Android, why not join me for FREE? http://nmgam.es/crgt 
Fri Jan 31 07:54:16 PST 2014 --  Hello again.
Tue Jan 28 04:49:56 PST 2014 --  Hello people.
Sat Jan 25 05:24:27 PST 2014 --  Hope everyone having a good day.
Wed Jan 22 08:55:19 PST 2014 --  Feel so tired
Tue Jan 21 14:56:26 PST 2014 --  I hate it when people follow you. And when u follow back than they unfollow u
Sun Jan 19 18:12:14 PST 2014 --  Whats up homies.
Sun Jan 19 06:58:38 PST 2014 --  Listening to some tupac. Lol
Fri Jan 17 11:24:20 PST 2014 --  Hello
Wed Jan 15 11:11:21 PST 2014 --  I really dont see the point of tweeter
Sat Jan 11 05:32:55 PST 2014 --  Hello again hope everyone doing ok
Mon Jan 06 17:15:46 PST 2014 --  Hello pple
Sat Jan 04 04:03:49 PST 2014 --  We will pick 10 people who Retweet our last tweet to get a Shout out on here :)
Thu Jan 02 06:17:50 PST 2014 --  Happy new year.
Tue Dec 31 06:55:02 PST 2013 --  Only few hours till new year
Sun Dec 29 04:29:07 PST 2013 --  Hello everyone hope everyone is having a good holidays
Fri Dec 27 08:10:45 PST 2013 --  Whats up.
Tue Dec 24 14:49:16 PST 2013 --  I dont celebrate Christmas but merry Christmas to all the people there.
Sun Dec 22 16:10:17 PST 2013 --  @Josh_Logan awesome name loving it!
Thu Nov 14 11:35:35 PST 2013 --  Passed my driving theory test :) retweet to gain followers.
Sun Nov 24 10:16:35 PST 2013 --  Walls are made to be climbed...
Sat Dec 21 10:39:54 PST 2013 --  Feel so tired had a good day.
Fri Dec 20 05:07:24 PST 2013 --  Hello
Sun Dec 15 12:31:20 PST 2013 --  Zombie run 2 for iPhone makes jogging a lot more fun!
Thu Dec 19 00:35:02 PST 2013 --  Life is so hard but you have to face it.
Wed Dec 18 02:16:37 PST 2013 --  Feel so tired.
Tue Dec 17 13:18:38 PST 2013 --  Finally getting some followers thanks
Tue Dec 17 12:43:32 PST 2013 --  RT for: BVB PTV SWS BMTH A7X OM&M FOB MMF MMI SS AA ADTR WCAR WATO P!ATD AA! MP NSN YMAS Follow me and whoever RT's
Thu Dec 05 17:37:07 PST 2013 --  Been busy.
Sun Nov 24 09:20:01 PST 2013 --  Il be starting my youtube channel soon just waiting for my ps4 and later on il buy the XboxOne.
