Thu Jun 25 07:16:50 PDT 2015 --  You + the all-new 2016 #Cruze. Prepare to fall in love. https://amp.twimg.com/v/2d2d821f-8138-48b8-9743-e2c88a1e3793 …
Thu Apr 16 13:31:13 PDT 2015 --  I use @GroupMe to stay connected with my groups and you should too! (Share photos, send emojis, & likes) Get the app: http://groupme.com/apps 
Sun Jul 20 16:55:24 PDT 2014 --  I'm now an E-List celebrity in Kim Kardashian: Hollywood. Come join me and become famous too, by playing on iPhone! http://itunes.apple.com/app/id860822992 
Mon Mar 25 17:17:48 PDT 2013 --  Check out my latest obsession, Mini Golf MatchUp! Way. Too. Fun. #Addicted #MiniGolfMatchUp http://bit.ly/13wOqx5 
Fri Oct 26 18:32:26 PDT 2012 --  You've gotta play me in Bubble Galaxy With Buddies! I'm Creechmom. #Addicted @BubbleGalaxy http://bit.ly/JTH5C3 
Mon Apr 02 19:23:30 PDT 2012 --  Lovin the boys in blue #BBN 20 more to go!
Sat Dec 31 08:56:10 PST 2011 --  want to start your own serious business in 2012? look at this - http://tinyurl.com/7obbrua 
Tue Dec 27 07:52:56 PST 2011 --  are you serious about starting your own business in 2012? you have to check this out - http://tinyurl.com/ck6342p 
Mon Apr 18 15:46:34 PDT 2011 --  @cailynoldfield happy birthday!!!! Love you much!
Wed Apr 06 17:01:43 PDT 2011 --  Not sure if I'll ever figure it out!
