Fri Aug 21 21:14:51 PDT 2015 --  I think there should be a Disney princess Sarah, in honor of @SarahFisher28 . Because she is a princess.. 🏼
Fri Aug 21 21:11:56 PDT 2015 --  Have a good day Jayde. @jaydesanford
Fri Aug 21 21:08:32 PDT 2015 --  Goodnight.
Fri Aug 21 20:26:10 PDT 2015 --  My Twitter Account is worth $479.52 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Fri Aug 21 18:20:01 PDT 2015 --  GINA I LOVE YOU FOR WHO YOU ARE I HOPE YOU KNOW THAT!! STAY STRONG. @ginamarie762
Fri Aug 21 14:54:27 PDT 2015 --  #MyFavJam - @lukebilyk1 @OfficialMiriamM @TheAnaGolja @PaulaBrancati @JordyTodosey @RayAblack @anniejclark https://www.youtube.com/watch?v=hNeM3woU9DE …
Fri Aug 21 14:51:37 PDT 2015 --  #MyFavJam right now? The #Degrassi cast weighs in... What's yours? https://www.youtube.com/watch?v=hNeM3woU9DE …
Fri Aug 21 15:13:38 PDT 2015 --  “ @DegrassiOnline: Say Hello to the Bad Guy by Zig Novak #MyFavJam https://twitter.com/degrassi/status/634845335463047168 …” yessss
Fri Aug 21 15:03:11 PDT 2015 --  A very happy birthday to the beautiful and amazing @allboutdegrassi hope you have a wonderful day .love u lots
Fri Aug 21 15:06:50 PDT 2015 --  Go wish @allboutdegrassi a happy bday 'cause she's awesome pic.twitter.com/enPWt7Xz8H
Fri Aug 21 15:10:17 PDT 2015 --  "How many times will it take for me, to get it right??" ~Get It Right
Fri Aug 21 15:08:26 PDT 2015 --  "What can you do when your good isn't good enough??" ~Get It Right
Fri Aug 21 15:04:34 PDT 2015 --  Lea Michele's singing is so beautiful and perfect. @msleamichele #leamichele
Fri Aug 21 10:01:51 PDT 2015 --  My dubious smile while watching @adamoaruggiero struggle to answer Degrassi trivia questions! On #StraightTalk pic.twitter.com/ubkIxoQpjl
Fri Aug 21 09:15:28 PDT 2015 --  12 more days until school!!
Thu Aug 20 16:28:57 PDT 2015 --  Cool new banner art for our Sept.1 release! #LostAfterDark @robertpatrickT2 @BoinTN @AnchorBayHorror @SarahFisher28 pic.twitter.com/EFWVqOx96u
Thu Aug 20 18:19:43 PDT 2015 --  My outfit to @WinmarToronto for @TOM_FW i love me some @MendocinoTO #mensfashionweek #skirtobsessionfromMendo pic.twitter.com/F0ehTcqeO5
Thu Aug 20 17:09:13 PDT 2015 --  Wakey wakey jaydeey @jaydesanford
Thu Aug 20 16:23:39 PDT 2015 --  hahaha. I miss work. @FullOutMovie https://www.youtube.com/watch?v=Jbs7Rs-2XvI …
Thu Aug 20 14:22:30 PDT 2015 --  Monchele + Finchel = Relationship Goals
Thu Aug 20 01:30:08 PDT 2015 --  @ginamarie762 pic.twitter.com/5pn97dAmEj
Wed Aug 19 20:26:10 PDT 2015 --  My Twitter Account is worth $486.72 as of today. Find out what yours is worth for free at http://twitvaluesjeet.com  #RT #followme
Wed Aug 19 18:26:34 PDT 2015 --  I don't want acne anymore... It's been here for 5 years.. Isn't that enough?!
Mon Aug 17 20:50:54 PDT 2015 --  I wanna wake up feeling beautiful today, and know that I'm okay....
Tue Aug 18 17:04:22 PDT 2015 --  MY GIRL #BadBloodVMA pic.twitter.com/l5Gd0EgFVl
Wed Aug 19 07:14:22 PDT 2015 --  Bad Blood is nominated for Song of the Summer for #VMAs! use #BadBloodVMA on Twitter or Instagram, vote 12x a day!
Wed Aug 19 16:13:42 PDT 2015 --  If you're not voting: #BadBloodVMA pic.twitter.com/u7DqEH0riv
Tue Aug 18 16:07:11 PDT 2015 --  When @MTV asks, the answer is #BadBloodVMA for VMA Song Of The Summer. RT to vote and post to Instagram too! pic.twitter.com/1BfuMA0kcZ
Wed Aug 19 18:13:58 PDT 2015 --  #BadBloodVMA 🏼
Tue Aug 18 21:57:36 PDT 2015 --  HAPPY 1 YEAR OF "SHAKE IT OFF" http://youtu.be/nfWlot6h_JM  @taylorswift13 @taylornation13 #ShakeItOff
Wed Aug 19 00:49:42 PDT 2015 --  Still hard watching cams death on Degrassi.
Wed Aug 19 14:38:31 PDT 2015 --  Gods and monsters🏾 pic.twitter.com/1p9T3SljD6
Wed Aug 19 14:30:51 PDT 2015 --  Hilarious times with @lukebilyk1 are coming your way on Straight Talk with @AdamoRuggiero http://youtube.com/degrassi  https://twitter.com/hugsforaislinn/status/634048785879027712 …
Wed Aug 19 14:27:30 PDT 2015 --  The best thing to do after the beach is to sleep.
Wed Aug 19 11:20:11 PDT 2015 --  Woop woop 🏻 #studioooooo #music https://instagram.com/p/6kyTkfwz2p/ 
Wed Aug 19 09:10:35 PDT 2015 --  We may be making a New cover of one of your songs...Walk On maybe?? Hehe. @SarahFisher28 @IvyMichelle15 :)
Tue Aug 18 22:08:28 PDT 2015 --  This went from an amazing night to an awful one real quick..
Tue Aug 18 21:48:40 PDT 2015 --  I can't sleeeeep and I need to be up at 6 fml
Tue Aug 18 18:49:53 PDT 2015 --  Haters gonna hate. Right?
Tue Aug 18 18:49:17 PDT 2015 --  Girl code makes me laugh and dance sooooo much... BEST SONG EVER 🏼🏼🏼 @SarahFisher28 @FullOutMovie
Tue Aug 18 18:44:54 PDT 2015 --  Girl Code is the best song ever. 🏼🏼 @SarahFisher28
Tue Aug 18 18:42:38 PDT 2015 --  "Cause with you, only you, I'm the luckiest girl in the world." ~Luckiest Girl by @SarahFisher28 🏼
