Sat Aug 22 12:18:09 PDT 2015 --  #YoSoySegundo
Thu Aug 20 09:48:16 PDT 2015 --  "Ese momento en el que te das cuenta que diste todo sin esperar nada a cambio. Aquel instante en que seguir adelante es mejor que esperar."
Fri Aug 14 13:36:58 PDT 2015 --  "Ser vulnerable no es sinónimo de debilidad; entender y observar nos hace más sabios." #empezandonuevasaventuras
Fri Jul 03 21:56:11 PDT 2015 --  Este es el mejor regalo que mi país el día de hoy me pudo dar, TE AMO #PERÚ!!! pic.twitter.com/e5fzKb0sRB
Tue Jun 09 10:38:39 PDT 2015 --  [Love is war] – #HillSong
Mon Jun 01 11:11:47 PDT 2015 --  "Nunca pienso en lo que hago, la verdad solo lo hago. Es automático." – #CarlosSainz
Fri Dec 12 06:37:37 PST 2014 --  [Para viajar lejos no hay mejor nave que un buen libro] ツ
Wed Jul 30 21:33:13 PDT 2014 --  el gran error del hombre es preocuparse en arrancar la cizaña del campo ajeno y descuidarse en sembrar el trigo en su propio campo...
Wed Jul 23 18:32:40 PDT 2014 --  [típico] repetir mi nombre mas de tres veces...
Sun Jul 13 16:02:53 PDT 2014 --  ...hay un punto en tu vida donde piensas quien importa, quien nunca importo, quien no importa mas y quien siempre importara
Wed Jul 02 14:22:28 PDT 2014 --  no siempre se gana, no siempre se pierde, pero siempre se aprende...
Wed Jun 18 20:45:13 PDT 2014 --  uno no esta satisfecho con lo que tiene hasta que se queda en paz con lo que es... ツ
Mon Jun 16 20:54:42 PDT 2014 --  pic.twitter.com/nGVW7EeYMi
Sun Jun 15 22:12:44 PDT 2014 --  cuando menos lo esperamos la vida nos coloca delante de un desafió que pone a prueba nuestro coraje y nuestra voluntad de cambio...
Thu May 29 21:15:20 PDT 2014 --  ...hasta las matemáticas dicen que toda función es una relación, pero no necesariamente toda relación es función
Tue May 20 21:21:20 PDT 2014 --  ni todo tiempo es olvido, ni toda ausencia es distancia... ツ
Tue May 13 16:56:10 PDT 2014 --  hay instantes que merecen conservarse un tiempo, para luego recordar este momento...
