Fri Dec 26 22:49:46 PST 2014 --  I see best with my eyes closed.
Fri Dec 26 22:05:06 PST 2014 --  Grateful: to be full of "great"ness. Great-full.
Wed Dec 17 14:08:57 PST 2014 --  It's never too late for the past to shape the future starting in the present!
Sun Dec 07 11:10:59 PST 2014 --  ...and they saw their true God, each time they looked in the mirror. - The Book of Laura
Fri Dec 05 15:49:34 PST 2014 --  Almost showtime!
Tue Dec 02 15:09:58 PST 2014 --  In rehearsal for a show tonight this feels good.
Thu Nov 06 08:21:08 PST 2014 --  What is the single most useful vocal exercise for you? #KYOPERA
Sun Oct 19 17:20:51 PDT 2014 --  I'm learning a lot about myself as I write my musical. And you know what? It's ALL good!
Sun Oct 12 13:48:49 PDT 2014 --  The best angels have wings, yet they don't fly away.
Fri Oct 10 20:39:18 PDT 2014 --  Friday night = staying home and writing my musical. I feel blessed!
Fri Oct 10 12:01:25 PDT 2014 --  A really good reader can read between the lines.
Tue Oct 07 11:06:08 PDT 2014 --  It's easy to be popular. It's better to be right.
Mon Sep 29 20:11:34 PDT 2014 --  Sometimes, we shout loudest with our silence.
Mon Sep 29 17:12:16 PDT 2014 --  The set dressers on #BigBangTheory deserve an Emmy--so much care goes into the set! Brilliant!
Sun Sep 28 19:09:20 PDT 2014 --  I just skyped my nephew and told him a story with my fingers. pic.twitter.com/6y87xMnyaS
Tue Sep 23 11:04:53 PDT 2014 --  When another actor remembers the lines he always forgot in rehearsal and, in response, you forget your own lines. #TheatreProblems
Sun Sep 21 09:08:48 PDT 2014 --  When someone tries to clip your wings, they mean to place you in their cage. Fly away and don't look back.
Thu Sep 18 18:12:27 PDT 2014 --  When Jesus came into the world, they stuck Him in the manger. Jesus wants to come into YOUR world: don't relegate him to your manger.
Thu Sep 11 08:49:16 PDT 2014 --  Never forget what happened on 9/11/2001. Also never stop asking how and why it happened. #neverforget #NeverForgetSeptember11
Tue Sep 09 08:06:36 PDT 2014 --  That moment in the show when you see another actor in the role you wanted and would have performed better. #TheatreProblems
Sat Sep 06 20:50:42 PDT 2014 --  The show closes, yet the fire in your heart burns true. Do not despair, my love--the stage is eternal if the flame is you! #TheatreProblems
Sat Sep 06 20:35:32 PDT 2014 --  I have few friends who know the sound of my tears, the sight of my laughter, the touch of cruel years, the sunset flight of all my fears.
Sat Sep 06 16:49:20 PDT 2014 --  On the field of honor was a carcass, cold and grey. No one mourned it, no one missed it, but there it will stay.
Sat Sep 06 16:31:27 PDT 2014 --  If you disrespect me, don't expect me, try to correct me, just forget me.
Thu Sep 04 07:13:26 PDT 2014 --  The magic disappears if you use the wrong tempo. Pay attention. #TheatreProblems
Wed Sep 03 17:49:35 PDT 2014 --  If men had periods, there would be a cure already!
Wed Sep 03 05:14:06 PDT 2014 --  Secret to believability: never "lose yourself" in your character. Your character is a part of you--not vice versa. #TheatreProblems
Wed Sep 03 05:06:46 PDT 2014 --  Ironic, but true: if you focus on living by principle, you will have more lasting happiness than received by a hollow pursuit of happiness.
Wed Sep 03 04:38:36 PDT 2014 --  Happiness is an emotion. Don't waste your life making it about an emotion. Emotions are fleeting. Live by principles, informed by morals.
Sat Aug 30 09:50:54 PDT 2014 --  Actors at audition usually claim open availability. After they are cast, suddenly, they have conflicts. #TheatreProblems
Thu Aug 28 06:37:30 PDT 2014 --  There are good actors and bad actors. The difference? The good actors KNOW they are bad actors. #TheatreProblems
Wed Aug 27 19:51:44 PDT 2014 --  Music has been my constant companion. We share the same road, but music sometimes finds the magic places before I do.
Tue Aug 26 17:40:05 PDT 2014 --  Policies involving the distribution of personal information should always be reactive, never proactive.
Tue Aug 26 11:47:55 PDT 2014 --  Never walk ONTO the stage. Walk INTO the world! #TheatreProblems
Mon Aug 25 09:51:46 PDT 2014 --  You can have "fire" (i.e. passion) for something and still crash and burn. In fact, you can ONLY crash and burn if you have "fire". #wisdom
Mon Aug 25 08:04:17 PDT 2014 --  Be v-e-r-y cautious is giving away your talents and hard-earned skills: they are precious and valuable. Get paid. #TheatreProblems
