Sun May 03 07:22:26 PDT 2015 --  #tb @ Abreeza Ayala Malls,Davao https://instagram.com/p/2ORQKKmubh/ 
Thu Apr 23 05:40:36 PDT 2015 --  You are the reason for my smile. The one who makes my life worthwhile. #Smile #Happy… https://instagram.com/p/10VpjgGuaV/ 
Wed Apr 22 06:44:25 PDT 2015 --  Dili daw siya kabalo magselfie. maong nagpratice2 na siya. Hahaha pic.twitter.com/WntXQYOHxj
Tue Apr 21 05:28:41 PDT 2015 --  How sweet. pic.twitter.com/FrcqA15AvB
Mon Apr 20 04:45:54 PDT 2015 --  Hi dodong Jason. @ University of the Immaculate Conception https://instagram.com/p/1shAQBGufx/ 
Tue Apr 14 07:22:43 PDT 2015 --  Sheeeet maani oyyy.
Tue Apr 14 07:22:05 PDT 2015 --  Wala ko nalipay sa akong nakit.an.. Hahays.
Sun Apr 12 04:23:37 PDT 2015 --  I'm back! #dorm @ Pet Par's Bldg. https://instagram.com/p/1X4GHpGuYe/ 
Mon Apr 06 01:58:26 PDT 2015 --  Thank you! @derprinceton @ Pet Par's Bldg. https://instagram.com/p/1IKtdxmuXG/ 
Sun Apr 05 18:38:47 PDT 2015 --  Hi shai! https://instagram.com/p/1HYZY8muVg/ 
Mon Mar 30 01:50:36 PDT 2015 --  https://instagram.com/p/02IQA0GubN/ 
Fri Mar 27 19:26:48 PDT 2015 --  Hi nov! @imnoby18 @ University of the Immaculate Conception https://instagram.com/p/0wSvJ7GucL/ 
Fri Mar 27 19:25:39 PDT 2015 --  @ University of the Immaculate Conception (UIC shapes) https://instagram.com/p/0wSmunmub7/ 
Fri Mar 27 19:24:19 PDT 2015 --  BSPH-2A @ Abreeza Ayala Mall https://instagram.com/p/0wSc8LGubr/ 
Tue Mar 24 22:41:37 PDT 2015 --  Hi soon! Happy Birthday! see you tomorrow! Libreha ko haaa! God bless. #InstaMag-MobileApp… https://instagram.com/p/0o6pesGufP/ 
Tue Mar 24 21:40:08 PDT 2015 --  Mirror Groufieee! #Throwback #LastDayOfExam #StressFree #HappyKiddoHere @ 6th Floor Chemistry… https://instagram.com/p/0oznFwmuYk/ 
Tue Mar 24 21:07:18 PDT 2015 --  https://instagram.com/p/0ov2sSmuUc/ 
Sat Mar 21 02:49:17 PDT 2015 --  New DP. @ SM City Davao https://instagram.com/p/0fDz6-mubj/ 
Wed Mar 18 03:37:16 PDT 2015 --  Yeheay human na jud mi! Missing: Novie Jagolino #team Jnars! #Magazine @ Bolton, Davao City https://instagram.com/p/0Xa6yVmuVX/ 
Tue Mar 17 06:41:46 PDT 2015 --  More Chocolateeeeesss pleaaaseee! #Meiji #Pepero #thanksSaPepero Clyde #HappyKid… https://instagram.com/p/0VLPP5GuVw/ 
Sun Mar 15 19:02:09 PDT 2015 --  Workout! @ i.Flex Fitness Philippines https://instagram.com/p/0RWYIHGuYw/ 
Sun Mar 15 08:13:30 PDT 2015 --  Chillin' @ Ice Giants, Ecoland Davao City https://instagram.com/p/0QMJVBGuUh/ 
Sat Mar 14 22:02:38 PDT 2015 --  The best feeling in the world is realizing that you're perfectly happy without the thing you thought… https://instagram.com/p/0PGPLYGuYT/ 
Fri Mar 13 06:13:02 PDT 2015 --  Duck face pero di halata. Hahaha @ Pet Par's Bldg. https://instagram.com/p/0K0xR_muYw/ 
Fri Mar 13 05:46:28 PDT 2015 --  Seryoso? Hahaha. pic.twitter.com/BuqIPdni1M
Fri Mar 13 05:31:27 PDT 2015 --  Happy lang walang ending. pic.twitter.com/JCk8UnDIgK
Sun Mar 08 17:50:43 PDT 2015 --  #MichRemulta With these ladies and gents @norcahar @ItsJezzMyMnl @JayceeClydeArce @iamsmaevallete @21enitsirK pic.twitter.com/xcBjZEdpsw
