Fri Aug 28 07:08:23 PDT 2015 --  That amazing feeling when you know tomorrow is Saturday and you get to sleep in #bestfeelingever
Sat Jul 11 17:29:21 PDT 2015 --  #¬¤Drawing and music is my Life¤¬ I specialize in Ultra-Realistic #Drawing pic.twitter.com/VmyFXENtbi
Tue Aug 04 02:36:29 PDT 2015 --  One of my dreams is to visit this amazing city#dream#newyorkcity#America🏻🏻️ pic.twitter.com/SQiVNewV1d
Sun Apr 19 20:07:30 PDT 2015 --  Hey guys can you please follow @Connor7557 thanks
Sun Mar 15 07:22:22 PDT 2015 --  So glad @littlelizziev & her dad @lupe_velasquez3 could join us on @KVUE this morning to talk about @ABraveHeartFilm pic.twitter.com/BJgzgPv1yQ
Sun Feb 08 04:29:16 PST 2015 --  Hope you girls fail #MKR
Sun Feb 08 04:27:07 PST 2015 --  Ohh how i hope you girls fail you can talk but can you walk? #MKR2015
Sat Jan 17 18:52:36 PST 2015 --  Watching how I met your mother in my underpants, stoked
Tue Jan 06 23:00:25 PST 2015 --  Hey guys can you please follow @m75226971 she is a awesome person to talk to thanks XD
