Thu Aug 27 07:57:30 PDT 2015 --  "Always persevere, Always Have Good Prospective, And Always Have Great Purpose In Your Life."
Tue Aug 25 05:18:31 PDT 2015 --  It may not always be right in front of you, so don't stop until it's behind you. #StayMotivated
Sat Aug 22 17:57:29 PDT 2015 --  Sam Bradford and Demarco Murray's first game as Eagle, they still make a awesome threat in the back together!!
Wed Aug 19 05:22:53 PDT 2015 --  Players want to fight that bad? they should join the UFC. It's not funny or guys blowing off steam. #enough
Wed Aug 19 05:21:02 PDT 2015 --  These fights in NFL joint practices in training are getting ridiculous. NFL should find each team 100K each.
Mon Aug 17 04:43:43 PDT 2015 --  Me and my Bae @DawnnCourt pic.twitter.com/p268mSbKXy
Sun Aug 16 09:41:06 PDT 2015 --  Well done is better than well said!
Fri Aug 14 19:21:09 PDT 2015 --  Let's see all that hard work we put in this Offseason. #GoHawks
Fri Aug 14 08:55:12 PDT 2015 --  Success isn't always what you see.
