Sun Aug 09 02:58:43 PDT 2015 --  Happy Sunday pic.twitter.com/QFGoSMwr5T
Sat Aug 08 05:24:08 PDT 2015 --  Bae is so fine #Man #Crush #Fit #Sexy #HeLifts pic.twitter.com/56d8wQ9itF
Fri Aug 07 16:15:33 PDT 2015 --  Girls are boobs aren't just fat, we do have muscle!! SO DON'T MISS CHEST DAY we love our boobs and we CAN keep them🏼 pic.twitter.com/fANuwYNuMw
Fri Aug 07 02:36:54 PDT 2015 --  Love #PolaroidCamera pic.twitter.com/2OKWbdh3qd
Fri Aug 07 01:50:04 PDT 2015 --  LOL https://twitter.com/MarissaLace/status/629091631552069632 …
Thu Aug 06 13:00:19 PDT 2015 --  Much needed hot bath on #RestDay to help with the killer #Doms I've got going on! #LegDay #Recovery #Relax pic.twitter.com/bU98oMRt4f
Wed Aug 05 11:37:55 PDT 2015 --  My girl pic.twitter.com/S0r8xNgWPL
Wed Aug 05 02:03:06 PDT 2015 --  Actually a little bit heartbroken that Zayn and Perrie are over, they were a gorgeous couple
Tue Aug 04 14:30:41 PDT 2015 --  Memories pic.twitter.com/yUUFx9cwvt
Mon Aug 03 21:26:01 PDT 2015 --  #Gemini is very independent with an uncanny determination to succeed.
Mon Aug 03 22:55:01 PDT 2015 --  #Gemini is picky about their friends. They only choose the best.
Tue Aug 04 01:58:04 PDT 2015 --  Current mood #SeaOtter #Cute #Tired pic.twitter.com/dms4MVnNTP
Sun Aug 02 09:19:52 PDT 2015 --  Enough with the controversy BS you need to know where to draw the line . This was too far https://twitter.com/KTHopkins/status/627874522725806080 …
Sun Aug 02 14:35:45 PDT 2015 --  Jodhpurs and workout leggings - the only clothing that can comfortably accommodate my big bum! Jeans are a nightmare to fit right #Problems
Sun Aug 02 08:49:40 PDT 2015 --  #Sundays pic.twitter.com/a6BLZj2TTT
Sun Aug 02 08:48:56 PDT 2015 --  Sums up my lush #Sunday #Chilling pic.twitter.com/cCGaCDPrqh
Sun Aug 02 03:56:16 PDT 2015 --  #Summer is all about that #MidiDress pic.twitter.com/ZXkXYmDoDI
Sat Aug 01 05:41:08 PDT 2015 --  My face after shopping. #Naughty #SpentTooMuchMoney hehehehe pic.twitter.com/LG9SRZ9u7G
Fri Jul 31 15:10:50 PDT 2015 --  I will never like #Cardio or even tolerate it 🏼 pic.twitter.com/tcJzOi8BIH
Fri Jul 31 12:45:51 PDT 2015 --  So #Obsesses with this! #Music #Beautiful pic.twitter.com/YSd1k4bywc
Thu Jul 30 12:16:00 PDT 2015 --  You have to love her on her bad days when she is moody and irritated, just as much as you love her when everything is going great
Fri Jul 31 09:18:04 PDT 2015 --  Oh hey 3 day weekend! #Sun #Shopping #Holiday
Fri Jul 31 03:31:24 PDT 2015 --  #TeamTall #TallGirls #StandOut pic.twitter.com/4AVVpJXPCF
Thu Jul 30 08:08:03 PDT 2015 --  Do you know how crazy you look stalking my Twitter after I blocked you? Screenshot this and add it to your collection of me
Thu Jul 30 06:19:27 PDT 2015 --  Great feature on our fabulous yard at Maidwell in this week's @HorseAndHound. And on the front cover too! #Eventing pic.twitter.com/2q8rogVwW0
Thu Jul 30 05:21:09 PDT 2015 --  People really need to learn what #OliveSkin actually looks like And no it doesn't count when you have a tan IT'S NOT YOUR NATURAL SKIN
Wed Jul 08 22:58:06 PDT 2015 --  Relationship Goals pic.twitter.com/lTykJ3RqLr
Thu Jul 30 05:10:25 PDT 2015 --  #TBT so many #Memories and a lot of crazy nights with these girls #Friends #Geeks #Nutters #Ball #Party #Girls pic.twitter.com/xsDItVPbM3
Wed Jul 29 11:24:54 PDT 2015 --  Women crush Wednesday #WCW has to go to @khloekardashian who I personally… https://instagram.com/p/5ut-7FRw5TJvKWrpv72fhKP3Xeas3BJWlARj00/ …
Wed Jul 29 07:46:00 PDT 2015 --  pic.twitter.com/F8w0VGblIT
Wed Jul 29 07:19:56 PDT 2015 --  LOVE THIS! Six Strangers Chat In A Dark Room. When The Lights Turn On, They Can't Believe Their Eyes http://www.wimp.com/coke-label/  via @wimpcom
Wed Jul 29 05:14:33 PDT 2015 --  Done that enough times to last me a lifetime!! https://twitter.com/BestofGemini/status/626127809493245952 …
Wed Jul 29 05:11:43 PDT 2015 --  #TrueStory https://twitter.com/saimaloveee/status/626229903860477952 …
Wed Jul 29 03:00:47 PDT 2015 --  These incredible and beautiful animals won't exists for much longer! So cruel #HeartBreaking #ThisHasToStop https://twitter.com/Caradelevingne/status/626139497550340096 …
Wed Jul 29 02:58:10 PDT 2015 --  Disgusting. Protesters fasten threats to door of dentist who killed Cecil the Lion http://dailym.ai/1IpRwFc  via @MailOnline
Tue Jul 28 10:54:21 PDT 2015 --  She had to have a bit of time off so she's a little porky now! … https://instagram.com/p/5sFxQjxwyIfnJIJ3O82TAHPw-AT2ZU2lYUTtc0/ …
Wed Jul 22 10:58:13 PDT 2015 --  Girls be like.... "I woke up like this" lol Photographer @ryanastamendi pic.twitter.com/jExs2vSDUm
Mon Jul 27 04:50:56 PDT 2015 --  Pretty spot on! http://www.planetbuzo.com/astrology/face-reading/big-eyes.php …
Sun Jul 26 03:53:03 PDT 2015 --  So weird being back at Aston le walls and not working here! #Memories #Eventing #EventHorses
Sun Jul 26 03:51:06 PDT 2015 --  Having a giggle fence judging with Lucy and we see the legend that is @WilliamFoxPitt #Eventing #Intermediate pic.twitter.com/rEfIkyVi0k
Sat Jul 25 09:20:31 PDT 2015 --  Did 3 glute workouts after back. Hip thrusts/Walking lunges and really low squats all with just a 20kg weight. OUCH my bum/legs are killing!
Sat Jul 25 03:39:18 PDT 2015 --  Well times #StuntHorse pic.twitter.com/ikpjf71lVf
Thu Jul 23 13:01:33 PDT 2015 --  A jockey who broke her back in a fall is once again enjoying success http://po.st/H6aLYk  pic.twitter.com/aNIUsp7uCu
