Wed Jan 28 16:55:58 PST 2015 --  "@NicholasSturt: Guys, @CougaReview OPENS TOMORROW!!!! pic.twitter.com/y5ZjVebSP0" accurate character description
Wed Jan 28 16:00:41 PST 2015 --  In 24 hours exactly, the audience will enter the house to watch #CR2015 ! Come out Thurs, Fri, and Sat at 7:30 or *2:00* Sunday (NOT 2:30)
Wed Jan 28 15:01:06 PST 2015 --  If you have a few hours to spare come and see @CougaReview this weekend! Opens tomorrow @ 7:30 #BritAndSabs pic.twitter.com/kW5d6QvoJX
Wed Jan 28 12:36:08 PST 2015 --  CougaReview Cyberspace Jam is awesome! Shows: Thursday, Friday & Saturday 7:30pm and Sunday 2:30pm @CougaReview pic.twitter.com/gKDrEmfsW4
Wed Jan 28 13:28:20 PST 2015 --  Took-in @CougaReview Cyberspace Jam rehearsal; incredible amount of work by writers, choreographers, cast & crew #fun pic.twitter.com/uT57h2MM26
Wed Jan 28 05:40:18 PST 2015 --  #ExecStaffBreakfast @susanmarie96 pic.twitter.com/aZEQSSLRqB
Mon Jan 26 09:21:46 PST 2015 --  ALL CAST AT REHEARSAL TONIGHT! Dancer dancers and senior girls: 6:20, senior guys: 7:15. NO EXCUSES! @Eerieshoreboyz @jclark_343 @tfinch54
Mon Jan 26 08:24:20 PST 2015 --  @CougaReview 2015 hits the stage this week... pic.twitter.com/npD1mYQM86
Sun Jan 25 20:58:59 PST 2015 --  #CR2015 opens THIS Thursday! Make sure you catch the morning announcement to hear @tfinch54 and @tspurgeonhess give you a sneak peek!
Fri Jan 23 09:57:49 PST 2015 --  Because he's better than you, come see @tfinch54 in #CR2015 pic.twitter.com/48irEmMm73
Fri Jan 23 09:54:45 PST 2015 --  You'll also wanna check out @gillyRos3 and @MacKenzie_G1 in their beautiful costumes! pic.twitter.com/JpmYeQAZaI
Fri Jan 23 09:51:03 PST 2015 --  Come see @JohnSchlachter and @OctVazquez in their costumes pic.twitter.com/UH7ivekrZ7
Thu Jan 22 19:28:27 PST 2015 --  GUYS @CougaReview GOES ON IN ONE WEEK!!!!! pic.twitter.com/u3DtPnDRiR
Thu Jan 22 16:09:22 PST 2015 --  AH! One week! One week til opening night! Get ready for #CR2015 @BradRieger @McMurrray pic.twitter.com/tBlXI8naC1
Thu Jan 22 13:20:59 PST 2015 --  Reminder: Senior guys and girls need to be at rehearsal tonight! Girls at 6:30, guys at 7:30!
Wed Jan 21 18:00:38 PST 2015 --  WANTED: Someone to drive @dionnadamaskos to see CougaReview next weekend! Help her out, please
Wed Jan 21 15:00:35 PST 2015 --  Getting ready for #CR2015 - come see the show at 7:30 Jan 29-31 or at 2 p.m. on Sunday, Feb 1! Tickets… http://instagram.com/p/yIjd-yKKt_/ 
Wed Jan 21 12:05:37 PST 2015 --  Boys chorus line practicing for next week's @CougaReview -Cyberspace Jam!! pic.twitter.com/rhwEFm9OXX
Wed Jan 21 09:48:02 PST 2015 --  Correction senior guys from 2:45-4 and senior girls from 4-5
Wed Jan 21 09:34:56 PST 2015 --  Rehearsal is ON for today at our scheduled times - this goes for senior guys, girls and cast. Spread the word! Be there! First show = 1 week
Wed Jan 21 08:53:27 PST 2015 --  Waiting for a call back about rehearsal today... Stay tuned! @Eerieshoreboyz @jclark_343 @tfinch54 @ahatty1997 @tayybush
Mon Jan 19 15:01:28 PST 2015 --  Remember, scheduled 2 hour delay tomorrow!
Mon Jan 19 11:58:29 PST 2015 --  Buying some muscles for @OctVazquez pic.twitter.com/Cs7tUJ3WTg
Mon Jan 19 11:31:36 PST 2015 --  #CR2015 senior guys will be pic.twitter.com/bmaJOgZZ8R
Mon Jan 19 11:10:39 PST 2015 --  Costume shopping time - bought @JohnSchlachter a beautiful blouse to wear
Sun Jan 18 10:11:31 PST 2015 --  DANCER DANCER REHEARSAL: Tuesday 2:45-4
Sun Jan 18 10:12:11 PST 2015 --  SENIOR BOYS REHEARSAL: Wednesday 2:45-4 Thursday 2:45-4
Sun Jan 18 10:12:50 PST 2015 --  SENIOR GIRLS REHEARSAL: Wednesday 4-5 Thursday 4-5
