Tue Jul 28 16:49:51 PDT 2015 --  May u become an expert n the field God has placed u in! May u b considered the best in ur industry & global doors of opportunity open 4 u!
Tue Jul 28 16:55:06 PDT 2015 --  I pray God blesses me with a sho nuff need that has to be accomplished in regards to me being a major help to someone during my birthday.
Tue Jul 28 16:52:44 PDT 2015 --  Like, I want to feel special on my birthday. I want to celebrate.
Tue Jul 28 16:51:48 PDT 2015 --  But next year, I want to go out & enjoy myself for my birthday. I don't my day completely consumed by me catering to any one.
Tue Jul 28 16:49:50 PDT 2015 --  Today is my birthday.
Sun Jul 26 10:51:15 PDT 2015 --  I hate when people smell like mothballs
Mon Jul 27 19:21:53 PDT 2015 --  I haven't watched wrestling in so long I just turned it on and they have a black commentator..We coming up yo
Mon Jul 27 19:23:15 PDT 2015 --  Take your relationship with God seriously
Mon Jul 27 12:15:08 PDT 2015 --  OMGGGGGGGG!!!!!!!!!! https://twitter.com/shanicoreen/status/625745295557718016 …
Sun Mar 29 23:07:13 PDT 2015 --  People UNDERATE the miracle in sleeping in the night and waking up in the morning. RT to thank God
Fri May 01 02:01:04 PDT 2015 --  Who remembers this dude? pic.twitter.com/hlzArztfyA
Mon Jul 27 18:10:58 PDT 2015 --  Read a post that said "while ur spending every Monday looking for a MCM & u have no job, u need an IMM (Interview Monday Morning)
Mon Jul 27 18:11:11 PDT 2015 --  In spite of how you feel, people that love you tell you the truth because they know it will help you even if it hurts you. #GoodAdvice
Mon Jul 27 18:08:24 PDT 2015 --  Because it's when you're actually at the bottom; that moment when you can't get up. That's when it starts. That's where you grow.
Mon Jul 27 18:10:01 PDT 2015 --  You gotta fail to build. You don't get tough playing it safe.
Mon Jul 27 18:15:05 PDT 2015 --  With God we can make it
Mon Jul 27 18:29:39 PDT 2015 --  Besides being alive, I pray that God blows my mind!
Mon Jul 27 18:27:56 PDT 2015 --  I mean, I really want to enjoy myself.
Mon Jul 27 18:16:25 PDT 2015 --  I'm already aggravated, wrong time to get on my nerves lbs
Mon Jul 27 05:24:39 PDT 2015 --  If they stop you from getting closer to God, you should get them out of your life.
Mon Jul 27 18:23:24 PDT 2015 --  I pray that my birthday tomorrow is the bomb & better than it has been than these past couple of days.
Sun Jul 26 21:08:37 PDT 2015 --  This situation sucks.
Wed Jul 22 19:14:43 PDT 2015 --  Put nothing past noooooobody.!!
Fri Jul 24 20:01:05 PDT 2015 --  Do I have time for games? 　 N 　　 O 　　　 O 　　　　 O 　　　　　o 　　　　　 o 　　　　　o 　　　　 。 　　　 。 　　　. 　　　. 　　　 . 　　　　.
Sat Jul 25 14:09:14 PDT 2015 --  Ask God to help you find YOU today…not another love, not another job, not another “blessing” but just YOU…and then YOU will draw what’s His!
Sat Jul 25 15:00:43 PDT 2015 --  And why do they have a million names for meth?
Sat Jul 25 14:05:33 PDT 2015 --  We have to be willing to take a hard look in the mirror at ourselves. Ministry, marriage, babies, and money don't heal a broken heart
Fri Jul 24 16:22:07 PDT 2015 --  They know they wouldn't do nothing so they assume you won't either.... That's an error in judgement.
