Tue Aug 18 08:13:55 PDT 2015 --  #GBOOSTED pic.twitter.com/BHDcJ5WUMv
Mon Aug 17 12:56:18 PDT 2015 --  Отправил шифратор на тестирование и общий разбор.Пусть пытаются раскрыть реализацию :) #Хак #Невозможно
Mon Aug 17 11:17:16 PDT 2015 --  УРА!Релиз!Дыр нету и всё работает! #Ура #Релиз #ЯСмог
Mon Aug 17 09:31:12 PDT 2015 --  Всё же я дошёл до конца.Скоро выложу релиз! #Ура #ДошёлДоКонца
Mon Aug 17 01:58:36 PDT 2015 --  Заделал по одному конструктору для шифровки\дешифровки. #ЖитьЛегче #КодаМеньше
Sun Aug 16 13:41:53 PDT 2015 --  Скомпилил в релиз.Отдал на тест.На дебаге реализация была закрыта,в релизе открыта. #Лол #Дыра #Исправляю
Sun Aug 16 13:14:07 PDT 2015 --  Пилю конструкторы под быструю шифровку\дешифровку. #ВсёУдачно #ПочтиГотово
Sun Aug 16 13:13:05 PDT 2015 --  В шифраторе есть 3 варианта шифровки.Все 3 реализовал. #ПодхожуКПродакшену #СкороРелиз
Sun Aug 16 10:15:33 PDT 2015 --  Пишу шифратор. #Криптография #GNU #MixStyle #CPlusPlus #C
