Tue Aug 25 10:51:19 PDT 2015 --  Si a mi también me duele y mucho #Tucuman #Tucumanazo pic.twitter.com/eGV4GXBLnu
Tue Jul 15 19:14:10 PDT 2014 --  http://fb.me/6wmGwxK1c 
Tue Jul 15 19:11:54 PDT 2014 --  http://fb.me/37JUszlb8 
Fri Jul 11 18:28:06 PDT 2014 --  Amigos aquí les dejo el link de la revista de este mes... http://fb.me/2wEXGYS1c 
Sat Jul 05 09:28:42 PDT 2014 --  He publicado una foto nueva en Facebook http://fb.me/1gHOFIpv1 
Thu Jul 03 18:07:04 PDT 2014 --  http://fb.me/2Nip751WY 
Thu Jul 03 18:06:59 PDT 2014 --  http://fb.me/6wkMNubrL 
Sat Jun 21 09:21:17 PDT 2014 --  He publicado una foto nueva en Facebook http://fb.me/2XccV2G1G 
Fri Jun 20 10:16:23 PDT 2014 --  He publicado una foto nueva en Facebook http://fb.me/1VW8f8DYk 
Tue Jun 17 09:03:26 PDT 2014 --  Emocionante hasta el final http://fb.me/2m64LBX78 
Fri Jun 13 16:32:59 PDT 2014 --  http://fb.me/2qtoU5GBi 
Thu Jun 12 18:45:27 PDT 2014 --  Hola Amigos les cuento que soy consultor de productos Natura, soy nuevo en esto así que ya saben los/as que... http://fb.me/6wQzdKJUY 
Thu Jun 12 18:05:29 PDT 2014 --  http://fb.me/6yApciWJ2 
Tue Jun 10 22:53:48 PDT 2014 --  Entrenando a la hinchada para alentarte Argentina!!!
Fri Jun 06 18:05:51 PDT 2014 --  Natalia Robles http://fb.me/2VH1Q4ulO 
Thu Jun 05 18:19:28 PDT 2014 --  Natalia Robles http://fb.me/2uig94twM 
Mon Jun 02 12:31:44 PDT 2014 --  http://fb.me/6mgd4gMaw 
Sat May 31 19:36:46 PDT 2014 --  Para los lideres un mensajito.. http://fb.me/3bxXwItvJ 
Wed May 28 17:55:31 PDT 2014 --  http://fb.me/3gQdLN9BT 
Wed May 28 17:52:23 PDT 2014 --  Gracias x tus ricas comidas mi Amor Natalia Robles , Ignacio y yo nos saboreamos :p http://fb.me/6AKUNOkfq 
Wed May 28 10:54:15 PDT 2014 --  http://fb.me/2Mmc7MBPV 
Mon May 12 21:01:19 PDT 2014 --  http://fb.me/2piJKxj5b 
Sat May 03 13:40:24 PDT 2014 --  http://fb.me/6yEcykm52 
Thu May 01 10:11:35 PDT 2014 --  http://fb.me/1s4Ewy1k5 
Thu May 01 08:38:46 PDT 2014 --  A todas las personas que de una u otra forma cada día se esfuerzan para cumplir su tarea diaria les deseo un... http://fb.me/2iP61P1YF 
Sat Apr 19 09:40:39 PDT 2014 --  He publicado 89 fotos en Facebook en el álbum "Feliz 1er Año de vida Hijo". http://fb.me/6si9fa69N 
Sun Apr 13 10:39:29 PDT 2014 --  Para vos Natalia Robles http://fb.me/6AJAkscwD 
Sun Apr 13 10:34:48 PDT 2014 --  http://fb.me/6QtYiH31E 
Sat Apr 12 16:47:11 PDT 2014 --  http://fb.me/3MLPSwncN 
