Tue Aug 25 09:30:27 PDT 2015 --  JET BLACK HEART #SGFG http://5sosf.am/vjnufZ  http://5sosf.am/PY2tfk  pic.twitter.com/C9wCN7LZCA
Tue Aug 25 11:53:03 PDT 2015 --  Retweet for Ashton! #ShesKindaHotVMA pic.twitter.com/rGO1hnNjZN
Mon Aug 24 20:25:35 PDT 2015 --  Bros #ShesKindaHotVMA https://vine.co/v/ep2eJjFYgdK 
Mon Aug 24 20:29:03 PDT 2015 --  Cuando estas durmiendo pero te recuerdas que no terminaste de votar y BUM! #ShesKindaHotVMA -M"x" pic.twitter.com/FSi2IFoqPN
Mon Aug 24 20:43:16 PDT 2015 --  How many RTs for Fetus 5SOS? #ShesKindaHotVMA pic.twitter.com/ky5Oo5W35N
Mon Aug 24 20:34:03 PDT 2015 --  Depresion nivel: 5SOS We'll never be as young as we are now :') #ShesKindaHotVMA -M"x" pic.twitter.com/3KavMZZhMA
Mon Aug 24 20:20:14 PDT 2015 --  HEY I'M DOING FINE #ShesKindaHotVMA https://vine.co/v/ejbB3VBQjtP 
Mon Aug 24 08:18:19 PDT 2015 --  I'm calling best invention ever pic.twitter.com/ZLIhC2K2kx
Mon Aug 24 19:30:26 PDT 2015 --  'el fandom de 5sos está arrasando en estas votaciones' y nosotras tipo.... #ShesKindaHotVMA pic.twitter.com/v3jxHwZrdV
Mon Aug 24 19:53:55 PDT 2015 --  @5SOSLA_NOTICIAS SIEMPRE AMANDO LA 5SOSFAMILY #ShesKindaHotVMA pic.twitter.com/7JS6iM8JQL
Mon Aug 24 19:55:47 PDT 2015 --  #ShesKindaHotVMA https://vine.co/v/ejbnHHzMhZD 
Mon Aug 24 20:01:09 PDT 2015 --  Calum? #ShesKindaHotVMA https://vine.co/v/ejbiv1aOqua 
Mon Aug 24 20:02:40 PDT 2015 --  The SKH dance by Michael and Calum #ShesKindaHotVMA https://vine.co/v/ejbO7mYKi17 
Mon Aug 24 18:50:16 PDT 2015 --  @Tha5SOSFamily can we all take a moment and appreciate Mikey's red lips? Does he use lipstick or #ShesKindaHotVMA pic.twitter.com/z85MIPniQt
Mon Aug 24 19:08:58 PDT 2015 --  @5SOSLA_NOTICIAS pic.twitter.com/JRiyEvtFcZ
Tue Aug 18 16:06:17 PDT 2015 --  Cuando veo a directioners diciéndome que vote por 5H y no por 5sos #sheskindahotvma pic.twitter.com/S2fXzje4gk
