Sat Jan 03 11:20:13 PST 2015 --  Dont pretend to be okay, when youre not okay.
Thu Jan 01 21:05:48 PST 2015 --  Nape rindu nak curi amisha @eva_aishah :'(
Thu Jan 01 21:04:47 PST 2015 --  A best friend know if u're lying @eva_aishah @Nurinazani @AShauqina
Wed Dec 31 07:41:45 PST 2014 --  #PeopleWhoMakeMy2014 @eva_aishah
Wed Dec 31 07:56:45 PST 2014 --  Count down to 2015.
Wed Dec 31 05:34:00 PST 2014 --  Style Perempuan "Perempuan kalau dengan kawan-kawan dia tak cepat marah tapi kalau dengan adik beradik dia. Haaa amek kau cam singa."
Sun Dec 28 23:29:04 PST 2014 --  Kenapa wanita yang mengandung bukan lelaki? Sebab wanita jeritnya halus dan cantik. Cuba bayangkan lelaki yang menjerit time nak beranak?
Wed Dec 31 06:07:55 PST 2014 --  aku ceraikan kau 2014 dgn talak 3 dan aku terima 2015 dgn hantaran 365 hari dibalas dgn 12 bulan , 8760 jam , 525600 minit , 31536000 saat .
Wed Dec 31 07:50:41 PST 2014 --  #PeopleWhoMakeMy2014 @eva_aishah
Wed Aug 20 07:19:25 PDT 2014 --  Perempuan asal nk kahwin je baru nk pakai tudung. Kesian kat suami tapi bapak sendiri campak masuk neraka.
Tue Dec 30 22:45:08 PST 2014 --  @eva_aishah @Nurinazani cibai bhaii semasing ..aku siap nak g keje ar sengall --" ..haha ..
Tue Dec 30 22:48:24 PST 2014 --  @Nurinazani @eva_aishah hahaha ..sengall .. Udah udah lee tuhh ..jangan nak kutok2 linggi kay ?? Naik skola aku sekeh sorang2 ...haha
Tue Dec 30 22:49:07 PST 2014 --  @eva_aishah @Nurinazani cibaii --" dye da masuk tudm lhaa ..dye da idok keje cni ar..
Tue Dec 30 22:46:30 PST 2014 --  @dangdanisyah @eva_aishah alahhaii. Hahaha yelahh budak kejer kita duduk umahh makan je kan echott? Hahah
Tue Dec 30 22:29:24 PST 2014 --  @Nurinazani @eva_aishah aku cni line H+ pastu wifi mantap ...ape mau citakk winn ?? Haahaha
Tue Dec 30 22:35:32 PST 2014 --  @eva_aishah @dangdanisyah bhahahahha pikir sape yg mcm tak cukup mkn niehh balik linggi naik 10kg hahahhaha
Tue Dec 30 22:40:37 PST 2014 --  @eva_aishah @dangdanisyah hahahaha bengong ah echott. Mne ntahh line H+ ngan wifi dia tuhh. Balas lmbt gakk
Tue Dec 30 22:30:24 PST 2014 --  @dangdanisyah @eva_aishah dah ahh kauu balas twitter tdi pun lmbt lahh. Hahahah dah ahh dang menang sbb jog tgh2 malam
Tue Dec 30 22:07:30 PST 2014 --  @eva_aishah @dangdanisyah hahahha echot siot jerr. Ntah ade ke takk line kt cameron tuhh
Tue Dec 30 22:03:17 PST 2014 --  @dangdanisyah @eva_aishah hahaha balikblah cepat oii. Get ready nk sek lagi seminggu
Tue Dec 30 22:02:21 PST 2014 --  Saia rindu geng movie @Nurinazani @eva_aishah :'((((
Sun Dec 28 21:07:39 PST 2014 --  " @lawakselamber: RT kepada sesiapa yang pernah kena. pic.twitter.com/F55EUrAEba"
Thu Dec 11 21:12:07 PST 2014 --  Pretty girls gets the most attention no matter how bad their attitude is bcs they're pretty
Sun Dec 28 19:34:00 PST 2014 --  Twitter DA bole log in. Alhamdulilah
Fri Dec 26 08:44:16 PST 2014 --  Salam yg paling menggembirakan hati. pic.twitter.com/sdOOuNXqXC
Sat Dec 27 05:23:30 PST 2014 --  haha maybe we are too much .. but you do not know hpw i feel when my friend backstab me haha
Thu Dec 25 09:22:40 PST 2014 --  Al Fatihah untuk diri sendiri yang baru nak kira dosa bila Allah dah hantar petanda
Mon Dec 22 22:20:57 PST 2014 --  "Perempuan sanggup cari jalan jauh daripada kena lalu depan lelaki2 yang tengah lepak ”
Thu Dec 25 21:20:16 PST 2014 --  Yang kata seremban dah banjir bagai tu, meh sini tngok gmbr ni. Ayah aku ada kat situ n baru je kasi gmbr. pic.twitter.com/B9mPXr040r
Thu Dec 25 21:15:10 PST 2014 --  GAMBAR PALSU TAHUN 2012 SEREMBAN BANJIR , MOHON SEBARKAN , BUDAK SEKOLAH ACS SEREMBAN YANG SIMPAN GAMBAR NI , pic.twitter.com/IiNxsQ3x6q
Thu Dec 25 21:11:24 PST 2014 --  I heard some places in Johor and Negeri Sembilan dah mula naik air. Allahu. Pls be safe everyone. Jgn stop doa! #PrayForMalaysia
Thu Dec 25 20:55:25 PST 2014 --  Kuasa Allah. Allahuakbar. pic.twitter.com/7Anc7V3Izx
Thu Dec 25 20:57:24 PST 2014 --  :') pic.twitter.com/FJbenWC9WT
Tue Dec 23 21:39:19 PST 2014 --  Kenapa aku benci budak budak wechat. pic.twitter.com/YOm3FEmaJO
Thu Jul 24 02:20:21 PDT 2014 --  bila kartun lg lawa dr kau pic.twitter.com/JvkKP3k0cC
Wed Dec 24 09:30:43 PST 2014 --  pergi petronas nak isi minyak kereta tak beli lagi HAHAHAHAHHAHAHAAHHAHAHAHAHAHHHAHAHAHAHAHAHAHAHAHAHHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHHA
Mon Dec 01 19:57:39 PST 2014 --  APABILA MATA IBUMU SUDAH TERTUTUP , MAKA HILANGLAH SATU KEBERKATAN DI SISI ALLAH , IAITU DOA SEORANG IBU . SEBARKAN WALAUPUN SATU AYAT :)
Thu Dec 25 04:31:02 PST 2014 --  Rata2 hanya org2 tua shj di tmpt pengagihan barangan mgsa banjir. Mna bdk2 muda yg hari2 duk mkn besi kat gym tu, tkkn takut susut kena hjn.
Thu Dec 25 03:55:31 PST 2014 --  Seorang pemuda Cina mendukung warga emas Melayu mengharungi banjir. Respect! pic.twitter.com/GEjKOYsEh0
Thu Dec 25 18:06:11 PST 2014 --  Kun faya kun. Maka jadilah ia. Pray for the best, not only for pantai timur but Malaysia. Pray for Malaysia.Dugaan demi dugaan.
Thu Dec 25 07:56:22 PST 2014 --  Sebelum ajal/kiamat Bg aku rasa bahagia ,ada suami,anak-2,beraya dgn suami/anak/makAyah , Pergi umrah/haji dgn mereka , bg aku rasa ya Allah
Thu Dec 25 19:04:45 PST 2014 --  Janganlah Negeri Sembilan banjir :') Amin .
Thu Dec 25 07:31:32 PST 2014 --  Aq ingt anak noghori ni pndai rap je,dakwah pun pndai haha
Thu Dec 25 07:29:00 PST 2014 --  Pu azman juara ni
Thu Dec 25 07:04:54 PST 2014 --  Mimbar Akhir Pencetus Ummah ni power doh. Spiritual oratorship.
Thu Dec 25 07:27:17 PST 2014 --  Kalau subuh weekends lagi la. Pernah menyorok bawah katil sebab malas nak pergi surau punya pasal HAHHAHAHHA astaghfirullah jahilnya aku
Thu Dec 25 07:02:30 PST 2014 --  “ @ArsyadJohari: Se-gemuk gemuk ikan buntal, akan menjadi ikan yu juga pic.twitter.com/C6Isl8mLfw” This is so inspiring.
Thu Dec 25 07:22:55 PST 2014 --  Paling rasa nak emo kalau badar ketuk pintu kuat kuat mcm nak roboh. EMO SIAL HAHAHAHHAA
Mon Oct 21 01:47:20 PDT 2013 --  YA ALLAH, ENGKAU BERIKANLAH ORANG YG RETWEET DAN FAV GAMBAR INI DAPAT MENCIUM HAJARAL ASWAD YG INDAH INI. AMIN pic.twitter.com/CaMOC7doZ7
Thu Dec 25 05:31:41 PST 2014 --  Gentle nak penyepak dapat Boss or Lecturer macam ni. Bangang tak faham bahasa pic.twitter.com/hF87AendbC
Thu Dec 25 07:35:54 PST 2014 --  Tahniah PU azman. Anak jati n9
Thu Dec 25 05:45:39 PST 2014 --  apa tujuan penggunaa NaCl dalam proses saponifikasi ? #throwback
Mon Dec 22 05:05:31 PST 2014 --  bila dapat kalendar 2015, first yang kita tengok adalah bila hari birthday kita. second bila cuti sekolah. haha
Mon Dec 22 00:56:29 PST 2014 --  PT3 kata susah mcm U. Form 4 kata naik dulu form 4 baru tau. SPM kata SPM lg susah. Student U pulak pakat bash dak-dak sekolah. Drama betul.
Thu Dec 18 18:32:14 PST 2014 --  Hari Jumaat, perbanyakkan selawat. Nak syafaat?
Tue Dec 16 07:27:22 PST 2014 --  "Tengok batch sendiri sebelum kutuk batch orang" be tough valeds II, let go the haters
