Sun Aug 16 17:01:21 PDT 2015 --  Allah bagi kita ujian hidup supaya kita boleh belajar dan ambil iktibar dari kesalahan. Bukan nak give up, tension, lantakkan etc
Sun Aug 16 17:07:00 PDT 2015 --  98% of your problems can be solved by not overthinking everything.
Sun Aug 16 00:34:54 PDT 2015 --  pic.twitter.com/ubARPHChqc
Sun Aug 16 00:34:36 PDT 2015 --  AYAH pic.twitter.com/VObzTgCAbt
Fri Aug 14 03:54:00 PDT 2015 --  Pernah ? Kau bagi kwn kau pinjam duit. Tapi , Kau yang rasa malu Kau yang rasa serba salah Nak minta dekat dia balik. Dia buat rilek je.
Sat Aug 15 23:14:57 PDT 2015 --  " Matang itu tidak datang dari usia , tapi dari pengalaman berdasar apa yang kau pernah rasa ."
Sat Aug 15 23:31:20 PDT 2015 --  Apa lah nak dikejar sangat trend hipster ni. Bukannya nanti tulis dekat batu nisan kau 'Allahyarhamah merupakan seorang hipster'.
Sat Aug 15 23:31:51 PDT 2015 --  Perempuan kuat berahsia dan memendam perasaan. Susah nak faham. Kalau dia dah luahkan sesuatu, mesti orang yang penting sahaja boleh dengar.
Sat Aug 15 15:10:15 PDT 2015 --  Tiramisu pic.twitter.com/JVTRvTHbS4
Sat Aug 15 16:20:11 PDT 2015 --  Mulakan pagi dengan senyuman dan beberapa makanan. Selamat pagi semua.
Thu May 21 04:44:29 PDT 2015 --  Ni kalau test jpj naik bkt ni . Mahu satu malaysia x lulus jpj sbb bukit pic.twitter.com/9fFAVpazkQ
Sat Aug 15 16:27:17 PDT 2015 --  "Rabbi Yassir Wala Tu'assir" Tuhanku, permudahkanlah & jangan persulitkan. "Rabbi Tammim Bilkhair" Tuhanku, sempurnakanlah ia dgn kebaikan.
Sat Aug 15 04:10:31 PDT 2015 --  Syaitan says, Your sins are too many to be forgiven. Allah says, If your sins were to reach the sky, I would still forgive you.
Sat Aug 15 07:59:38 PDT 2015 --  Too cute to handle. He's so adorable Rasa mcm nk cium2 je pipi bolat tu hari2. #anaksepupu… https://instagram.com/p/6aHxcLO2Xb/ 
Sun Dec 14 06:30:35 PST 2014 --  People be like Tungg ahh kaya Tungg ahh cantik Tungg ahh hot Dont compare yourself with others, you should proud to be yourself.
Fri Aug 14 22:33:20 PDT 2015 --  Enjoy layan cita kung fu panda 2.
Thu Aug 13 07:06:22 PDT 2015 --  waaaaaah!!! handwriting damn nice weiiii pic.twitter.com/LIMPafwn1n
Fri Aug 14 10:30:37 PDT 2015 --  Couldn't be more accurate http://9gag.com/gag/aEzPrmo?ref=tp … pic.twitter.com/3F8URXI0Zy
Fri Aug 14 10:53:29 PDT 2015 --  semua orang boleh jadi flawless dengan camera360, yes semua orang termasuk bangla. silap haribulan bangla pun boleh nampak macam korea.
Tue Aug 11 07:52:35 PDT 2015 --  Orang rabun ja faham. The struggle is real pic.twitter.com/GjxcgVZ5nG
Fri Aug 14 05:23:24 PDT 2015 --  Kesian bini. Baru Sehari nikah suami dah anggap mcm nyamuk pergi fogging kat muka. pic.twitter.com/FNOnkeYB0Q
Fri Aug 14 08:42:29 PDT 2015 --  Umur mcm ni dah boleh fikir masa depan kot. Fikiran tu mau matang sikit.
Thu Aug 13 19:26:05 PDT 2015 --  Yg result gempak2 tu jgn angkuh sangat. Ingat result gempak dpt keje best. Aku dulu sekolah pun bodo, nasib ada keje. Rezeki bkn pd pointer
Mon Aug 10 23:10:11 PDT 2015 --  #TipsMasukU jangan duk compare result dengan orang course lain. Lain course, lain penyeksaannya.
Mon Aug 10 04:42:14 PDT 2015 --  Heaven. Nasi kandar. Nyum3 pic.twitter.com/PxJ0Xe8vWZ
Sun Aug 09 00:17:06 PDT 2015 --  Bestnyaa dapat msak and then bagi bapa ng adik makan. Hehe
Wed Aug 05 05:51:18 PDT 2015 --  Thank you mekk sudi keluar ng aku. Mai umah aku pastu merempit dgn aku. Hahaha. nnt kita jumpa… https://instagram.com/p/6AI1CQO2aZ/ 
Tue Aug 04 21:09:52 PDT 2015 --  Waiting for farah. Farah cepatlaaaaa mai @farahlee94 hahaha
Thu Jul 30 03:14:17 PDT 2015 --  So, it's not too late to share a #FriendshipDay quote right? HAPPY FRIENDSHIP DAY all ! Have a nice life ever after! pic.twitter.com/OiLl6ATjgT
Thu Jul 30 03:47:14 PDT 2015 --  Muka dah hitammm oiii..
Thu Jul 23 00:43:15 PDT 2015 --  Layan crita carmela.
