Wed Jul 01 18:04:03 PDT 2015 --  Sushi Hand Roll CHEERS !!!!! Cutest Picture to share :) pic.twitter.com/Hp4g4jTBag
Wed Jul 01 06:05:27 PDT 2015 --  Try Cherry Blossom Roll !!! Lots Tuna and others !!!! Yum pic.twitter.com/ToBOPfDvps
Tue Jun 30 10:00:24 PDT 2015 --  We are open regular hours on 4th of July weekend !!!!! Hope to see you EVERYONE !!!!! pic.twitter.com/LEE91SRfCM
Sun Jun 28 07:15:24 PDT 2015 --  We were pack last night!!! I like to thank you ALL :) We always try to serve you the best food and services!!! pic.twitter.com/LI731an3qU
Fri Jun 26 07:27:34 PDT 2015 --  Corona Roll(lime on top-front) , Blue fusion Roll (Fried roll) - Yummy!!! pic.twitter.com/KUWGKlF4b1
Sun Jun 21 09:50:24 PDT 2015 --  All Father get Free Dessert at SUSHI BLUE !!!!!!! Happy Father's Day !!!!!! pic.twitter.com/uwSzjltbnb
Thu Jun 18 10:12:19 PDT 2015 --  Love Octopus????? Try our Octopus Salad or Baby Octopus Salad. Yum !!!!!!!!!! pic.twitter.com/e9qtsxlFbg
Tue Jun 16 10:19:12 PDT 2015 --  pic.twitter.com/P2Z8flpbRi
Thu Jun 11 17:46:44 PDT 2015 --  Nigiri(Sushi)- white tuna, Eel, Tobiko, Tamago Yummy:) pic.twitter.com/WxLmXIl9sO
Sat Jun 06 18:22:45 PDT 2015 --  Think about Sushi !!!!! It's not too late we are still OPEN till 11:00PM pic.twitter.com/e27mSDrCVF
Sat Jun 06 13:41:58 PDT 2015 --  Hungry for Sushi ? Come see us :) pic.twitter.com/rlRVkKO3y5
Sat Jun 06 13:40:41 PDT 2015 --  Remind you business hours!!!!!! pic.twitter.com/vgUzFWwaoN
Thu Jun 04 20:02:15 PDT 2015 --  Fresh Salmon !!!! pic.twitter.com/BuWwW3GcNW
Sun May 24 13:39:58 PDT 2015 --  To Honor Memorial Day We will be closed Monday. pic.twitter.com/e18SX5oMD0
Sat May 23 14:04:03 PDT 2015 --  We open till 11:00 PM on Saturday. Come see us and have a great Sushi at SUSHI BLUE !!!!!!!! pic.twitter.com/wEgGGpkkqm
Fri May 22 16:48:42 PDT 2015 --  Thank you @blue_lexington for the amazing dinner this evening #LasVegas #AtomicBomb #MAJ pic.twitter.com/7xXFUfbaWb
Thu May 21 18:11:58 PDT 2015 --  Chrishi - Sushi rice with Various Sashimi on top !!!! pic.twitter.com/NLndte7m8A
Tue May 19 15:00:43 PDT 2015 --  SUSHI BLUE New business hours !!! pic.twitter.com/DvrwfXrnch
Thu May 07 19:13:06 PDT 2015 --  Popular items today in SUSHI BLUE IN LEXINGTON KY. pic.twitter.com/NohKi3b6fM
Tue Apr 28 09:09:32 PDT 2015 --  Following this Friday, Saturday will be open until 11:00.
Mon Apr 27 16:14:23 PDT 2015 --  More selections of Sake! pic.twitter.com/ONPEIk17tb
Wed Apr 15 16:44:31 PDT 2015 --  Exciting to serve Lexington customers tonight!!! They knew we have beers wine sake!!!!!
Wed Apr 15 13:44:04 PDT 2015 --  We have more selections !!! pic.twitter.com/RDIMcOz4fl
Wed Apr 15 10:25:35 PDT 2015 --  Yes Yes we have Sake, Beer, Wine!! We passed inspection:) It's been going good. pic.twitter.com/I27G11GTdW
Tue Apr 14 18:44:17 PDT 2015 --  We will have more selection tomorrow !!!!!!! pic.twitter.com/gi0qQdGmiD
Mon Apr 13 07:47:19 PDT 2015 --  We got both Licenses from City and State. Now we can serve Sake, Beer, Wine. Thank you for waiting !!!!!! pic.twitter.com/aWWiQDtkaL
Fri Apr 10 11:25:31 PDT 2015 --  Just waiting for another License from Kentucky State !!!! pic.twitter.com/9B3wZ7KLtX
Tue Mar 17 04:23:03 PDT 2015 --  Welcome to SUSHI BLUE !! Grand opening today at 11:00 Am. Hope to see you all !!!! pic.twitter.com/7cnpJQobrQ
Mon Jan 19 13:25:56 PST 2015 --  We are opening the restaurant SOON!!!!!! SUSHI BLUE In Lexington Kentucky Serving fantastic sushi EVER!!! Check it out!!!!
