Wed Aug 05 14:02:13 PDT 2015 --  RT when you see it pic.twitter.com/FtY6uL6UXt
Sun Nov 23 16:00:46 PST 2014 --  Thanks to @EmbassySuites in San Luis Obispo for another great stay. We will see you again soon.
Tue Nov 11 09:15:10 PST 2014 --  Thanks to all who have served! #FreedomIsNotFree
Tue Nov 11 09:30:58 PST 2014 --  sincere thanks to the men and women who served our country then and now #HappyVeteransDay
Thu Oct 30 10:20:17 PDT 2014 --  Miss A’s baseball? Unlock 2015 promotions. Promotion #1 revealed. RETWEET to unlock Promo #2, Promo #3, Promo #4. Go! pic.twitter.com/eZ0mDHu0gc
Tue Oct 28 10:00:35 PDT 2014 --  RT to wish Bob Melvin Happy Birthday! #GreenCollar pic.twitter.com/dtwZIa5EVu
Mon Sep 22 23:49:37 PDT 2014 --  Harrison's b-day request to the @Athletics. Hoping for a win for their biggest fan! #OAKtober #ibelieveinstephenvogt pic.twitter.com/d80kzKdfpf
Tue Sep 16 20:16:28 PDT 2014 --  RT if this is your family. #TIWILY #KathrynHahn @conniebritton pic.twitter.com/dDXszjqwoM
Sat Sep 06 09:59:05 PDT 2014 --  Another fun day ahead! @beachboardwalk pic.twitter.com/rKbvCD4JKi
Fri Aug 29 10:46:32 PDT 2014 --  Happy #FreeMugFriday! Follow us & RT for your chance to win a 95th Anniversary Collector's Mug! pic.twitter.com/Ur36nFX3BN
