Sat Aug 15 03:30:01 PDT 2015 --  Bored.
Fri Aug 14 23:05:32 PDT 2015 --  Mulut kata benci. Tapi hati masih sayang.
Mon Aug 10 00:12:51 PDT 2015 --  Orang yang menerima dengan hati yang terbuka mengenai siapa kau dimasa lalu, orang tu lah yang paling layak kau jadikan masa depan
Fri Aug 14 20:35:06 PDT 2015 --  If he misses you, he'll call. If he cares, he'll show it. If not, he can't be worth your time because you're obviously not worth his.
Fri Aug 14 17:20:15 PDT 2015 --  pernah tak kau syg someone gila2, sampai kau letak dia atas skali dlm hidup kau. and lastly, dia pergi dari hidup kau.
Fri Aug 14 06:48:12 PDT 2015 --  Jatuh aku tanpamu. Hilang semua harapan. Dan impianku.
Thu Aug 13 00:40:49 PDT 2015 --  "Letak tangan di dada " " Ucaplah " " Aku bersyukur sebab Allah takkan tinggalkan aku " " Walaupun " " Ramai manusia yang tinggalkan aku "
Thu Aug 13 22:49:09 PDT 2015 --  Starting today, I need to forget what's gone, Appreciate what still remains, and look forward to what's coming next.
Thu Aug 13 22:39:46 PDT 2015 --  Bismillahirrahmanirrahim
