Sat Feb 07 11:00:17 PST 2015 --  RAISE YOUR HAND IF YOU'RE GOING TO BE ALONE ON VALENTINE'S DAY pic.twitter.com/Wehle2XObE
Sun Feb 08 07:43:39 PST 2015 --  Think about it... pic.twitter.com/oyaYD3M2ZS
Sun Feb 08 09:12:15 PST 2015 --  am i the only one pic.twitter.com/gK2j8v9p3G
Sun Feb 08 09:51:01 PST 2015 --  If every kiss begins with “k“ then I’m just going to assume that when you text me “k“ you secretly want to make out.
Sun Feb 08 16:05:10 PST 2015 --  sad representation of my life pic.twitter.com/GBBjda1mM7
Sun Feb 08 20:04:23 PST 2015 --  omg pic.twitter.com/Wsxl6FVaZn
Tue Feb 10 10:27:02 PST 2015 --  Are oranges named orange because they're orange or is orange called orange because oranges are orange.
Tue Feb 10 16:03:01 PST 2015 --  Dammit I'm mad spelled backwards is “dammit I'm mad.“
Tue Feb 10 19:45:08 PST 2015 --  " @Iknowimyouridol: Self-harm isn't funny! pic.twitter.com/nwYO9t6y1q" This restores a little faith in humanity.
Tue Feb 10 13:05:55 PST 2015 --  How @TylerOakley gained 5 million new subscribers in 2014 alone: http://trib.al/VEtYbT5  pic.twitter.com/te8kRLj8vh
Sat Jan 03 17:32:03 PST 2015 --  Boys are so dumb like they could stab you in the face with a knife and be like what's wrong why are you mad what did I do
Wed Dec 31 13:26:00 PST 2014 --  #newyearsresolution become less perfect
Thu Dec 25 07:55:00 PST 2014 --  just realized in 6 years it's going to be the 20s again so i propose we bring back swing music and jazz attire please
Thu Dec 25 08:46:25 PST 2014 --  What if you could plant band merch and make band merch trees.
Thu Dec 25 09:36:13 PST 2014 --  Party hard. pic.twitter.com/WLUDNgzr3w
Wed Dec 10 18:18:44 PST 2014 --  Surprised by a few of these! Here are YouTube's Top Ten Trending Videos of 2014 http://www.smosh.com/smosh-pit/videos/youtubes-top-ten-trending-videos-2014 …
Wed Dec 10 18:46:20 PST 2014 --  how to kiss a boy grab his waist slip your hand in his pocket steal his wallet dont even kiss him just run
Wed Dec 10 19:00:10 PST 2014 --  Holler! @SamuelTsui and @KurtHSchneider get stoked on #YouTubeRewind. http://goo.gl/un2GpU  pic.twitter.com/yALdMtxKy0
Fri Dec 05 22:18:02 PST 2014 --  I was told 2 describe my life in 2 words. I got up said"Tyler Oakley" did the q and slay clap and sat down. I love you @tyleroakley
Mon Dec 01 12:59:14 PST 2014 --  Please Go VOTE #HonestTrailers for @Adweek Hottest Web Series! Vote for our buds @Smosh too! http://www.adweek.com/news/technology/these-are-hottest-digital-brands-around-159817 … pic.twitter.com/x5SQdvNzeE
Sun Nov 30 10:06:01 PST 2014 --  Absolutely love this haha !! @BBCR1 @MattEdmondson https://m.youtube.com/watch?v=6U_eWioWUHQ …
Sun Nov 30 10:21:34 PST 2014 --  My 5 different alarms today consisted of Wolf jumping on my face, licking my ears,biting my hands,biting my hair, & nibbling on my beard!
Sun Nov 30 10:22:06 PST 2014 --  Guys spread the word about @Caspar_Lee 's #Newfeaturefilm #CasparsFeatureFilm pic.twitter.com/lKTLGqpImV
Mon Nov 24 18:13:35 PST 2014 --  ;) *****MY SEXTAPE!***** https://www.youtube.com/watch?v=XUt6g3T9HC4 … RT ? :)
Thu Nov 20 08:26:37 PST 2014 --  I'm seeing lots of people skip over the dialogue that tells you to roll over donut holes to kill them super fast. #protip #foodbattlethegame
Mon Nov 24 18:46:37 PST 2014 --  That awkward moment when you forget to text someone back because you were to busy playing #FoodBattleTheGame @smoshanthony @SmoshIan
Sat Nov 22 06:48:02 PST 2014 --  Moonwalking into jail because you're a smooth criminal.
Sat Nov 22 15:18:01 PST 2014 --  I’m painting a blue square in the backyard... So Google Earth thinks I have a pool.
Sun Aug 03 07:26:00 PDT 2014 --  Once you go black you never go back. True story.
Sun Sep 07 11:05:27 PDT 2014 --  Oh shit thought I heard something lol idk.
Tue Nov 18 13:52:36 PST 2014 --  senpai pic.twitter.com/quCg7zrYxr
Tue Nov 18 13:58:10 PST 2014 --  Im not wearing pants now because of this misfortune and it's really cold ok
Tue Nov 18 14:08:00 PST 2014 --  Brochachos! Tomorrow is the deadline for the awesome "Battle" @LOOTCRATE ! Use code: PEWDS for a discount! http://www.LootCrate.com/Pewds 
Tue Nov 18 14:18:03 PST 2014 --  I had a better social life when I was like 8 years old than I do now.
Tue Nov 18 14:32:11 PST 2014 --  More #1DOrlandoQnA to come this week but in the meantime... #1DOrlando pic.twitter.com/Wz01oAOycs
Tue Nov 18 14:52:18 PST 2014 --  Forever wishing One Direction will release a music video for 18
Tue Nov 18 15:24:31 PST 2014 --  doing a photo shoot for my book cover! my book title is"I HATE MYSELFIE". so excited about it!! http://instagram.com/p/vjzVNrke6v/ 
Tue Nov 18 15:26:49 PST 2014 --  I NEED this in my life. *o* pic.twitter.com/JRKkgirC9k
Tue Nov 18 13:45:54 PST 2014 --  Onstage... #1DOrlando pic.twitter.com/siZ1ezu7VP
Mon Nov 17 15:09:04 PST 2014 --  The reaction to FOUR is absolutely insane ! We're sittin here in the hotel just in awe of how amazing you guys are! Thank you
Fri Nov 14 09:12:12 PST 2014 --  Night Changes is out today and on the radio :) x
Sat Nov 15 17:59:18 PST 2014 --  I'm pretty this just the best for any of my fellow directioners!! So PERFECT @onedirection pic.twitter.com/2tyvjEt0MQ
Sat Nov 15 16:22:27 PST 2014 --  I don't know how many times I've seen this but it is just so perfect Best Fandom Ever! @Louis_Tomlinson pic.twitter.com/gSPblE6wsD
Tue Nov 11 17:47:42 PST 2014 --  Looking at excitement leading up to the @onedirection album next week. Once again the fans have showed their loyalty and support. Amazing!
Tue Nov 11 14:59:19 PST 2014 --  Am I the 1st 1D member to have this happen?
Tue Nov 11 14:57:03 PST 2014 --  Wow this has never happened pic.twitter.com/y7AIhVaNXn
Tue Nov 11 14:39:39 PST 2014 --  You girls be asking your boyfriends to buy you MAC, VS, and Uggs. Only thing I ask for is food & quality time, that's all I care about
Tue Nov 11 13:15:58 PST 2014 --  omg y'all were so rude and making fun of my thumbnail so I redid it; I never said I won a teen choice award for best thumbnails LORD
Tue Nov 11 06:13:03 PST 2014 --  I love Avril Lavegne so much she's so good I fucking love her so much like ;3 kawii shit
