Sun Jul 27 10:34:34 PDT 2014 --  The loneliest people are the kindest. The saddest people smile the brightest. The most damaged people are the wisest.
Sun Jul 27 10:37:19 PDT 2014 --  You can't change how people feel about you, so don't try. Just live your life and be happy.
Fri Jul 25 11:36:03 PDT 2014 --  One must always be prepared for riotous and endless waves of transformation.
Thu Jul 24 20:35:06 PDT 2014 --  Block out the noise and refocus on what's inside of you.
Thu Jul 24 20:52:20 PDT 2014 --  "Waste no tears over the grieves of yesterday." - Euripides
Thu Jul 24 18:27:48 PDT 2014 --  Hold on to the people that care because in the end, they will be the only ones there.
Thu Jul 24 22:24:54 PDT 2014 --  Your taste in music represents what your mood would sound like if you could hear it.
Thu Jul 24 23:09:46 PDT 2014 --  The most powerful thing about the mind is that you can change it, just like that.
Wed Jul 23 20:25:28 PDT 2014 --  If you want me in your life, put me there. I shouldn't be fighting for a spot.
Mon Jun 30 12:50:10 PDT 2014 --  If you always do what you've always done, you'll always get what you've always gotten.
Fri Jun 20 11:48:02 PDT 2014 --  Work hard in silence, let your success be your noise.
Fri Jun 20 12:03:19 PDT 2014 --  To find happiness, you need to find something to hold on to, something to motivate you, and something to inspire you.
Fri Jun 20 17:38:22 PDT 2014 --  Focus on the Positive
Mon Jun 16 09:06:46 PDT 2014 --  Think a little less, live a little more.
Mon Jun 16 09:27:43 PDT 2014 --  I am with you always. -Matthew 28.20
Mon Jun 16 09:30:14 PDT 2014 --  Words mean nothing if actions show the complete opposite.
Mon Jun 16 06:44:05 PDT 2014 --  Always stay true to yourself. Some people will like it, some people won't. Life goes on.
Sat Jun 14 09:19:08 PDT 2014 --  Keep Calm & Don't give up on anything, especially if it's something that makes you happy. pic.twitter.com/6lthTa6r8G
Sun Jun 08 12:58:11 PDT 2014 --  Life becomes easier when you can learn to accept an apology you never got.
Thu Jun 05 17:38:09 PDT 2014 --  But I say to you, love your enemies & pray for those who persecute you. -Matthew 5:44
Mon Jun 02 12:34:40 PDT 2014 --  In life you are either a passenger or a pilot, it's your choice. -Unknown
Sun May 25 11:52:25 PDT 2014 --  "When everything seems to be going against you, remember that the airplane takes off against the wind, not with it." - Henry Ford
Sun May 25 12:32:28 PDT 2014 --  Me and my buddies. pic.twitter.com/DT5H8fP9eB
Sat May 17 11:07:44 PDT 2014 --  Refuse to be fearful about what will happen to you. God is faithful and He will take care of you if you trust Him.
Sat May 17 11:36:44 PDT 2014 --  Stay strong and make them wonder how you're still smiling.
Fri May 09 02:30:22 PDT 2014 --  pic.twitter.com/hjwxpukLhu
Thu May 15 17:14:26 PDT 2014 --  Accept your past without regret, handle your present with confidence, and face your future without fear.
Tue May 13 18:35:04 PDT 2014 --  Instead of reacting to your thoughts and emotions, be in control of them.
Tue May 13 18:47:17 PDT 2014 --  When you've dated a douche, a psychopath, a narcissus, you understand. @PsychopathFree @Light_Life_Love #narcfree pic.twitter.com/TwzVbyHsmq
Mon May 12 11:54:55 PDT 2014 --  The answer lies within ourselves. If we can't find #peace and #happiness there, it's not going to come from the outside. -Tenzin Palmo
Mon May 12 11:57:42 PDT 2014 --  Remember, people who fall the hardest bounce back the highest when God is involved.
Mon May 12 12:00:45 PDT 2014 --  For paranoia about 'what other people think' : remember that only some hate, a very few love - and almost all just don't care.
