Thu Aug 20 19:00:15 PDT 2015 --  NINE HOURS TO GO. Sleep well, #5SOSFAM. @5SOS #5SOSonGMA pic.twitter.com/8JP3X8dE1Y
Thu Aug 20 20:15:42 PDT 2015 --  #5SOSonGMA @5SOS @GMA pic.twitter.com/MeiqsPI6Xq
Thu Aug 20 15:42:47 PDT 2015 --  #ShesKindaHotVMA !!
Fri Jul 24 10:48:03 PDT 2015 --  oh my gosh so this happened pic.twitter.com/EGgZhtyR1c
Thu Aug 20 15:25:10 PDT 2015 --  He deserves everything #ShesKindaHotVMA #WeLoveYouMichael pic.twitter.com/eVWCZbi8cr
Thu Aug 20 15:36:21 PDT 2015 --  Freshmen vs Seniors #ShesKindaHotVMA #WeLoveYouMichael pic.twitter.com/Xx7vvMtq23
Thu Aug 20 16:02:23 PDT 2015 --  Tattoo this to my forehead - H #ShesKindaHotVMA #WeLoveYouMichael pic.twitter.com/4TBfo9hr4D
Thu Aug 20 17:22:38 PDT 2015 --  precious angel #ShesKindaHotVMA #WeLoveYouMichael pic.twitter.com/MlafHolYAl
Thu Aug 20 17:25:48 PDT 2015 --  Michael is so brave for opening up to us about this, & it's nothing for him to be ashamed of. #WeLoveYouMichael! pic.twitter.com/1QKpgRtKch
Thu Aug 20 18:58:36 PDT 2015 --  It's not easy opening up about problems youre facing that just shows how strong he is #WeLoveYouMichael @Michael5SOS pic.twitter.com/aBscOoGOyC
Thu Aug 20 11:11:52 PDT 2015 --  When someone is not voting #ShesKindaHotVMA pic.twitter.com/eVhuFd32k3
Thu Aug 20 03:23:00 PDT 2015 --  I love 5sos #ShesKindaHotVMA
Thu Aug 20 01:08:30 PDT 2015 --  *waits for Calum to carry Luke on stage* #ShesKindaHotVMA pic.twitter.com/mQLdgs81iD
Thu Aug 20 01:07:03 PDT 2015 --  Due fatine fab. #ShesKindaHotVMA pic.twitter.com/q0HF7bfCyZ
Thu Aug 20 00:51:55 PDT 2015 --  5SOS i'm in school and i'm still voting for you! Why can't you notice us? #ShesKindaHotVMA
Wed Aug 19 15:58:41 PDT 2015 --  Petition for Michael Clifford follow everyone who RTs this tweet, they really deserve #ShesKindaHotVMA pic.twitter.com/iJuDnujIA6
Thu Aug 20 00:42:57 PDT 2015 --  DAMN SON #ShesKindaHotVMA pic.twitter.com/88q24Dy96S
Thu Aug 20 00:44:17 PDT 2015 --  yes there you go lashton #ShesKindaHotVMA pic.twitter.com/MNMkb9wjlF
Thu Aug 20 00:44:32 PDT 2015 --  how many retweets can Luke holding a dildo get? #ShesKindaHotVMA pic.twitter.com/p859RRVGTk
Thu Aug 20 00:52:43 PDT 2015 --  5SOS at the #SwitchParty for @987ampradio yesterday! #6 pic.twitter.com/3g5oQvtWFG
Thu Aug 20 00:50:13 PDT 2015 --  Don't forget to keep voting for 5SOS to win a VMA! They are currently favouriting, following & also RTing those that vote! #ShesKindaHotVMA
Thu Aug 20 00:46:28 PDT 2015 --  when you’ve got bigger plans that no one else understands #ShesKindaHotVMA pic.twitter.com/MtflNwVfB7
Wed Aug 19 23:59:30 PDT 2015 --  @Our5SOSUpdatesx @BBCR1 jammin at 428am to 5sos Fly Away using my tunein radio app #ShesKindaHotVMA
Wed Aug 19 23:59:38 PDT 2015 --  @5SOS oh my god @BBCR1 are playing fly away, I'm freakin out
Wed Aug 19 23:29:17 PDT 2015 --  uk ! @Luke5SOS is coming up soon on @BBCR1with @scott_mills.. tune in !
Wed Aug 19 23:16:44 PDT 2015 --  Just want you to have the new record in your minds and hearts Need you all to hear it so bad.
Wed Aug 19 20:31:33 PDT 2015 --  Detroit rock city went hard. loved tonight
Wed Aug 19 19:40:53 PDT 2015 --  Detroit pic.twitter.com/Yopb3ZA2w0
Wed Aug 19 19:31:37 PDT 2015 --  pic.twitter.com/H0OcLBYPHl
Wed Aug 19 19:24:09 PDT 2015 --  retweet if you want 5sos to win this VMA! it will mean loads to them #ShesKindaHotVMA
Wed Aug 19 19:20:41 PDT 2015 --  DETROIT! pic.twitter.com/aKqx2n9ID9
Wed Aug 19 19:19:04 PDT 2015 --  retweet To vote For 5sos They deserve this So lets win it for them #ShesKindaHotVMA
Wed Aug 19 19:11:18 PDT 2015 --  ASHTON CARRIED LUKE OFF STAGE OH MY GOD 🏼 #ROWYSODetroit @5SOS pic.twitter.com/nwNuabXYra
Wed Aug 19 18:56:07 PDT 2015 --  Ash: "in this band we try to remain healthy" Mikey: "that's why we take doritos and popcorn wherever we go" I'm laughing #ShesKindaHotVMA
Wed Aug 19 16:37:33 PDT 2015 --  I enjoy the musics https://instagram.com/p/6lWob1tlp6/ 
Wed Aug 19 16:14:30 PDT 2015 --  @Michael5SOS i love you #ShesKindaHotVMA
Wed Aug 19 14:52:33 PDT 2015 --  5SOS fan art by @cliffcalconda #ShesKindaHotVMA pic.twitter.com/W0044nfJcb
Wed Aug 19 15:47:11 PDT 2015 --  #ShesKindaHotVMA pic.twitter.com/HZI37SjYBv
Wed Aug 19 15:39:50 PDT 2015 --  WE'RE THE KINGS & THE QUEENS OF THE NEW BROKEN SCENE #ShesKindaHotVMA pic.twitter.com/edqd7XNW0v
Wed Aug 19 15:33:06 PDT 2015 --  5SOS ARE SO HOT #ShesKindaHotVMA pic.twitter.com/XIzmZMSFjD
Wed Aug 19 15:28:13 PDT 2015 --  Raise your hand if you wish 5sos to win #ShesKindaHotVMA pic.twitter.com/T18rMGvgzz
Wed Aug 19 15:23:47 PDT 2015 --  "why did 5sos write a song called pizza?" here's your answer #ShesKindaHotVMA pic.twitter.com/g89wZBPn5V
Wed Aug 19 15:26:23 PDT 2015 --  CUTE BOYS LAUGHING #ShesKindaHotVMA pic.twitter.com/Wrjm56lfUw
Wed Aug 19 15:25:40 PDT 2015 --  When Calum dies but you have a show to perform #ShesKindaHotVMA pic.twitter.com/XjyRszP3VB
Sun Jun 14 11:33:03 PDT 2015 --  I hope you read it little angel and I also drew you :-) I hope you like it @Michael5SOS #GETWELLSOONMICHAEL pic.twitter.com/OJBIEUxynV
Wed Aug 19 15:14:29 PDT 2015 --  pic.twitter.com/8iY5rrrPMI
Wed Aug 19 13:18:03 PDT 2015 --  5 SOS's “Shes Kinda Hot” is currently in the lead to win “Song of the Summer” at the VMAs #ShesKindaHotVMA pic.twitter.com/ShOCYqBDYw
Wed Aug 19 14:23:15 PDT 2015 --  retweet if you're in the 5sos fam and voting your hardest? #ShesKindaHotVMA
Wed Aug 19 14:00:01 PDT 2015 --  When the 5sos fam is so good at voting people think 5sos are cheating #ShesKindaHotVMA pic.twitter.com/Pq2R80mjAm
Wed Aug 19 13:09:16 PDT 2015 --  if you really want to see 5sos happy if they win this award retweet #ShesKindaHotVMA
Tue Aug 18 09:14:36 PDT 2015 --  Michael Clifford pic.twitter.com/TIDxjvv21a
Wed Aug 19 13:30:50 PDT 2015 --  RT IF YOU WANT TO BE THIS BOTTLE TOO #ShesKindaHotVMA pic.twitter.com/3HYuWr4nXI
