Fri Jul 10 08:53:39 PDT 2015 --  Social media is way too important to some people.
Sun Jun 21 17:03:10 PDT 2015 --  LMAOOOO THE END pic.twitter.com/g0g0pR1WGr
Thu Jul 09 10:39:23 PDT 2015 --  Happy birthday! @kaitlinkates I know it will be a special one. And Gimme a cookie... please lol
Wed Jul 08 11:14:43 PDT 2015 --  Filling up my truck is so relieving. #diesellife
Mon Jul 06 19:57:24 PDT 2015 --  Never satisfied.
Mon Jul 06 10:14:01 PDT 2015 --  When you get put in a radom group message <<<<<
Sat Jul 04 15:55:42 PDT 2015 --  Sock game on point, @LinoDeShields. #4thofJuly pic.twitter.com/obYQJrTK6Y
Sat Jul 04 12:31:04 PDT 2015 --  Happy Birthday America. @adidasBaseball @hulstheman5 pic.twitter.com/dTXCnqg4Of
Fri Jul 03 08:15:04 PDT 2015 --  Trust the Process.
Thu Jul 02 13:50:35 PDT 2015 --  Everything happens for a reason.
Thu Jul 02 13:40:12 PDT 2015 --  Congrats @TeamCJCorrea on your rookie of the month award. Well deserved keep grinding youngin.
Thu Jul 02 13:06:44 PDT 2015 --  What are we doing?
Tue Jun 30 16:15:01 PDT 2015 --  Retweet this tweet for a chance to win my Corpus Christi game used cleats! I'll pick a winner in 24 hours! pic.twitter.com/9ykfXU8BWO
Wed Jul 01 08:39:34 PDT 2015 --  Check my brother @mr_catlike_21 out. #MakingPlays #FIVE https://m.youtube.com/watch?v=zs2vcCuuhkM&feature=youtu.be&noapp=1 …
Tue Jun 30 11:12:07 PDT 2015 --  Just made my day @MeganACornell :-)
Thu Jun 25 11:11:50 PDT 2015 --  Trust. The. Process.
Mon Jun 29 13:28:37 PDT 2015 --  This time last year... Thinking about yall boys. Rest in paradise swon. #iandavis #lutz #KOA
Fri Jun 26 05:39:29 PDT 2015 --  Thank you Lord for blessing me with another day #Thankful #GodIsGreat
Sun Jun 21 17:45:07 PDT 2015 --  When u try to take a 20 minute nap and wake up 8 hours later Confused asf pic.twitter.com/RTAIwiWruF
Mon Jun 22 07:51:28 PDT 2015 --  Your Challenge is nothing more than aTEST in life. The CHALLENGE/TEST will determine if you PASS or FAIL. It's up... http://fb.me/25E6Om7vH 
Sun Jun 21 09:58:46 PDT 2015 --  Funny Faces with Pops! #happyfathersday #delinodeshieldssr #teamdeshields #begreat http://fb.me/8aQV1iqMb 
Sun Jun 21 07:51:59 PDT 2015 --  HAPPY FATHER'S DELINO DESHIELDS SR! #happyfathersdad #delinodeshieldssr
Fri Jun 19 09:44:22 PDT 2015 --  Trust the process.
Thu Jun 18 13:25:05 PDT 2015 --  On my zac brown band ish today.
Wed Jun 17 14:46:56 PDT 2015 --  Remember the titans still gives me chills. Great movie
Mon Jun 08 18:30:30 PDT 2015 --  Does anyone go to the movies by themselves?
Sun Jun 07 20:23:05 PDT 2015 --  God is G R E A T
Fri Jun 05 02:37:55 PDT 2015 --  #dangelo #proudbigbro @DeShieldsss <3
Thu May 28 13:57:39 PDT 2015 --  Beach Baseball with the Big Man. #tbt #throwback #mlb #delinodeshieldssr #linodeshields http://fb.me/22vHUeh2l 
Thu May 28 12:41:37 PDT 2015 --  3 generations. My last pic with these two. #TBT #THROWBACK #family #delinodeshiedlssr #linodeshields http://fb.me/46QXalwdu 
Thu May 28 10:24:06 PDT 2015 --  Family Day with the Chicago Cubs #throwback #tbt #chicagocubs #mlb http://fb.me/1DHqBRTIs 
Thu May 28 10:22:35 PDT 2015 --  Throwback Thursday. Me & Pops when he played for the Dodgers. #tbt #throwback #delinodeshieldssr #linodeshields #mlb http://fb.me/7fGayergp 
Fri May 22 06:51:44 PDT 2015 --  Watch #MLBCentral today at Noon EST on @MLBNetwork b/c yours truly will be a guest #GoRangers #Team3Stripes http://fb.me/1FzKwRxZh 
Fri May 22 06:48:03 PDT 2015 --  Today is a great day to be a Ranger #NeverQuit
Thu May 07 10:32:15 PDT 2015 --  Thanks Getty Images
Thu Apr 16 14:50:45 PDT 2015 --  The 3 Amigos. Throwback to Montreal. http://fb.me/7aNwZDa6Y 
Thu Apr 16 09:09:50 PDT 2015 --  Woodward Academy Graduation 2010 with Pops! #tbt #throwback #woodwardacademy #graduation http://fb.me/1jC8XNu9B 
Thu Apr 16 09:08:33 PDT 2015 --  ME and POPS in our formal tux. #tbt #throwback http://fb.me/3MOh4wjnD 
Wed Apr 15 06:43:11 PDT 2015 --  If God has given you a Dream or a Vision, then let no man stop you. #Dreambig #begreat http://fb.me/7y5zrMszT 
Sun Apr 05 07:20:42 PDT 2015 --  Happy Resurrection Day! http://fb.me/6loB0nFXW 
Wed Apr 01 14:24:53 PDT 2015 --  HELP PEOPLE + YOUR TALENT = PURPOSE http://fb.me/6wCaClxvz 
Sun Mar 29 12:36:43 PDT 2015 --  FOCUS! #texasrangers #mlb http://fb.me/3qpC4v93C 
Sat Mar 14 09:29:58 PDT 2015 --  Are you planning on coming to ARIZONA to catch a SPRING TRAINING game or perhaps, check out a game in Dallas this... http://fb.me/7cVJs8wHh 
Mon Mar 02 12:58:46 PST 2015 --  I'm a work in progress! http://fb.me/4pB8nzSmq 
Mon Mar 02 12:35:55 PST 2015 --  When the need to succeed is as bad as the need to breathe..... then you'll be successful. You can do it. Keep... http://fb.me/2PqDMY8oK 
Fri Feb 27 07:46:36 PST 2015 --  Embrace your struggle. It's your best teacher. http://fb.me/3F15R1ZDS 
Thu Feb 26 05:56:55 PST 2015 --  Leo's Be Like--I was Born a Boss. No Need To Turn Up. #leo the #lion http://fb.me/4NUwKZ8Cb 
Mon Feb 23 08:29:29 PST 2015 --  Awesome Acceptance Speech by Common and John Legend. They killed both their performance and their acceptance... http://fb.me/75HWhSaN3 
Fri Feb 20 12:54:17 PST 2015 --  WE NEED HELP! Please watch! #jerrymanuelfoundation #baseball #mlb #jerrymanuel http://fb.me/77e2w7xKT 
Fri Feb 20 12:46:21 PST 2015 --  Please Follow the JERRY MANUEL FOUNDATION. He's not only my God father but he's an amazing man of God who's doing... http://fb.me/6uGVsV0cI 
Sun Feb 01 09:13:48 PST 2015 --  Trust & Believe that every single thing that has ever happened in your life is preparing you for a moment that is... http://fb.me/6ZSHudF3Y 
Mon Jan 26 16:49:47 PST 2015 --  Count Your Blessings Everyday , especially the small ones.... http://fb.me/3WOH52bgj 
Tue Jan 20 22:50:29 PST 2015 --  I am not the man I used to be......... http://fb.me/3UR7rmUhA 
Thu Jan 15 10:15:21 PST 2015 --  Headed to the ballpark to watch my dad play. #mlb #montrealexpos #springtraining #linodeshields #delinodeshields http://fb.me/6noIytyEp 
Thu Jan 15 06:05:48 PST 2015 --  Me & Pops #throwbackthursday #tbt #delinodeshields #linodeshields #teamdeshields #begreat http://fb.me/4bSMFaRhE 
Tue Jan 06 17:39:58 PST 2015 --  I can officially say I've been to a hockey game. I popped my . #dallas #dallasstars #stars #hockey… http://instagram.com/p/xiNyQ3p3_g/ 
Mon Jan 05 10:28:47 PST 2015 --  "It is when you became a MAN that you PUT AWAY childish things...not that you PUT AWAY childish things that made you a MAN."
Sun Jan 04 15:56:50 PST 2015 --  ATLDAL
Fri Jan 02 13:06:35 PST 2015 --  Today is a special day. It's my mothers birthday! Happy birthday mama T. Love you mean it! @tishaknows http://instagram.com/p/xXbUWpp3_b/ 
Wed Dec 31 11:43:56 PST 2014 --  Bo Wallace playing like he had too much of a good time in the A lol
Mon Dec 29 14:23:38 PST 2014 --  Today I AM a better man. http://instagram.com/p/xNQ9Oop3_e/ 
Sat Dec 27 18:12:57 PST 2014 --  When you have something good hold on to it.
Wed Dec 24 04:45:28 PST 2014 --  The most important part of CHRISTMAS is the first 6 letters! 󾔒Merry Christmas Everyone and remember..... Jesus is... http://fb.me/3Rv909IOr 
Thu Dec 11 11:51:18 PST 2014 --  Here's to new beginnings. #texasrangers
Thu Dec 11 11:47:13 PST 2014 --  This is bittersweet. Ready for my new opportunity. Thanks to the @astros for the memories and relationships formed over the years.
Fri Dec 05 08:35:34 PST 2014 --  
Thu Dec 04 20:02:29 PST 2014 --  Steph curry the man
Thu Dec 04 19:52:38 PST 2014 --  I have the worst/best sweet tooth ever lol
Thu Dec 04 16:56:54 PST 2014 --  Feeling empty.
Thu Dec 04 14:39:05 PST 2014 --  #tbt my baby boy dallas. He was two months in this picture now he's almost 2 plus an added 130 pounds… http://instagram.com/p/wM62ekJ36c/ 
Tue Dec 02 12:51:26 PST 2014 --  Just posted a photo http://instagram.com/p/wHk8PHp36i/ 
Tue Dec 02 10:20:23 PST 2014 --  Jamming to some Motown today. Good vibes.
Mon Dec 01 09:22:36 PST 2014 --  Delino DeShields, wanting to become #MLB manager decides to take #Reds Triple-A Louisville managerial job instead of #Twins 1B coach job
Mon Dec 01 07:32:47 PST 2014 --  The one who follows the crowd will usually get no further than the crowd. The one who walks alone, is likely to... http://fb.me/3rcl2Rdvt 
Sat Nov 29 14:00:02 PST 2014 --  I posted a new photo to Facebook http://fb.me/1LSt7AAx6 
Thu Nov 27 08:10:40 PST 2014 --  Nothing beats spending thanksgiving with your friends and family, but this is a close second. Happy… http://instagram.com/p/v6M1hop35X/ 
Sun Nov 23 22:49:19 PST 2014 --  “ @monchotov: Barry Sanders and Ken Griffey Jr. dunking with two hands. Foot Locker dunk http://youtu.be/-GkWzIeIGSE  vía @DelinoDeShields
Thu Nov 20 06:24:49 PST 2014 --  My ACE, My Sidekick, My Best Friend, My Sister is truly a Diamond --The Dynamic Duo about to take over the world.... http://fb.me/7aqbIkeei 
Wed Nov 19 13:35:35 PST 2014 --  Don't wait. Go get it!
Wed Nov 19 08:18:17 PST 2014 --  Be better than yesterday.
Thu Nov 13 10:55:49 PST 2014 --  GOOD CITIZEN AWARD! #woodwardacademy #busey #tbt #throwbackthursday http://fb.me/1n9D0WZda 
Thu Nov 13 10:52:40 PST 2014 --  The 3 Musketeers. #tbt #throwbackthursday #muscles http://fb.me/3qZbD1Ry0 
Sun Nov 09 22:31:46 PST 2014 --  Don't let anxiety control you.
Fri Nov 07 11:13:09 PST 2014 --  Stop raining!
Thu Nov 06 09:27:18 PST 2014 --  #tbt to my last year of highschool baseball. Got me where I am today . #woodwardacademy #wareagles… http://instagram.com/p/vEQ6cSJ35Q/ 
Thu Nov 06 09:22:08 PST 2014 --  Absolutely! http://instagram.com/p/vEQUiUp34K/ 
Thu Nov 06 06:33:01 PST 2014 --  The Good Ole Days with the Family! #tbt #throwbackthursday
Tue Nov 04 17:50:26 PST 2014 --  Ayyye @kidkeuchy first gold glove congrats!
Tue Nov 04 14:20:42 PST 2014 --  I'm starting to really enjoy reading. #bookworm
Mon Nov 03 14:08:00 PST 2014 --  I BUNS
Sat Nov 01 11:39:19 PDT 2014 --  My brudda jio_mier is tying the knot today to the beautiful @kristen_lawson I'm extremely happy for… http://instagram.com/p/u3hLinJ38A/ 
Tue Oct 28 18:10:07 PDT 2014 --  Don't even feel like watching this game anymore...this is not World Series quality.
Tue Oct 28 14:53:00 PDT 2014 --  Some folk need to go back to first grade and learn how to spell smh
Tue Oct 28 14:45:39 PDT 2014 --  Never satisfied. Always hungry.
Mon Oct 27 13:56:56 PDT 2014 --  People that hold grudges<<<<<<
Mon Oct 27 08:22:49 PDT 2014 --  They don't deserve to be apart of your life. Have a great day! #stayblessed http://instagram.com/p/uqSt6JJ39T/ 
