Wed Aug 19 21:15:11 PDT 2015 --  EXTORSIÓNADOR SALE ENOJADO Y GRITANDO https://youtu.be/D-uum2kc_mg  vía @YouTube
Wed Aug 12 13:13:33 PDT 2015 --  Kiddo - Saludando a los Subs - Parte #2 https://youtu.be/I8_YQtIY2y0  vía @YouTube
Wed Aug 05 21:26:33 PDT 2015 --  No es la falta de creatividad, es la falta de ánimo.
Wed Aug 05 19:28:03 PDT 2015 --  Weed!! pic.twitter.com/gQD33r8NfD
Wed Aug 05 19:18:46 PDT 2015 --  pic.twitter.com/YRbqrgOz3Y
Tue Aug 04 22:56:34 PDT 2015 --  suena interesante #PPCDSALVC #carteldesanta #losjefes https://instagram.com/p/5_aFQCBfZj/ 
Tue Jul 21 15:06:23 PDT 2015 --  7000 likes en muy poco tiempo @GuidoFTO es en hecho la libertad de @eduFto11 pic.twitter.com/iKO76jHvpw
Mon Jul 06 17:44:23 PDT 2015 --  Mi Segundo Gol en el Santiago Bernabeu! Retweet? #FootballTricksOnline #bernabeu #realmadrid #GoProES @GoProES pic.twitter.com/aKl0dmWkg7
Tue Jul 14 20:21:38 PDT 2015 --  RTSi recuerdas este video de @GuidoFTO #FootballTricksOnline pic.twitter.com/pC0EZBJ2qA
Tue Jul 14 20:25:49 PDT 2015 --  RT Recordando Tutoriales pasados... Todos juntos estamos logrando hacer el mejor canal de Fútbol pic.twitter.com/BULSYvR3NW
Sun Jul 19 16:53:38 PDT 2015 --  Muchas gracias FTO por todo lo que me han enseñado estare siempre agradecido:) https://twitter.com/FTO_OFICIAL/status/621157646066929664 …
