Wed Aug 26 11:27:54 PDT 2015 --  عامل الناس بثلاث : - إن لم تنفعه فلا تضره. - وإن لم تُفرحه فلا تُحزنه. - وإن لم تمدحه فلا تذمه.
Wed Aug 26 11:24:41 PDT 2015 --  عندما تعيش لتسعد الاخرين سيبعث الله لك من يعيش ليُسعدك فما جزاء الإحسان إلا الإحسان. "كن جميل الخلق تهواك القلوب"
Wed Aug 26 11:19:57 PDT 2015 --  مافيه احد احسن من احد pic.twitter.com/EqZmMefWK5
Wed Aug 26 10:10:00 PDT 2015 --  before and after Messi. pic.twitter.com/Js2HJuiw0C
Wed Aug 26 09:59:50 PDT 2015 --  هدف قوانزو الصيني امس عن طريق البرازيلي باولينهو🏼 pic.twitter.com/WFis0FOJiL
Wed Aug 26 09:33:23 PDT 2015 --  اللهم ؛ لا تجعلني كبيراً في أعينهم .. صغيراً في عينك .. واجعلني خيراً مما يظنون.
Wed Aug 26 09:15:22 PDT 2015 --  مايلعب الشايب ...! 🏻 #pt
Wed Aug 26 09:11:16 PDT 2015 --  ألماني عمره 104 عام أكثر الرجال أناقة بالعالم. pic.twitter.com/Qnh4JOEgzh
Wed Aug 26 08:59:37 PDT 2015 --  الصين تضع اللمسات الأخيرة في بناء أكبر ممر زجاجي بالعالم. pic.twitter.com/b7kYNUiJzV
Wed Aug 26 05:41:48 PDT 2015 --  إلى اليوم لم يتغيّر مسار الشمس وما زالت تشرق وتغرب وقت المغرب، ما زال الله يُمهلنا يوم آخر لنعرف خطايانا ونستغفر عن ذنوبنا ونتوب
Wed Aug 26 02:50:15 PDT 2015 --  اجعلني يا الله الصُدفة الحسنة والصديق الوفي والظن الحسن والثقة .. وخير الأمور وأطيبها
Tue Aug 25 22:04:16 PDT 2015 --  اللهم من كان له أم متوفية فأرحمها واغفرلها ومن كان له أم مريضه فإشفها وهون عليها، ومن كان له أم بعافيتها فأحفظها يارب
Tue Aug 25 13:27:03 PDT 2015 --  يا رب لا تجعل في قلبي إنتظاراً لمن لا يأتي، ولا حزناً للأشياء الراحلة، لا تملأني يا الله حباً لما ليس لي وأغنني بك عن العالمين.
Tue Aug 25 13:23:25 PDT 2015 --  اتمنى من الاعبين عدم التهاون في الإياب حتى لا يتكرر سيناريو الغرافة !
Tue Aug 25 13:21:14 PDT 2015 --  شوط اول ممتاز انتهى بالرياض بالتوفيق بالإياب والحصول على التأهل باذن الله ،التحكيم الآسيوي لاجديد !!
Tue Aug 25 10:35:52 PDT 2015 --  بالتوفيق للهلال ممثل الوطن الوحيد هذا المساء
Tue Aug 25 06:44:21 PDT 2015 --  اشكر كل من بارك لي واشكر جميع المشاركين كان التفاعل كبير واستفاد منه الكثير عن ملبورن واستراليا. #معلومة_عن_ملبورن
Tue Aug 25 06:30:54 PDT 2015 --  الله يبارك فيك ، ان شاء الله. @AbdulrahmanAAlm
Tue Aug 25 06:30:11 PDT 2015 --  الله يبارك فيك. @Abdu_alhammad
Tue Aug 25 06:28:53 PDT 2015 --  الله يبارك فيك ابوعبدالرحمن والشكر لك زودتنا بمعلومات جديدة. @deJohani
Tue Aug 25 03:55:36 PDT 2015 --  اقل شيء ممكن نسويه ل ملبورن ️ ومسائك ازرق @Raed7
Tue Aug 25 03:53:19 PDT 2015 --  الله يبارك فيك ب انتظار زيارتك...️ @AbdulazizAlsuda
Tue Aug 25 03:52:39 PDT 2015 --  الله يبارك فيكم. @qhurish @Yousefalsharari
Tue Aug 25 03:46:43 PDT 2015 --  الله يبارك فيك. @rizq_alyami
Tue Aug 25 03:46:18 PDT 2015 --  الله يبارك فيك ويجزاك خير. @MAlojail
Tue Aug 25 03:42:01 PDT 2015 --  الله يبارك فيكم والشكر موصول لجميع المشاركين. @SaudiAssociaMel
Tue Aug 25 02:54:57 PDT 2015 --  يسرنا أن نبارك للمبتعث إبراهيم الحماد بفوزه في هاشتاق #معلومة_عن_ملبورن ألف مبروك #ملبورن #مبتعث @_IBBRAA pic.twitter.com/SaHm3qUWaH
Tue Aug 25 02:16:56 PDT 2015 --  هالسنة 2015 انتهت في مارس الماضي وراح يكون الجاي في 2016 هذا موقعهم http://internationalcoffeeexpo.com  @sumi_663
Tue Aug 25 00:41:47 PDT 2015 --  عندما تواجهك مشكله تذكر ثلاثة امور :انها مُؤقته ، انها مُقدَّره ، وانها سوف تُعطيكَ اجراً إذا صَبرت.
Mon Aug 24 23:13:56 PDT 2015 --  بالعكس رزق نقطتي كانت الشكر ل صاحب الفكرة وماجاء منك قصور. @rizq_alyami
Mon Aug 24 23:09:08 PDT 2015 --  نفس الكلام انا حسبت رزق صاحب الفكرة على العموم الشكر للجميع. @AbdulrahmanAAlm @rizq_alyami @SaudiAssociaMel
Mon Aug 24 05:05:26 PDT 2015 --  موجود فوق ^^ @_IBBRAA
Mon Aug 24 04:46:49 PDT 2015 --  " Hardware Lane" "Degraves Street" "Manchester Lane" @Taheraalnassfan
Mon Aug 24 03:03:50 PDT 2015 --  والشكر موصول ل صاحب الفكرة وملبورن تستحق اكثر واكثر. @SaudiAssociaMel
Mon Aug 24 02:59:24 PDT 2015 --  للحجز والزيارة http://www.tramrestaurant.com.au  #معلومة_عن_ملبورن @_IBBRAA
Mon Aug 24 02:58:07 PDT 2015 --  عربات الترام التي أصبحت مطاعم من الداخل وتاخذك في جولة على انحاء المدينة وهي الأولى في العالم. #معلومة_عن_ملبورن pic.twitter.com/jXiYnJ21S9
Mon Aug 24 02:29:38 PDT 2015 --  راح اشوفها ان شاء الله. @deJohani
Mon Aug 24 02:28:33 PDT 2015 --  ملبورن و ثقافة القهوة قصة لا تصدق، إذ تعد القهوة جزءاً لا يتجزأ من نمط الحياة في ملبورن. #معلومة_عن_ملبورن pic.twitter.com/xditCvDx0K
Mon Aug 24 02:21:58 PDT 2015 --  ملبورن ايضا شهيرة بالممرات والأزقة الشهيرة بالمطاعم والكفيهات القديمة. #معلومة_عن_ملبورن pic.twitter.com/vj4xHfowwI
Mon Aug 24 02:09:23 PDT 2015 --  لمحبين رحلات صيد السمك في ملبورن هذا المكان يوفر مثل الرحلات. "Bay Fish N Trips" #معلومة_عن_ملبورن pic.twitter.com/A6SIkqHH10
Mon Aug 24 01:56:13 PDT 2015 --  العنوان للزيارة (18 St Heliers St, Abbotsford VIC 3067) #معلومة_عن_ملبورن @_IBBRAA
Mon Aug 24 01:53:25 PDT 2015 --  "Collingwood Children’s Farm" مزرعة للأطفال تجربة فريدة للطفل للتعليم والترفيه. #معلومة_عن_ملبورن pic.twitter.com/mV50naoSIs
Mon Aug 24 01:34:43 PDT 2015 --  العنوان للزيارة (Todd Rd, Port Melbourne VIC 3207) #معلومة_عن_ملبورن @_IBBRAA
Mon Aug 24 01:31:53 PDT 2015 --  بحيرة في ملبورن لونها غريب و تغير اللون الى الوردي بسبب الملح ونوع من الطحالب وتعبر حالة طبيعية. #معلومة_عن_ملبورن pic.twitter.com/WwY0yBLD4l
Mon Aug 24 01:25:30 PDT 2015 --  ملبورن تشتهر باعتبارها واحدة من عواصم الفن في الشوارع الكبرى في العالم. #معلومة_عن_ملبورن pic.twitter.com/wJFgspt4eu
Mon Aug 24 00:35:29 PDT 2015 --  (NGV) المتحف الوطني في فيكتوريا و هي واحدة من المعارض الفنية العامة في ملبورن أنشأ في عام 1968. #معلومة_عن_ملبورن pic.twitter.com/cF0hutCxui
Mon Aug 24 00:16:02 PDT 2015 --  المركز الأسترالي للصور المتحركة (ACMI) #معلومة_عن_ملبورن pic.twitter.com/b4nVl4pztr
Mon Aug 24 00:13:41 PDT 2015 --  للحجز http://www.city-sightseeing.com  #معلومة_عن_ملبورن @_IBBRAA
Mon Aug 24 00:10:03 PDT 2015 --  "city sightseeing" مشاهدة معالم مدينة ملبورن في جولة مفتوحة ويوجد مرشدين سياحيين في الحافلة. #معلومة_عن_ملبورن pic.twitter.com/Jm17L8M26c
Sun Aug 23 23:42:28 PDT 2015 --  "chapel street" شارع فيه محلات للتسوق ومطاعم وكفيهات ممتاز ويستحق الزيارة. #معلومة_عن_ملبورن pic.twitter.com/rmmpzJ5zX5
Sun Aug 23 23:40:33 PDT 2015 --  تستطيع المطالبة باسترداد الضرائب المشتراة في أستراليا ، لكن لابد مجموعه ايصل 300 وتم شراؤها في وقت لا يتجاوز 30 يوم. #معلومة_عن_ملبورن
Sun Aug 23 23:31:34 PDT 2015 --  106 هي خدمة مكالمة طوارئ يستند إلى نص بالنسبة للأشخاص الذين يعانون من الصمم أو لديهم ضعف في السمع أو الكلام. #معلومة_عن_ملبورن @_IBBRAA
Sun Aug 23 23:26:36 PDT 2015 --  افياش الكهرباء المستخدمه في ملبورن ولكن يوجد محولات متعددة الأغراض للأجهزة الدولية. #معلومة_عن_ملبورن pic.twitter.com/lQfLzNMzY7
Sun Aug 23 23:19:01 PDT 2015 --  "tip" البقشيش ليس العرف العام في ملبورن واستراليا بشكل عام. #معلومة_عن_ملبورن pic.twitter.com/F0XcWgIblZ
Sun Aug 23 22:44:56 PDT 2015 --  "Melbourne Star" ويبلغ إرتفاعها 120 م ، تجربة جميلة وتستحق الزيارة. #معلومة_عن_ملبورن pic.twitter.com/EUlRrOzyMs
Sun Aug 23 22:10:28 PDT 2015 --  بإذن الله على خير :) @mosabalamar
Sun Aug 23 22:09:46 PDT 2015 --  مبنى البرلمان ويمكنك زيارته بشكل مجاني. #معلومة_عن_ملبورن pic.twitter.com/wSetf90Ya1
Sun Aug 23 22:05:15 PDT 2015 --  "Luna Park" تم بنائها ما يقارب 100 عام، وهي ملاهي ممتازة للعوائل والأطفال! #معلومة_عن_ملبورن pic.twitter.com/X0wp95DWkQ
Sun Aug 23 21:33:31 PDT 2015 --  بالتوفيق. @salmaaljabri
Sun Aug 23 21:33:06 PDT 2015 --  لازم تجي. @Abdu_alhammad
Sun Aug 23 21:31:05 PDT 2015 --  انت تعال وابشر بكل الأماكن. @mosabalamar
Sun Aug 23 21:08:43 PDT 2015 --  "Lygon Street" شارع الطليان فيه مطاعم إيطالية وكفيهات مكان جميل ورايق. #معلومة_عن_ملبورن pic.twitter.com/G3ZDtbOXid
Sun Aug 23 20:48:16 PDT 2015 --  "Sydney Road" كل شي عربي في هذا الشارع من مطاعم عربية ، محلات للقهوة، حلويات،ملحمة. #معلومة_عن_ملبورن pic.twitter.com/A7L18UUM7B
Sun Aug 23 19:32:28 PDT 2015 --  #ماكدونالدز تستخدم سيارات "لامبورجيني" و"فيراري" في توصيل الطعام بمدينة ملبورن في استراليا! #معلومة_عن_ملبورن pic.twitter.com/o6QNI9OrNI
Sun Aug 23 19:24:05 PDT 2015 --  تم تركيب إشارات المرور الأولى في أستراليا على تقاطع شارع كولينز وسوانستون، ملبورن عام 1912. #معلومة_عن_ملبورن pic.twitter.com/UnSIhH7pIL
Sun Aug 23 17:55:05 PDT 2015 --  كانت ملبورن عاصمة أستراليا لمدة 26 عاما بين 1901 و 1927 قبل تحول العاصمة الى كانبرا. #معلومة_عن_ملبورن
Sun Aug 23 17:51:36 PDT 2015 --  اللهم مع هذا الصباح إجعلنا ممّن تغيرت أقدارهم للأحسن ولا تحرمنا ما نطمح إليه يارب️
Sun Aug 23 12:03:26 PDT 2015 --  ملبورن تعد موطنا لأعلى نسبة من السكان الإيطالين واليونانين في العالم خارج بلدانهم. #معلومة_عن_ملبورن
Sun Aug 23 10:36:17 PDT 2015 --  المركز الأسترالي للفن المعاصر (ACCA) في ملبورن. #معلومة_عن_ملبورن pic.twitter.com/L3eL1buYZy
Sun Aug 23 09:55:45 PDT 2015 --  حديقة النباتات الملكية و هناك أكثر من 50 ألف من النباتات، وتُعد أكبر حديقة في وسط المدينة. #معلومة_عن_ملبورن pic.twitter.com/xyrkdIEcd7
Sun Aug 23 09:25:42 PDT 2015 --  المكتبة العامة في ملبورن وتضم المكتبة أكثر من 2 مليون كتاب,ايضا تضم مذكرات ل مؤسسي المدينة. #معلومة_عن_ملبورن pic.twitter.com/AzrieA40e7
Sun Aug 23 09:13:24 PDT 2015 --  متحف ملبورن هو متحف التاريخ الطبيعي والثقافي. #معلومة_عن_ملبورن pic.twitter.com/lNennV5JOI
Sun Aug 23 08:33:06 PDT 2015 --  ملبورن هي عاصمة استراليا حتى عام 1927 وتم التغير الى كانبرا. #معلومة_عن_ملبورن pic.twitter.com/OMgfCHoSIZ
Sun Aug 23 08:19:07 PDT 2015 --  سوق الملكة فيكتوريا وافتتح هذا المركز في 1878 وخدم احتياجات المستهلكين لأكثر من 120 عام. #معلومة_عن_ملبورن pic.twitter.com/Eh2XaHvFv7
Sun Aug 23 08:04:04 PDT 2015 --  ايه علشانك ماتعرف ملبورن تقول تطبيل @AbdulazizAlsuda
Sun Aug 23 08:00:06 PDT 2015 --  اقدم سجن في ملبورن تم تأسيسه عام1845م، وتم تحويله الى متحف حاليا ويمكن زيارته. #معلومة_عن_ملبورن pic.twitter.com/EBJvait8n9
Sun Aug 23 07:50:12 PDT 2015 --  الله يرحمه ويغفر له ويجمعكم فيه في جناته جنات النعيم. @Ahmad_Aljohani1
Sun Aug 23 07:20:17 PDT 2015 --  برج يوريكا، ناطحة سحاب واعلى نقطة في ملبورن على ضفاف نهر يارا في قلب منطقة ساوث بانك. #معلومة_عن_ملبورن pic.twitter.com/yXLk7lkUqK
Sun Aug 23 06:59:28 PDT 2015 --  (000) هو رقم الطوارئ الأساسي في ملبورن وينبغي أن تستخدمه للوصول إلى المساعدة في حالات الطوارئ من جميع الهواتف. #معلومة_عن_ملبورن
Sun Aug 23 06:51:39 PDT 2015 --  صحيح تحتاج يوم كامل. @dr_teid
Sun Aug 23 06:49:47 PDT 2015 --  في الليل هناك عرض النار على ثمانية أبراج على ضفاف نهراليارا. #معلومة_عن_ملبورن pic.twitter.com/YfsBMvmYpd
Sun Aug 23 06:35:36 PDT 2015 --  ملبورن لديها مجموعة واسعةمن خدمات النقل تعمل في جميع أنحاء ملبورن،مثل الحافلات والقطارات،والترام #معلومة_عن_ملبورن pic.twitter.com/gZZuLBTiEH
Sun Aug 23 06:22:22 PDT 2015 --  مكتبةفي احد الاسواق في ملبورن تستعير كتاب ومهما انتيهت من قرائته تعيده الى مكانه من غير اي رقابة. #معلومة_عن_ملبورن pic.twitter.com/6DZxZOKXWy
Sun Aug 23 06:00:37 PDT 2015 --  من الاشياء الجميلة في ملبورن ان الشخص من ذوي الاحتياجات الخاصة يعيش حياته بدون مساعدة الآخرين. #معلومة_عن_ملبورن pic.twitter.com/n36ghnyDda
Sun Aug 23 05:46:04 PDT 2015 --  مبنى "Royal Arcade" التجاري وهو أقدم مركز تجاري في المدينة بني قبل اكثر من 140 عام. #معلومة_عن_ملبورن pic.twitter.com/nuv3YnI4ZR
Sun Aug 23 05:32:43 PDT 2015 --  حديقة "Royal Melbourne" للحيوانات وهي أقدم حديقة للحيوانات في استراليا،وثالث أقدم حديقة في العالم. #معلومة_عن_ملبورن pic.twitter.com/gN8dEPX6BU
Sun Aug 23 05:23:24 PDT 2015 --  ان شاء الله @BREEH_94
Sun Aug 23 05:21:23 PDT 2015 --  ملعب ملبورن هو ملعب رياضي شهير ، الملعب هو أكبر ملعب في استراليا وثامن أكبر ملعب في العالم. #معلومة_عن_ملبورن pic.twitter.com/m5LJI4UAC4
Sun Aug 23 05:08:55 PDT 2015 --  الجرافيتي أو الكتابة على الجدران ولكن في ملبورن هناك شوارع مخصصه للكتابة على الجدران. #معلومة_عن_ملبورن pic.twitter.com/cWu6snvgkT
