Fri Aug 28 14:56:37 PDT 2015 --  Why #crying??? https://twitter.com/Nwantimbani_rhu/status/637379944969043968 …
Wed Aug 26 13:23:30 PDT 2015 --  Pirates is good on Xenophobia https://twitter.com/zane_moosa/status/636631643931942913 …
Tue Aug 25 15:47:07 PDT 2015 --  Ngopfu but........... https://twitter.com/_xxBrxndy/status/636174007549722624 …
Tue Aug 25 07:29:21 PDT 2015 --  African woman size#38 https://twitter.com/MizzNC/status/636183116831432704 …
Mon Aug 17 22:58:24 PDT 2015 --  Check out WhatsApp Messenger for your smartphone. Download it today from https://whatsapp.com/dl/ 
Sun Aug 16 08:30:34 PDT 2015 --  You are the major prophet of your life.... Stop going around seeking for the miracles God has given us the real prophecy which is the bible
Sun Aug 16 12:08:42 PDT 2015 --  Ecc 3:8 a time to love, and a time to hate; a time of war, and a time of peace. #EverythingWillBeAlright
Sun Aug 16 12:06:59 PDT 2015 --  Psa 20:1 May the LORD answer you in the day of trouble; May the name of the God of Jacob defend you; #BibleTime
Sun Aug 16 12:19:36 PDT 2015 --  Psa 9:1 I will praise You, O LORD, with my whole heart; I will tell of all Your marvelous works. #MyGoodNightPrayer
