Thu Nov 13 17:18:23 PST 2014 --  Everyone watch our new music video!!!!!!!!!!! #RenegadeOnVevo
Thu Nov 13 17:13:59 PST 2014 --  #RenegadeOnVevo CHECK OUT THE RENEGADE MUSIC VIDEO YAYAYAYAYAY http://youtu.be/FktDDKNrWjk 
Tue Nov 04 22:43:36 PST 2014 --  #NowPlaying: Love Me Harder by @ArianaGrande and @TheWeeknd. Listen Live at http://bit.ly/1emowDa .
Sun Nov 02 21:17:15 PST 2014 --  #NowPlaying: California Gurls (feat. Snoop Dogg) by @KatyPerry. Listen Live at http://bit.ly/1emowDa .
Sun Nov 02 21:05:10 PST 2014 --  #NowPlaying: Boom Clap by @Charli_XCX. Listen Live at http://bit.ly/1emowDa .
Sat Nov 01 23:19:12 PDT 2014 --  Que pedo con esas personas que le dan follow a cualquiera y luego unfollow para tener más seguidores... Aún así no serán importantes ;)
Fri Oct 31 11:21:14 PDT 2014 --  Name the movie http://instagram.com/p/u06ULbkDz1/ 
Tue Oct 28 23:18:52 PDT 2014 --  #NowPlaying: Anaconda by @NICKIMINAJ. Listen Live at http://bit.ly/1emowDa .
Tue Oct 28 22:55:22 PDT 2014 --  Me siguen 415 cuentas verificadas D: :$ No conozco a nadie pero son buenos artistas <3
Tue Oct 28 09:12:41 PDT 2014 --  @DavidGGonzalezz #RAINSTORMS Out Now @realmandyrain releases #RIOTRemix Go to iTunes here: https://itunes.apple.com/us/album/riot-brooklyn-remix-single/id929269553 … @BruceAutomatic
Sat Oct 11 19:57:57 PDT 2014 --  Absolutely LOVED opening for this @COVERGIRL tonight! Thanks @katyperry for such a fab time pic.twitter.com/2s8dRy7sOc
Tue Oct 21 17:13:23 PDT 2014 --  so excited to be crashing/performing at my first ever high school homecoming dance tomorrow with #JustDance2015! @JustDanceGame
Tue Oct 21 13:21:26 PDT 2014 --  I LOVE YOU GUYS DJFBDNDMD YOUR SO AWESOME
Fri Oct 17 12:57:30 PDT 2014 --  @DavidGGonzalezz
Fri Oct 17 06:10:33 PDT 2014 --  @DavidGGonzalezz thanks for the follow!
Thu Oct 16 15:30:49 PDT 2014 --  Tambien graba con Alan Banderas algo asi como Rompe La Rutina (@sooydobled live on http://twitcam.livestream.com/ga51v )
Thu Oct 16 15:26:09 PDT 2014 --  A mi me pagan en dos semanas :( Y comprare dos discos de La Novedad :) (@sooydobled live on http://twitcam.livestream.com/ga51v )
Thu Oct 16 15:18:15 PDT 2014 --  A mi me gustaron mas #Diles y #NoEsLoMismo :3 (@sooydobled live on http://twitcam.livestream.com/ga51v )
Thu Oct 16 15:00:33 PDT 2014 --  Ya viste que la letra de todo termino casi llega a 2 millones de visitas :3 (@sooydobled live on http://twitcam.livestream.com/ga51v )
Thu Oct 16 14:52:39 PDT 2014 --  Gracias por el saludo Yo tambien tengo#LaNovedad *-* Ahora me falta mi discofisico (@sooydobled live on http://twitcam.livestream.com/ga51v )
Thu Oct 16 14:49:25 PDT 2014 --  Hola! :3 Se ve bien ;) (@sooydobled live on http://twitcam.livestream.com/ga51v )
Thu Oct 02 15:02:58 PDT 2014 --  #PonTuQueSi si pones algo de @Cimorelliband no me enojo! :3 Saludos Nat! :3 <3
Mon Sep 29 16:12:01 PDT 2014 --  #SufroCuando se apaga el internet y estoy en una buena conversación D:
Sun Sep 21 17:39:04 PDT 2014 --  #NowPlaying: Shower by @IamBeckyG. Listen Live at http://bit.ly/1emowDa .
Sat Sep 20 19:13:43 PDT 2014 --  Me siguen más de 200 cuentas verificadas y sólo conozco a 10 :3 <3 #LesPegoPorPreguntones <3
Fri Sep 19 17:00:42 PDT 2014 --  Estoy muy contento de estar Aqui en Mexico, Tanta muchacha Linda!!
Thu Sep 18 18:16:22 PDT 2014 --  Voy a volar a México ahora! Nos vemos en un par de horas.
Thu Sep 18 01:26:31 PDT 2014 --  Bye London pic.twitter.com/uQlWA6jrsa
Wed Sep 17 23:10:20 PDT 2014 --  #NowPlaying: Bang Bang by @JessieJ, @ArianaGrande and @NICKIMINAJ. Listen Live at http://bit.ly/1emowDa .
Tue Sep 16 15:48:15 PDT 2014 --  Be on lookout 4 our new #movie #chalkitupmovie http://instagram.com/p/tBgqvzko7R/  @USAGym @uclagymnastics @InsideGym @eileenkoch pic.twitter.com/uhBdarQ5DC
Tue Sep 16 14:36:15 PDT 2014 --  Good day @RacheleBSmith You are the best #RacheleIsMyLife :)
Sun Sep 14 14:20:42 PDT 2014 --  No serán violentos si los educas bien. pic.twitter.com/dIQOy8U0Vn
Sun Sep 14 15:19:44 PDT 2014 --  #NowPlaying: Black Widow (feat. Rita Ora) by @IggyAzalea. Listen Live at http://bit.ly/1emowDa .
Sun Sep 14 15:14:36 PDT 2014 --  OMG <3 #CIMORELLI @LaurenCimorelli @ChristinaCIM @DaniCim @AmyCim @LisaCim @KathCim <3 :') pic.twitter.com/cRBBRP0BVr
Sun Sep 14 14:41:36 PDT 2014 --  Feliz día señores! Bendiciones!! pic.twitter.com/Pg4Uv187ov
Sun Sep 14 14:38:49 PDT 2014 --  #NowPlaying: Break Free (feat. Zedd) by @ArianaGrande. Listen Live at http://bit.ly/1emowDa .
Thu Sep 11 23:13:41 PDT 2014 --  #NowPlaying: I Will Never Let You Down by @RitaOra. Listen Live at http://bit.ly/1emowDa .
Thu Sep 11 22:58:22 PDT 2014 --  #NowPlaying: Best Mistake (feat. Big Sean) by @ArianaGrande. Listen Live at http://bit.ly/1emowDa .
Thu Sep 11 22:59:25 PDT 2014 --  Say baby ...
Thu Sep 11 22:17:08 PDT 2014 --  A los famosos latinos les duele dar follow, En cambio los famosos gringos le dan follow a quien sea aunque no sean sus fans...
Thu Sep 11 15:26:43 PDT 2014 --  Getting VERY close to #7MillionMahomies
Thu May 08 15:27:05 PDT 2014 --  Oh my God !! #QuienComoTu #LANOVEDAD pic.twitter.com/sefKR0MG18
Wed Sep 10 23:39:38 PDT 2014 --  #NowPlaying: Black Widow (feat. Rita Ora) by @IggyAzalea. Listen Live at http://bit.ly/1emowDa .
Mon Aug 25 12:13:53 PDT 2014 --  Good seeing you at the station today....even though lighting sucked;) @ArianaGrande pic.twitter.com/0yjuDoGWBc
Sat Sep 06 19:20:16 PDT 2014 --  ¿Dónde está el sentimiento? Todo el mundo necesita amor Usted puede confiar en que va a estar allí..(8)
Sat Sep 06 10:02:26 PDT 2014 --  Espero y tengan lindo DIA
Sat Sep 06 03:22:08 PDT 2014 --  Andaba muy ausente por estos rumbos.
Thu Sep 04 21:22:07 PDT 2014 --  Yo nunca exagero en lo que escribo. - Enviado desde mi IPhone 9
Tue Sep 02 10:14:28 PDT 2014 --  Have you seen this yet? #HOME for vevo_uk discover .... @mikedaviesuk @beatfoxuk http://instagram.com/p/sc3xe2EF2J/ 
Mon Sep 01 21:02:37 PDT 2014 --  but forreal tho whoever thought those were actually me...... love u but I'm praying for u
Mon Sep 01 20:35:01 PDT 2014 --  Heard @hot1057fm was playing "Booty Had Me Like" today thanks for the love y'all
Sun Aug 31 23:44:45 PDT 2014 --  Dara is that u?!? 지나가다가 산다라박 발견 ^_^v http://instagram.com/p/sZK6gnCS3h/ 
Sun Aug 31 14:59:15 PDT 2014 --  I'm about to emoji sneeze.. ..........
Sun Aug 31 01:53:59 PDT 2014 --  Te odian por ser mejor que ellos, Tratan de superarte pero no pueden. :)
Sat Aug 30 17:32:26 PDT 2014 --  #YGfamily#2014#galaxy#powertour #ribbonhair I had a lot of fun :) thanks for all your support! http://instagram.com/p/sV7gooE5Qc/ 
Fri Aug 29 23:47:01 PDT 2014 --  둠다라 마이크가 너무 커졌어요... #YGFamily2014GalaxyTour #PowerInShanghai See u soon Blackjack China :) http://instagram.com/p/sUBlUpiS2z/ 
Fri Aug 29 15:01:28 PDT 2014 --  " @iambeckyg: I remember the day you told me you were leaving... " Te quiero! <3
Fri Aug 29 13:49:12 PDT 2014 --  Looking forward to @fusionfest tomorrow. On around 2:30 come holla
Fri Aug 29 13:12:42 PDT 2014 --  Tweeting this for a fellow artist http://itunes.apple.com/gb/album/turn- ……
Mon Aug 25 13:32:38 PDT 2014 --  We them guys. http://instagram.com/p/sIoF_aj-6e/ 
Mon Aug 25 13:11:20 PDT 2014 --  New #TourLife today!!!
Sat Aug 23 10:38:49 PDT 2014 --  Thank you so much for coming to our show today and thank u for joining us on stage!!! Hope u guys had… http://instagram.com/p/sDKnFEiS3c/ 
Sun Jun 22 01:32:29 PDT 2014 --  우리 #룸메이트 3명의 초미녀들~~~(*^____^*)/ 우리 블랙잭들이 보내준 도시락!!!조공을 너무너무 맛있게 먹었다고합니당~~♡ㅠㅠ역쉬 울팬들 최고!!! 잠깐!!!수현언니가… http://instagram.com/p/piizZhK3fx/ 
Fri Aug 22 21:32:13 PDT 2014 --  Let's rock tonight #Thailand http://instagram.com/p/sBwl3Jk5Re/ 
Sat Aug 23 07:34:19 PDT 2014 --  Arrrright arrrright arrright, it's time for a new cover eh?
Sat Aug 23 19:21:35 PDT 2014 --  Cutie http://Instagram.com/p/sDat-4K-AC/ 
Sat Aug 23 20:01:49 PDT 2014 --  actually it's probably gonna be out at around this time tomorrow night #myeverythingataroundthistimetomorrownight http://smarturl.it/ArianaMyEvrythnDlxiT …
Sun Aug 10 20:42:29 PDT 2014 --  Uuuuh sigo sin perder la fe http://instagram.com/p/rixXHhNw50/ 
Mon Aug 11 21:40:12 PDT 2014 --  Quisiera ser volador de Papantla, pero solo por unos 15 minutos haber que pedo
Sat Aug 16 14:12:57 PDT 2014 --  RT Si amas la MUSICA !!
Mon Aug 18 11:36:48 PDT 2014 --  Soy ese golpe en el dedo chiquito del pie cuando acabas de despertar!
Sun Aug 17 18:40:43 PDT 2014 --  Tss Tss Tss jajajaja http://instagram.com/p/r0k9BsNw1_/ 
Fri Aug 15 16:30:37 PDT 2014 --  Since I just announced mu US Tour today...here's what we gon do...
Fri Aug 15 16:31:43 PDT 2014 --  For a RT of FOLLOW BACK tweet me with the hashtag #TalkDirtyTour and if u bought tix, send me a screenshot of your purchase! LET'S GO!!!
Tue Aug 12 18:04:33 PDT 2014 --  fiiinaallyy #breakfreevideo http://www.youtube.com/watch?v=L8eRzOYhLuw … enjoy loves
Sat Aug 09 11:59:45 PDT 2014 --  Me siento listo!
Fri Aug 08 21:40:13 PDT 2014 --  still looking. y'all seriously are such a gift .... fucking sweethearts galore I love u
Wed Aug 06 16:07:35 PDT 2014 --  Excited to share an exclusive concert stream of my new music w the loves that pre-order #MyEverything on my website http://smarturl.it/arianapreorder 
Wed Aug 06 11:31:40 PDT 2014 --  Goooooooooodmorning
Tue Aug 05 19:12:59 PDT 2014 --  Beasters. I need to ask a huge favor..I need you to call your local radio stations and blow them up 1,000 times a day to play SHOWER.
Tue Aug 05 12:53:06 PDT 2014 --  I'm reply to comments at http://bit.ly/TourMockumentary … NOW!!! #AustinMahoneTour
Mon Aug 04 17:03:36 PDT 2014 --  spendin the day w nonna doing all the things she wants to do :') she just had me play her the album fully thru for her first time
Mon Aug 04 16:31:51 PDT 2014 --  #Insider #EXCLUSIVE First Look @AustinMahone Mockumentary! #Mahomies #MahoneOnInsider @TheVampsband http://yhoo.it/1mgTnSt 
Mon Aug 04 15:54:29 PDT 2014 --  Turn on @TheInsider now!! Tour video premiere!! #AustinMahoneTour #MahoneOnInsider
Mon Aug 04 14:34:11 PDT 2014 --  See what goes on backstage on #AustinMahoneTour tonight on @theinsider w @TheVampsband @FifthHarmony @ShawnMendes http://instagram.com/p/rSqKq7LUCj 
Mon Aug 04 14:07:55 PDT 2014 --  Manos arriba es lo que hay algo que viene en el disco este mes salimos con #LANOVEDAD… http://instagram.com/p/rSnb_QNw_Q/ 
Mon Aug 04 11:18:14 PDT 2014 --  Big News #BEASTERS!! I'm taking over http://OKMagazine.com  this week! See what I'll be doing here: http://okmag.co/1AOUW3N  #BeckyGTakesOK
Sun Aug 03 15:27:36 PDT 2014 --  Hey
Sun Aug 03 15:28:15 PDT 2014 --  I have something i wanna share with you
Sun Aug 03 15:37:16 PDT 2014 --  you guys are going to like this
Sun Aug 03 15:43:03 PDT 2014 --  I'm gonna give you the very first song i ever recorded in Miami. i recorded it about 3 years ago... before i even moved there.
Thu Jul 31 23:44:09 PDT 2014 --  Just posted a video http://instagram.com/p/rJWNBCLULR/ 
Thu Jul 31 14:11:24 PDT 2014 --  I don't know who has the original official credits to this picture but who ever caught this special… http://instagram.com/p/rIUp9EzEq0/ 
Thu Jul 31 13:26:16 PDT 2014 --  It's official, Australia!! You guys can download our new EP on @iTunesMusic now!! Hope you all enjoy it!! http://smarturl.it/GRLep?IQid=tw 
Wed Jul 30 14:21:23 PDT 2014 --  We added 2 more shows!!! Oct 29 in Leon at @poliforumleon & Oct 31 in Monterrey @AuditBanamex!!!
Wed Jul 30 14:04:38 PDT 2014 --  Alguien digale a @iambeckyg que me siga! :') <3
Mon Jul 28 23:10:26 PDT 2014 --  tipos y tipas queriendo ser Dios.
Sun Jul 27 04:01:20 PDT 2014 --  Reír es más bonito cuando escucho su risa junto a la mía.
Sun Jul 27 03:58:53 PDT 2014 --  No hay sensación más bonita que la de tenerte a mi lado.
Sun Jul 27 03:57:19 PDT 2014 --  Abrazarte y darme cuenta de que no quiero soltarte nunca.
Tue Jul 22 14:26:31 PDT 2014 --  Only ONE more week until our EP is available on @iTunesMusic !! Who's getting excited?! pic.twitter.com/0bd2r86QWD
Tue Jul 22 14:05:56 PDT 2014 --  Me siguen 82 Cuentas Verificadas pero ninguna es @AustinMahone @ArianaGrande @iambeckyg :( Pero me siguen personas famosas! <3
Sun Jul 13 22:07:32 PDT 2014 --  @DavidGGonzalezz Daveeed
Thu Jul 10 20:32:08 PDT 2014 --  Me gustó un video de @YouTube http://youtu.be/-2rsCq1eMH8?a  -PRESENCIA. Ft.Deon 2014 Wd.
Wed Jul 09 02:45:10 PDT 2014 --  @DavidGGonzalezz Hola escucha mi cancion ¨Ella es mejor¨ espero te guste dale like y deja un comentario en el video https://www.youtube.com/watch?v=P9cXh6cXFbY …
Mon Jun 30 15:06:09 PDT 2014 --  #nomegustacuando cuando me ignoras yo que te quiero @NataliaTelehit @Natalia_Tellez
Sat Jun 28 21:36:45 PDT 2014 --  Me gustó un video de @YouTube http://youtu.be/FwSHgcjEZNw?a  Becky G feat. Pitbull - Can't Get Enough
Fri Jun 27 14:23:56 PDT 2014 --  Dale pa mi cuarto no lo estés pensando
Fri Jun 27 14:32:23 PDT 2014 --  Y aquel amigo donde esta? ni pregunta como estas? solamente aparece si tiene una necesidad! #OraPorMi #DY
Fri Jun 27 16:55:34 PDT 2014 --  Dicen que si no vesmuebreas escrgwsbevaaiwbtidobkao NO ESCRIBIR SIN VER ... NO SE PINCHES PUEDE! así que no me hables mientras lo hago!
Thu Jun 26 17:48:15 PDT 2014 --  #MiIdoloEs @sooydobled El mejor de los mejores entre los mejores. :3 #EselDobleMan
Wed Jun 25 22:38:50 PDT 2014 --  Me ha gustado un vídeo de @YouTube (http://youtu.be/0WJEtvXQPGA?a  - -Ultimas palabras ft Joniko..).
Wed Jun 25 22:37:21 PDT 2014 --  Me ha gustado un vídeo de @YouTube (http://youtu.be/RcNFSx5a68w?a  - -Nenas,dinero,pasto y la Mari (deon) 2014).
Sat Jun 21 14:29:52 PDT 2014 --  En el estudio a cuadrar unas cositas pendientes #DobleD #LaNovedad #CastañuelaStudio http://instagram.com/p/phW-Ohtw3n/ 
Wed Jun 18 16:49:04 PDT 2014 --  yo que vivía con una amargura en mi pecho nena
Wed Jun 18 13:48:31 PDT 2014 --  Hola @iambeckyg te amo!! <3
Sat Jun 14 22:58:24 PDT 2014 --  El video oficial del segundo sencillo de mi disco #LANOVEDAD será filmado en la bonita ciudad de Mazatlan Sinaloa aajuaaa #QuienComoTu
Tue Jun 17 11:50:38 PDT 2014 --  MÉXICO LINDO Y QUERIDO !!! #VamosConTodo #AhuevoQueSePuede http://instagram.com/p/pWxjxWtw8S/ 
Mon Jun 16 17:23:39 PDT 2014 --  USA
Mon Jun 16 15:12:46 PDT 2014 --  #quehariasi conociera a @AustinMahone Lloraria de felicidad y le pediria que me siga a mi twitter ;)
Mon Jun 16 15:09:19 PDT 2014 --  #QuehariaSI te conociera @Natalia_Tellez pues la abrazaria porque siempre quise hacerlo! <3
Sun Jun 15 19:42:04 PDT 2014 --  Can't wait for #Round2sDay this week #YouNow
Thu May 29 12:46:37 PDT 2014 --  Right my vote goes out to the little rappers. Little dudes #BGT2014
Thu May 29 13:15:26 PDT 2014 --  Anyone fancy seeing a funny video of me when I was 10 years old, head over to http://www.facebook.com/mattjohnsonofficial …
Fri May 23 10:01:18 PDT 2014 --  #NoPuedoResistirmeA no hablarte cuando me molesto contigo. :( <3
Sat May 17 12:28:19 PDT 2014 --  Era gol del Dortmund
Tue May 20 17:32:07 PDT 2014 --  Acabo de decirle adiós a Facebook. nos leemos por aquí, Instagram y FanPage!
Thu May 22 16:02:36 PDT 2014 --  #TBT un día en J Town. http://instagram.com/p/oURvKsNw9y/ 
Thu May 15 20:01:22 PDT 2014 --  I'm @1027KIISFM's #NextUp Artist of the Week! Check out the exclusive performance + interview! http://bit.ly/1k6lAgN  pic.twitter.com/jybtIn7KG6
Tue May 06 12:02:11 PDT 2014 --  @DavidGGonzalezz Thanks for following! Please check out Shout London's NEW ALBUM! <3 http://shoutlondon.bandcamp.com/album/rememories …
Wed Apr 30 15:00:06 PDT 2014 --  @DavidGGonzalezz Thanks4following Please check out Shout London! Listen & Share! https://itunes.apple.com/us/album/rememories/id752301140 …
Tue Apr 22 03:03:28 PDT 2014 --  I dnt get Y Britain's Got Talent has acts frm around the world auditioning! I thought d idea of the show is 2 celebrate talent frm the UK.
Thu Apr 24 23:20:01 PDT 2014 --  Doble D ( @sooydobled ) - Todo Terminó (Vídeo Oficial): http://youtu.be/oz5OI41GZL8 
Thu Apr 24 23:17:07 PDT 2014 --  Zedd - Find You ft. Matthew Koma, Miriam Bryant: http://youtu.be/IgGjUjQRAxw 
Thu Apr 24 12:07:34 PDT 2014 --  Sigan viendo #TodoTermino por mi canal DOBLED TV les dejo el Link aquí mismo --->… http://instagram.com/p/nLwlQOtw1y/ 
Mon Apr 21 05:34:54 PDT 2014 --  I forgot my Soundcloud is linked to my twitter! Sorry for the million tweets just now!!! My Soundcloud is all up to date now tho. :)
Thu Apr 24 09:41:13 PDT 2014 --  Popular baby monitor being recalled. Details in just 5 minutes at Noon on Channel 9
Mon Apr 21 15:32:38 PDT 2014 --  Follow @Stone_Wallace
Mon Apr 21 14:07:14 PDT 2014 --  ¡¡¡ SEGUIMOS ZUMBANDO !!! http://youtu.be/oz5OI41GZL8 
Sun Apr 20 22:53:35 PDT 2014 --  ¡Quiero ayudar a todos esos perritos indefensos! :(
Sun Apr 20 23:20:12 PDT 2014 --  Already entered the official website of @AustinMahone ? Waiting! http://www.austinmahone.com  '
Sun Apr 20 11:29:05 PDT 2014 --  My latest track, FREE for download at http://www.MattAndTheMonkey.com  Livin' On A Prayer http://soundcloud.com/mattandthemonkey/livin-on-a-prayer … on #SoundCloud
Sun Apr 20 15:06:28 PDT 2014 --  Comment and give it a like! https://www.youtube.com/watch?v=DjntNLk-U5Y …
Sun Apr 20 13:45:06 PDT 2014 --  Excelente domingo para todos, nos vamos al estudio a terminar los pendientes
Sun Apr 20 09:22:01 PDT 2014 --  "Show Me" video comes out at 6 tonight.. Are you ready?
