Wed Aug 19 16:21:01 PDT 2015 --  سبحانك اللهم وبحمدك، أشهد أن لا إله إلا أنت أستغفرك وأتوب إليك كفارة المجلس
Sun Aug 16 01:41:10 PDT 2015 --  قال رسول الله ﷺ : "من قال سبحان الله وبحمده ، في يوم مائة مرة ، حطت خطاياه وإن كانت مثل زبد البحر" متفق عليه pic.twitter.com/aHBzI0TkKd
Fri Aug 14 01:10:25 PDT 2015 --  صلى الله وسلم على نبينا
Mon Aug 10 16:22:35 PDT 2015 --  #تغريده_تشفع_لك_يوم_القيامه لا إله إلا الله وحده لا شريك له، له الملك وله الحمد وهو على كل شئٍ قدير.
Thu Aug 06 09:33:49 PDT 2015 --  تنبيه مهم الآن اتصل بالرقم (990) للتبليغ عن الإرهابيين #الدواعش والمطلوبين أمنياً،والذين يسعون لتدمير بلادنا وأمننا . ساهم بنشرها
Thu Aug 06 04:33:55 PDT 2015 --  اللهم ارحم الشهداء واشف الجرحى والهم اهلم الصبر وحسبنا الله ونعم الوكيل #تفجير_طواري_عسير
Wed Aug 05 15:38:03 PDT 2015 --  أستغفر الله العظيم الذي لا إله إلا هو الحي القيوم وأتوب إليه .
Sat Jul 25 18:23:46 PDT 2015 --  ((سُبْحَانَ اللهِ وَبِحَمْدِهِ: عَدَدَ خَلْقِهِ، وَرِضَا نَفْسِهِ، وَزِنَةَ عَرْشِهِ، وَمِدَادَ كَلِمَاتِهِ))
Wed Jul 22 18:01:19 PDT 2015 --  سبحان اللَّهِ وَبِحَمْدِهِ عَدَدَ خَلْقِهِ وَرِضَا نَفْسِهِ وَزِنَةَ عَرْشِهِ وَمِدَادَ كَلِمَاتِهِ
Mon Jul 20 14:36:05 PDT 2015 --  استغفرالله واتوب اليه
