Sun Aug 16 01:54:36 PDT 2015 --  Galaxy Note 5 International Giveaway! https://wn.nr/vx2hw 
Sun Aug 16 01:53:38 PDT 2015 --  Galaxy Note 5 International Giveaway @androidauth https://wn.nr/vx2hw 
Fri Aug 14 20:50:14 PDT 2015 --  #ObviousTechTip - Turn on your computer by plugging it in, flipping the switch on the power supply to 'ON' and pressing the power button.
Fri Aug 14 21:18:48 PDT 2015 --  Happy Independence Day! #JaiHind
Fri Aug 14 08:03:47 PDT 2015 --  50 OnePlus 2 Invites Giveaway https://wn.nr/NK8c5 
Fri Aug 14 08:03:14 PDT 2015 --  OnePlus 2 50 Invites giveaway! @androidauth #oneplus2 https://wn.nr/NK8c5 
Sun Aug 09 02:24:29 PDT 2015 --  OnePlus 2 International Giveaway @androidauth https://wn.nr/E6MDK 
Sun Aug 02 19:52:07 PDT 2015 --  Oppo R7 International giveaway @androidauth #OPPOR7 #OPPO https://wn.nr/sytCK 
Sat Jul 04 22:33:40 PDT 2015 --  Join me in Cloud Raiders - the best Action Strategy game in the world! Play now! #CloudRaiders http://cloudraiders.com/p/1447777524/?k=0&ci=14 …
Sat Jul 04 04:41:00 PDT 2015 --  if the net services and speed of net are robust then it will be much easier 2 make #DigitalIndia as it connects everything #DigitalDialogue
