Wed Jul 08 11:20:11 PDT 2015 --  i'm craving donuts
Wed Jul 08 05:53:13 PDT 2015 --  Am I the only one who doesn't really have an opinion about the Ariana video?
Wed Jul 08 04:32:17 PDT 2015 --  Ariana deleted her snapchat Ariana just cancelled her concert at 11th July Ariana is unfollowing people Ariana being inactive on her acc
Tue Jul 07 23:21:53 PDT 2015 --  My thoughts on the Ariana situation pic.twitter.com/7yeh4LYqXc
Tue Jul 07 20:54:02 PDT 2015 --  "we all know who leaked that video of ariana" pic.twitter.com/wAI27nXos5
Wed Jul 08 05:43:49 PDT 2015 --  Ariana will learn what's good for her and what's not through experience! We have no right to tell her who she should date or not
Wed Jul 08 05:44:47 PDT 2015 --  I really miss Ariana and i hope she's doing okay
Wed Jul 08 05:45:30 PDT 2015 --  You are a person. I'm a person. Ariana Grande is a person. We all have emotions nd feelings. We have our GOOD days. We have OUR bad days.
Wed Jul 08 01:21:10 PDT 2015 --  ariana hasnt posted anything on snapchat since yesterday ok something's definitely wrong bc we all know she posts 2617 snaps in a minute
Wed Jul 08 01:32:07 PDT 2015 --  Ariana: *on tour* *making album* *making her perfume* *scream queens* Everyone: Ariana: *commits a mistake* Everyone: *sends hate*
Tue Jul 07 11:20:39 PDT 2015 --  "I know how much she’s always wanted a Grammy nomination, so she must have been so happy to get one this year.” - Nathan Sykes on Ariana
Tue Jul 07 05:28:22 PDT 2015 --  Ariana is a well known artist but please remember that she is also a human, she commit mistakes too.
Tue Jul 07 06:11:44 PDT 2015 --  Ariana is a human! Humans make mistakes!
Tue Jul 07 06:26:04 PDT 2015 --  Ariana's an angel and we all know who she really is, don't get distracted by one stupid video
Tue Jul 07 08:32:25 PDT 2015 --  'Ariana' is trending WW!
Tue Jul 07 08:41:06 PDT 2015 --  tbh the ariana video wasn't as bad as everyone is making it out to be
Tue Jul 07 08:47:48 PDT 2015 --  Ppl are rlly leaving Ari bc of this? There's worse thing in the world! If u can't handle Ariana at her worst u don't deserve her at her best
Tue Jul 07 08:52:02 PDT 2015 --  Y'ALL ARE ACTING LKE ARIANA KILLED SOMEONE
Tue Jul 07 09:12:41 PDT 2015 --  We all make stupid mistakes, its just that when Ariana makes one it is there for everyone to see
