Thu Aug 27 08:59:59 PDT 2015 --  ok ngaun ehhh hahah i love aldub https://twitter.com/BaeBaeAlden/status/636927335996895232 …
Sun Aug 16 22:17:21 PDT 2015 --  .., ehh anu mn #asar
Fri Aug 14 22:28:05 PDT 2015 --  #AlDubFever
Fri Aug 14 04:28:03 PDT 2015 --  ..UTI go away ;;;;;;;;;;;;;;;;;
Thu Aug 13 15:29:13 PDT 2015 --  #Maganda .. wag ikahiya kong anung meron yang muka mo pangit ka man ipakita mo na maganda ka tapoz!!
Thu Aug 13 15:04:58 PDT 2015 --  #lastday!!!!!!!!!!!!!!!!!!!!lungkot much
Thu Aug 13 13:08:14 PDT 2015 --  ...dahil sa aldub na buhay ang tulog kong puso hahahhah #kiligpamore hindi ako makaka tulog neto bukas i need to watch aldub..
Thu Aug 13 11:51:41 PDT 2015 --  ..hahaha kilig pa more @aldub https://twitter.com/aldenrichards02/status/631367350592245760 …
Thu Aug 13 11:08:29 PDT 2015 --  #inlovebabo #happy
