Fri Nov 07 16:53:46 PST 2014 --  . @AlmightyJC7 scores from 11 yards out. Hudson 7 Fivay 0 1:27 Q1 @TBO_PrepSports
Fri Oct 24 16:25:12 PDT 2014 --  #River Ridge takes on Hudson at home. @TBO_PrepSports pic.twitter.com/P6OPA6BjDn
Fri Oct 24 16:39:56 PDT 2014 --  Hudson trims River Ridge lead to 15-7 with a @AlmightyJC7 3 yd run. 8:02 left in half @TBO_PrepSports
Fri Sep 19 17:03:34 PDT 2014 --  Joey Caruso's 29yd spin-o-Rama and scamper for a TD + XP from Laroche is good. Cobras lead Wesley Chapel 15-7 with :34 in 1Q. @TBHomeTeam
Fri Sep 19 17:32:38 PDT 2014 --  Cobras go for it on 4th-and-1 from their own 25 and Joey Caruso runs for a 75yd TD on the QB "sneak". Hudson leads 27-10. 3:00, 2Q.
Fri Sep 19 18:00:35 PDT 2014 --  Cobras have over 400yds total offense in the half. Billy Werner with 139yds on 9 carries, TD. Caruso with 125yds, 2TD's, Munson 61yds
Mon Jun 23 18:59:20 PDT 2014 --  First time I'm actually rooting for @ExcuseMeWWE !!! #LieCheatAndSteal #GuerreroVsMcMahon #BestThemeMusic
Sun Jun 22 12:50:45 PDT 2014 --  I don't want you to have a good day. I want you to have a bad day.
Sun Jun 22 12:49:48 PDT 2014 --  pic.twitter.com/kvKWyrniqG
Tue Feb 05 06:05:04 PST 2013 --  "Greatness isn't always about what you do in your life - but what you inspire others to do with theirs." #LiveGreatly
