Fri Aug 28 05:12:34 PDT 2015 --  lakas maka elementary graduation ng soundtrip sa bus ah.. #FAREWELL #fridayfeels
Fri Aug 21 03:31:36 PDT 2015 --  "Minsan gusto kong magpamiss sayo, pero sa huli ako ang nakaka miss sayo."
Thu Aug 20 17:15:02 PDT 2015 --  "A loyal girl deserves a loyal guy."
Wed Aug 19 17:07:06 PDT 2015 --  Life is worth the struggle when you look back and realize what you have is better than what you lost.
Sun Aug 16 22:14:36 PDT 2015 --  working from home be like..its lunch break and am stil working..ahmmpttt pic.twitter.com/1LU2fMGlGX
Sat Aug 08 03:17:42 PDT 2015 --  learned how to use twitter again because of #AlDubWeBelongTogether hahaha, stress releave infair.. pic.twitter.com/O4p9wzgwZk
Sat Aug 08 03:17:02 PDT 2015 --  anyareeeee
Sat Aug 08 02:53:19 PDT 2015 --  DOn't give up. Normally it is the last key on the ring which opens the door. #AlDubWeBelongTogether #Aldub pic.twitter.com/04l4I1opjS
Tue Jul 23 21:09:18 PDT 2013 --  nawala lahat ng pinafollow q..
Tue Jul 23 21:05:38 PDT 2013 --  tweeter..?!
