Wed Aug 19 05:26:21 PDT 2015 --  Even after nights like last night this still melts my heart #pixlr pic.twitter.com/TKhTwlfSVn
Sun Aug 16 16:50:19 PDT 2015 --  pic.twitter.com/dA6lHuqCBN
Tue Apr 29 05:38:41 PDT 2014 --  My handsome big hearted little man is off to school today wearing his purple shirt in memory of Ms Maren Sanchez.
Fri Apr 18 14:44:47 PDT 2014 --  Feeling lost
Thu Apr 17 04:49:08 PDT 2014 --  Today marks one year since my shoulder surgery. Thank you to all who have helped guide me and support me along this long tough road.
Tue Apr 08 05:16:22 PDT 2014 --  Why is my son randomly doing sit ups in the middle of my living room? Strange child
Thu Mar 27 12:19:10 PDT 2014 --  I was always looking outside myself for strength and confidence but it comes from within. It was there all the time. - Anna Freud
Sat Mar 22 04:10:33 PDT 2014 --  The worst thing about being lied to is simply knowing you weren't worth the truth.
Fri Mar 21 16:16:29 PDT 2014 --  Happiness is not something you postpone for the future; it is something you design for the present.
