Wed Aug 26 13:10:25 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/4JmU99CCPb
Wed Aug 26 13:09:40 PDT 2015 --  3 additional entries + old entries = flood. Haha! Never say never.....
Wed Aug 26 13:06:41 PDT 2015 --  The moon is friend for the lonesome to talk to. ~ Carl Sandburg #100DaysOfZen pic.twitter.com/yr4uYwVurz
Wed Aug 26 13:02:24 PDT 2015 --  The most important things in life aren't things. #100DaysOfZen pic.twitter.com/DECqCNcEfz
Wed Aug 26 11:16:29 PDT 2015 --  Success is the sum of small efforts, repeated day in and day out. - Robert Collier
Wed Aug 26 11:45:06 PDT 2015 --  "To accomplish great things, we must not only act, but also dream; not only plan, but also believe." - Anatole France
Wed Aug 26 11:30:48 PDT 2015 --  When you truly believe in what you are doing, it shows. And it pays. Winners in life are those who are excited about where they're going.
Wed Aug 26 12:59:18 PDT 2015 --  Dream as if you'll live forever, live as if you'll die today. ~ James Dean #100DaysOfZen pic.twitter.com/DGs7uvLtV7
Tue Aug 25 08:51:32 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/2iydaohBEy
Tue Aug 25 08:50:59 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/sPwMj1tztN
Tue Aug 25 08:50:09 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/UqbCttYj42
Tue Aug 25 08:49:25 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/REbL2YjWGp
Tue Aug 25 08:48:48 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/EIP0XTVl78
Tue Aug 25 08:48:20 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/shoqiuiD6c
Tue Aug 25 08:47:47 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/pbGSPBbCs1
Tue Aug 25 08:46:50 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/ZKTWleCcMk
Tue Aug 25 08:46:30 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DaysOfZen pic.twitter.com/C8JTi9udJq
Tue Aug 25 08:44:18 PDT 2015 --  OnePlus 2 International Giveaway @androidauth #oneplus2 https://wn.nr/TcfHb 
Tue Aug 25 01:18:43 PDT 2015 --  You're my wonderwall
Tue Aug 25 01:13:56 PDT 2015 --  While eating nachos. . . mwa ha
Tue Aug 25 01:05:37 PDT 2015 --  Testing the new in ear headphones I bought!
Sun Aug 23 08:37:29 PDT 2015 --  OnePlus 2 International Giveaway @androidauth #oneplus2 https://wn.nr/TcfHb 
Sun Aug 23 08:15:47 PDT 2015 --  Good vibes.
Sun Aug 23 08:15:01 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/K9VVqm6lp2
Sun Aug 23 08:14:44 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/8G1pKv1jsb
Sun Aug 23 08:14:06 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/DWL0M81tdj
Sun Aug 23 08:13:29 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/TPehyh0c0r
Sun Aug 23 08:13:10 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/q3zDnNvL3W
Sun Aug 23 08:12:46 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/tQEqBEm1ey
Sun Aug 23 08:12:25 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/IzPq5IZnpn
Sun Aug 23 08:12:10 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/NVw3AuoEM4
Sun Aug 23 08:11:33 PDT 2015 --  "The sky broke like an egg into full sunset and the water caught on fire." - Pamela Hansford Johnson #100DaysOfZen pic.twitter.com/eQt39jlnoE
Sun Aug 23 08:10:34 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/gTulCJrzH8
Sun Aug 23 08:10:17 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DaysOfZen pic.twitter.com/x6JNbvZ4FR
Sun Aug 23 04:38:21 PDT 2015 --  It's not like I need something TO YOU, it's the other way around. Be fvcking polite!!!
Sun Aug 23 04:31:39 PDT 2015 --  You don't need to shout! .....|.......
Sat Aug 22 09:02:20 PDT 2015 --  Too cute, AlDub He he. cto photo not mine pic.twitter.com/MAOXgKXr98
Sat Aug 22 09:01:01 PDT 2015 --  Giving up is not an option!
Sat Aug 22 08:56:43 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/v8rUhrruIw
Sat Aug 22 08:56:11 PDT 2015 --  Fireworks are flowers in the garden sky! #100DaysOfZen pic.twitter.com/JvVRMO4FaL
Sat Aug 22 08:51:37 PDT 2015 --  "The best road to progress is freedom's road." - John F. Kennedy #100DaysOfZen pic.twitter.com/ApCqcHyNCJ
Sat Aug 22 08:51:15 PDT 2015 --  "The moon is a friend for the lonesome to talk to." -Carl Sandburg #100DaysOfZen pic.twitter.com/gwVhhKIuDN
Sat Aug 22 08:50:50 PDT 2015 --  "Aim for the moon. If you miss, you may hit a star." -W. Clement Stone #100DaysOfZen pic.twitter.com/L22QupKxR9
Sat Aug 22 08:49:45 PDT 2015 --  “We see the world, not as it is, but as we are or, as we are conditioned to see it.” ―Stephen R. Covey #100DaysOfZen pic.twitter.com/QEZZzTd24r
Sat Aug 22 08:49:24 PDT 2015 --  "It is a beautiful and delightful sight to behold the body of the Moon"- Galileo Galilei #100DaysOfZen pic.twitter.com/CLDwRZJfbd
Sat Aug 22 08:49:09 PDT 2015 --  "Painting is silent poetry, and poetry is painting that speaks" - Plutarch #100DaysOfZen pic.twitter.com/i8vSAhDSgM
Sat Aug 22 08:48:41 PDT 2015 --  "The city is not a concrete jungle, it is a human zoo." - Desmond Morris #100DaysOfZen pic.twitter.com/kISrKNLYV2
Sat Aug 22 08:48:16 PDT 2015 --  "Binoculars see from far when near the eyes. Far from self, near the heart, in love." #100DaysOfZen pic.twitter.com/GjOhvjKj52
Sat Aug 22 08:48:11 PDT 2015 --  "A lie can travel half way around the world while the truth is putting on its shoes" - Charles Spurgeon #100DaysOfZen pic.twitter.com/m4BOMBBX5i
Sat Aug 22 00:34:03 PDT 2015 --  Hahaha AlDub all over my newsfeed! #ALDUBAgaintsALLODDS
Sat Aug 22 00:17:08 PDT 2015 --  Ha ha!! https://twitter.com/SincerelyTumblr/status/634986960902295552 …
Fri Aug 21 17:59:21 PDT 2015 --  Nobody really cares if you're miserable, so you might as well be happy. -Anonymous
