Sun Aug 09 17:06:07 PDT 2015 --  كل شبابي وشبابيه يسوولي ريوت ويتابعوني باعطيهم هدايا انزل اشياء حلوه لنادي الشباب احبكم وربي واحب كل من ينتمي لنادينا pic.twitter.com/B6HI8p1vky
Thu Aug 06 09:30:03 PDT 2015 --  نتشرف إنضمامكم معنا في القروب الرياضي على الواتس آب... pic.twitter.com/veFbbwAM6H
Thu Aug 06 06:33:35 PDT 2015 --  هل نحمي الوطن من الأعداء أم نحميه من الأبناء #فؤاد_أنور pic.twitter.com/Xv0KGMgYho
Sun Aug 02 04:33:32 PDT 2015 --  ادعم كل شبابي .. #ضيفني_اضيفك .. #إلتزم_بالمتابعه ..تابع من عمل رتويت ... جمهور #الشباب ادعمو بعض بالفولوباك
Thu Jul 30 10:31:08 PDT 2015 --  نقدم لكم موجز شامل لمباريات #الشباب في معسكره بهولندا " حتى الان " .. pic.twitter.com/gS6Jpzk8qS
Thu Jul 30 09:40:41 PDT 2015 --  23 يوم على أولى مباريات شيخ الانديه في دوري جميل 2015 - 2016 م .. pic.twitter.com/Hg74TWzEHw
Wed Jul 29 10:04:15 PDT 2015 --  الشباب يهزم الوصل الإماراتي في ثالث ودياته بهولندا http://shbaby.net/ar/?p=13088  pic.twitter.com/rmfyqsxh6M
Wed Jul 29 11:18:43 PDT 2015 --  #الشباب يفوز على الوصل الإماراتي بهدف وحيد سجله موسى الشمري، في ثالث مباريات الفريق الودية ضمن معسكر هولندا #السعودية #دوري_عبداللطيف_جميل
Wed Jul 29 09:36:50 PDT 2015 --  اذا كنت تشجع نادي #الشباب اعمل رتويت .. وضيفي الي يعمل رتويت وضيفي الي يضيفك تابع حسابنا نتابعك فوراً
Mon Jul 27 03:17:00 PDT 2015 --  يستاهلون جماهير الليث #أسعدو_جماهير_الليوث_في_المدينة pic.twitter.com/BqgunQl8Xw
Sun Jul 26 04:26:10 PDT 2015 --  - الفريق الوحيد الذي لعب نهائيين في يوم واحد - سبق وان ضمت قائمة المنتخب السعودي ٩ لاعبين من الشباب . كيف لا يكون #الشباب_اسطوره
Sun Jul 26 04:06:36 PDT 2015 --  أبطال وأبناء نادي بطل شبابي مدى الحياة https://twitter.com/totti513/status/625245232628498432 …
Fri Jul 24 23:37:21 PDT 2015 --  برنامج يطلع لك من تحب بالتويتر انشهد صدق pic.twitter.com/diRUWErMf7
Sat Jul 25 00:42:21 PDT 2015 --  ١- عشق .. ٢- حب .. ٣- حياة .. ٤- ادمان .. نادي الشباب ليس مجرد نادي 🏻.. #نادي_الشباب pic.twitter.com/aI9fyVIiGe
Thu Jul 23 18:16:52 PDT 2015 --  @FuadAnwar06 شكراً لك انت .. يامن رفعت رؤوووسنا وجعلتنا نشجع افخم نادي بالسعوديه #الشباب الف الف شكراً كابتن فؤاد الاخضر .
Sat Mar 29 10:31:21 PDT 2014 --  باقي على بداية الدراسة بعد إجازة منتصف الفصل 1 يوم @Meta_N36L
Fri Feb 28 04:27:31 PST 2014 --  الشباب الممتع في الآسوية يغرد لوحده بالمهارات والمتعة فهذا الفريق مكانه الصحيح مع الأندية الأوروبية
Thu Feb 27 06:48:37 PST 2014 --  الشباب ممتع ويلعب كورة حديثةوان شاء الله بعد جلب مهاجم علا مستوى عالي يكون مساند للمهاجم عماد مع وجود رافينيا ومدافع قوى سيكتسح كل البطولات
Sat Jan 25 10:08:14 PST 2014 --  الديمقراطية لدى العرب هي التقاتل والتناحر بين الأحزاب والديمقراطية لدى امريكاواخواتهاهي دفع مسيرة التنمية فلماذا لا نستفيق ونفهم ?
Thu Jan 16 14:52:38 PST 2014 --  مبارات المنتخب الموريتاني السابقة كانت جميلة ما كان ينقصها الا الحظ وان شاء الله يفوز في المباراة القادمة دعواتكم وشكرا
