Mon Aug 24 19:35:53 PDT 2015 --  ¿Eres #Jonatic y quieres ganarte una guitarra autografiada por #JonasBrothers? Utiliza los Ht´s #RetoPMTelehit y #JonasTelehitGuitarraPM
Mon Aug 24 19:36:28 PDT 2015 --  ¿Quieres ganarte un kit de música? Utiliza los Ht´s #RetoPMTelehit y #TelehitMusicPMKit
Mon Aug 24 19:22:35 PDT 2015 --  5 DÍAS @MARTINAMUSICA @TOSTAOCQT!!! NERVIOS, EMOCIÓN Y FELICIDAD ABSOLUTA CON @CHOCQUIBTOWN @PISO21MUSIC @JBALVIN y @AUSTINMAHONE :) DUCKKK
Mon Aug 24 19:17:25 PDT 2015 --  
Mon Aug 24 19:15:39 PDT 2015 --  A 5 días de Kids Choice Awards Colombia 2015! Estoy tan nervioso!
Mon Aug 24 17:50:02 PDT 2015 --  Sonríe te ves más bonita pic.twitter.com/HxhqCLfrD5
Mon Aug 24 15:53:30 PDT 2015 --  Para que cambien su header por si quieren beibis #SiMeDasTuCorazón pic.twitter.com/BL7fSBAAeO
Mon Aug 24 15:20:07 PDT 2015 --  #askvillalobros pic.twitter.com/bXCL4erEvg
Mon Aug 24 15:16:20 PDT 2015 --  La nueva canción de Austin Mahone está demasiado buena
Mon Aug 24 15:04:31 PDT 2015 --  *tour I should say
Mon Aug 24 13:57:44 PDT 2015 --  #askvillalobros
Mon Aug 24 11:40:56 PDT 2015 --  Lo estamos haciendo bien mis amores sigamos con esta rumba eterna
Sun Aug 23 19:40:20 PDT 2015 --  ¿YouNow?
Sun Aug 23 19:22:12 PDT 2015 --  ¡Mis amores ya esta disponible #SiMeDasTuCorazón en iTunes! https://itun.es/mx/AtOF9 
Sun Aug 23 18:36:52 PDT 2015 --  Cómo tener loca a una mujer: 1. Tomale una foto. 2. No se la enseñes.
Sun Aug 23 13:04:50 PDT 2015 --  No le entiendo a la vida.
Sun Aug 23 11:56:28 PDT 2015 --  Gracias por la nota mi querido @daniel_garibay nos vemos pronto en Guadalajara pic.twitter.com/N7cW2HGOQK
Sun Aug 23 11:52:06 PDT 2015 --  Find yourself anywhere... pic.twitter.com/qzZ4wwFD2e
Sun Aug 23 11:31:36 PDT 2015 --  #AeromexicoPesimoServicio @AeroMexico gracias por nada.
Sun Aug 23 07:53:04 PDT 2015 --  . @mariobautista_ sorprendió ayer a su hermano @jancarlobg durante un convivio con fans. La reseña hoy en @gentemural. http://tinyurl.com/oa543cn 
Sun Aug 23 07:56:04 PDT 2015 --  Mi cama hoy no me quiere soltar, AYUDA!!!!!!
Sat Aug 22 20:58:54 PDT 2015 --  ¿Que esta pasando? pic.twitter.com/ytY9b0IWzB
Sat Aug 22 20:54:59 PDT 2015 --  Los Bautista ♕ pic.twitter.com/uisbXQN1nR
Sat Aug 22 16:27:02 PDT 2015 --  @elpiquis4 // https://instagram.com/p/6tDonBituN/  pic.twitter.com/kKngQ0Wsrf
Sat Aug 22 16:09:30 PDT 2015 --  Mis amores de Villahermosa nos vemos pronto para rumbear 🏻 pic.twitter.com/Dym13OAkal
Fri Aug 21 20:41:52 PDT 2015 --  <3
Fri Aug 21 20:16:35 PDT 2015 --  https://twitter.com/maria_ehema/status/634926067606790144 …
Sun Aug 09 22:06:40 PDT 2015 --  Midnight work @saakmx pic.twitter.com/9QJl0ewMCt
Tue Aug 11 16:03:01 PDT 2015 --  Estoy en una cita pic.twitter.com/mUh2oqYucv
Fri Aug 21 11:35:12 PDT 2015 --  Cuando ves a tu crush con otra persona y después te preguntan si te duele https://vine.co/v/eDWHhFz5F3t 
Fri Aug 21 19:34:54 PDT 2015 --  #LaSiguienteSemanaNuevoVídeoSebas
Fri Aug 21 15:26:16 PDT 2015 --  Sin duda alguna me encantan.
Fri Aug 21 13:21:17 PDT 2015 --  ¿Quién no ama el video "Sugar" de @maroon5? Vamos a disfrutarlo en #MaratonTelehit
Fri Aug 21 13:11:13 PDT 2015 --  Es momento de disfrutar de la música de la reina del pop con el video "Bitch I´m Madonna" en #MaratonTelehit
Fri Aug 21 12:45:25 PDT 2015 --  Estreno de #SiMeDasTuCorazón de @mariobautista_ RT si te gustó @SoyBurroNegro. pic.twitter.com/pO23i13lZX
Fri Aug 21 12:49:29 PDT 2015 --  Gracias por recibir la canción de tan bonita manera son lo mejor de verdad a pedirla en todas sus radios locales !! Rumbaaaa🏻
Fri Aug 21 10:59:50 PDT 2015 --  Gracias Guadalajara, que belleza de ciudad y personas!! Hubo buena rumba 🏻 ya voy de regreso al D.F. mis amores!!!
Fri Aug 21 12:31:59 PDT 2015 --  Una mordidita en tu boquita... @ricky_martin está en #MaratonTelehit
Fri Aug 21 11:33:46 PDT 2015 --  Bonito martes
Fri Aug 21 10:52:45 PDT 2015 --  Oye @Tadeo_AcaShore ya llegue a tu tierra sácame de RUMBAAA
Fri Aug 21 10:50:23 PDT 2015 --  Les presento a HB 🏽 *aplausos pic.twitter.com/1ZMEwLDb10
Fri Aug 21 07:53:41 PDT 2015 --  Sin duda alguna mi canción FAV TE AMO @mariobautista_ pic.twitter.com/stlu5q9bR4
Thu Aug 20 22:07:39 PDT 2015 --  PAAAR FIN LO SACA EL BAUTISTER! SI ME DAS TU CORAZÓN O O O O O ON! Vayan a ver el lyric video! Te amo @mariobautista_ http://bit.ly/LyricVideoSiMeDasTuCorazon …
Fri Aug 21 10:21:11 PDT 2015 --  Ya es viernes y no haz visto el video nuevo!!? https://youtu.be/dWdpu_E3kUA  (Nocierto no estoy enojada nomas es pa que se espanten pero shh)
Fri Aug 21 10:19:00 PDT 2015 --  Qué bonito las personas que tienen esta imagen de avatar #SiMeDasTuCorazón 🏻 pic.twitter.com/DynZShVaOJ
Fri Aug 21 09:28:39 PDT 2015 --  ¿Bautisters, ya le pusieron a 97.7 FM? Escucha en exclusiva el estreno de #SiMeDasTuCorazón de @mariobautista_ pic.twitter.com/D4iULab5y9
Fri Aug 21 10:15:46 PDT 2015 --  Esto es una locura!! a llevar a numero #1 #SiMeDasTuCorazón 🏻
Fri Aug 21 10:10:43 PDT 2015 --  Los Ame pic.twitter.com/jnaQvWHgBz
Fri Aug 21 10:03:00 PDT 2015 --  En este momento #SiMeDasTuCorazon se acaba de estrenar en @ExaFM del DF 🏻
Fri Aug 21 09:11:03 PDT 2015 --  Ahhh! Cant believe we're performing at the @AppleMusic Festival! Leigh x http://applemusic.com/festival  #AppleMusicFestival pic.twitter.com/d1IYJoHD53
Fri Aug 21 07:41:36 PDT 2015 --  "Break a Sweat" with this cutie @iambeckyg @iHeartRadio's Fiesta Latina! Go to http://Y100.com  to get ur tix! pic.twitter.com/fTBmjQW4O9
Fri Aug 21 06:41:54 PDT 2015 --  🏻🏻🏻🏻 #RKEnFactorXF pic.twitter.com/Jo2xt3y4mA
Fri Aug 21 05:41:22 PDT 2015 --  Empezamos!!! 🏻
Thu Aug 20 21:13:58 PDT 2015 --  #PremiosTuMundo @villalobossebas
Thu Aug 20 21:07:10 PDT 2015 --  Hace un año rompiste record en Yevo mi amor. @mariobautista_ #1DiaParaSiMeDasTuCorazon pic.twitter.com/n9fe8gjdBm
Thu Aug 20 20:51:00 PDT 2015 --  Son azules jaja
Thu Aug 20 20:46:26 PDT 2015 --  Aye 🏼 https://twitter.com/seventeen/status/634545461068697604 …
Thu Aug 20 16:14:23 PDT 2015 --  #DimeSiHoy pic.twitter.com/UXbr2x8QR3
Thu Aug 20 16:19:52 PDT 2015 --  Vamos, vamos!!! #RKEnFactorXF
Thu Aug 20 16:15:04 PDT 2015 --  pic.twitter.com/1ssR8iMRfx
Thu Aug 20 16:09:39 PDT 2015 --  . @AngeloValotta gracias hermano!
Thu Aug 20 16:10:44 PDT 2015 --  En Colombia ya somos TT Graciaaaaaas! Esto es increíble...
Thu Aug 20 16:05:11 PDT 2015 --  Vean la gorra que me dieron en Chihuahua #Caballeros pic.twitter.com/EkCrjjFDtQ
Thu Aug 20 15:54:06 PDT 2015 --  #RKEnFactorXF Vamos por todo @RKARTISTA pic.twitter.com/LTllagLIId
Thu Aug 20 15:54:44 PDT 2015 --  @RKARTISTA No se lo pueden perder♡ #RKEnFactorXF Vamos por TT ♡
Thu Aug 20 15:54:06 PDT 2015 --  Estoy tan ogullosa de ti @RKARTISTA Cada uno de tus logros Me alegran la vida #RKEnFactorXF
Thu Aug 20 15:52:33 PDT 2015 --  Haríamos TT (?) https://twitter.com/flores6deyanira/status/634497720569475072 …
Thu Aug 20 15:51:28 PDT 2015 --  Ya quiero que empiecen los #KCAMexico2015 para rumbear como nunca !!!
Thu Aug 20 15:36:26 PDT 2015 --  HOY no te pierdas los #KCAMEXICO 7pm @mariobautista_ @soypaulinagoto @lalobrito y más! http://www.socialiteen.com/?p=4541  pic.twitter.com/zON1U0hY0t
Thu Aug 20 15:49:16 PDT 2015 --  Seguiré a las personitas que más usen este hashtag... Estoy tan emocionadoooooooo #RKEnFactorXF pic.twitter.com/7GjxPMdeBk
Thu Aug 20 15:48:33 PDT 2015 --  Están listos para rumbear Guadalajara ? 🏻
Thu Aug 20 15:32:31 PDT 2015 --  Las sonrisas son las únicas que no me cansaría de regalar #PaletaPayaso #SonrisasQueAyudan pic.twitter.com/VhmKB8ESoO
Thu Aug 20 15:15:35 PDT 2015 --  ¿ Younow ?
Thu Aug 20 15:13:09 PDT 2015 --  My very funny friend @jackwhitehall has a new movie out tomorrow in cinemas, it's Gona be hilarious #BadEducationMovie
Thu Aug 20 14:51:15 PDT 2015 --  FAV si ya quieres ver el NUEVO VIDEO y si quieres @YouNow para ver los #KCAMexico y @TURNOCTURNO
Thu Aug 20 14:50:10 PDT 2015 --  Ay! Siempre supe que pasaría eso! (Uno los cría en su vientre y nueve meses después, nacen cuervos...) https://twitter.com/cajafresca/status/634481897834442753 …
Thu Aug 20 13:46:21 PDT 2015 --  Esto estará cool!!! #RKEnFactorXF pic.twitter.com/jguaZazL0w
Thu Aug 20 13:32:26 PDT 2015 --  No se que le sucedió a mi internet mas tarde nos vemos en YouNow
Thu Aug 20 13:31:59 PDT 2015 --  Tener el don de reírse por todo. JAJAJAJA!
Thu Aug 20 13:16:00 PDT 2015 --  I had a dream last night i has to leave my house because there was a tsunami coming and it was going to be the end of the world.
Thu Aug 20 13:13:41 PDT 2015 --  VIVO en #YouNow - http://www.younow.com/Soymarioruiz/64011200/9734564/1021/b …
Thu Aug 20 13:00:16 PDT 2015 --  Hoy en #TopRock tendremos la cuenta regresiva con los videos más pedidos y una entrevista en vivo con @bandadeturistas. 19hrs MEX
Thu Aug 20 12:58:05 PDT 2015 --  . @tatto195 @Soymarioruiz @soygiovillalba @llanepiso21 perrito, mal acto con el socito...
Thu Aug 20 12:53:33 PDT 2015 --  @Soymarioruiz @soygiovillalba @llanepiso21 uy mk se paso eso no se hace mucho perro enserio
Thu Aug 20 11:46:32 PDT 2015 --  Foto de feidmde https://instagram.com/p/6m42qLlZOr/  el #TBT que va a valer plata en un futuro, orgulloso de lo logrado en estos 2 años, se te quiere!
Thu Aug 20 11:35:01 PDT 2015 --  Por si lees esto, te amo.
Thu Aug 20 11:34:35 PDT 2015 --  LES GUSTO EL NUEVO VIDEO?https://youtu.be/dWdpu_E3kUA  pic.twitter.com/KYjxkB9h8t
Thu Aug 20 10:40:05 PDT 2015 --  Ya estoy feliz!
Thu Aug 20 10:42:20 PDT 2015 --  Wow, cómo haces?
Thu Aug 20 10:25:19 PDT 2015 --  Buenas tardes princeeeeeshaasss
Thu Aug 20 10:06:46 PDT 2015 --  Yay!! https://twitter.com/ashleeraylene/status/634410681916264448 …
Thu Aug 20 10:06:22 PDT 2015 --  ¡Feliz Cumpleaños @ddlovato! ¿Cuál es tu video favorito de esta cantante estadounidense? pic.twitter.com/6pFje24EC5
Thu Aug 20 10:00:38 PDT 2015 --  ¿Yo qué sé en dónde esta el amor?
Thu Aug 20 09:14:03 PDT 2015 --  Snapchat mario_bautista subiré la rumba en Guadalajara
Thu Aug 20 08:59:54 PDT 2015 --  Hola Guadalajara 🏻
Thu Aug 20 08:59:48 PDT 2015 --  Aquí con @Ro_AvilaR que esta cansado dice yo no le creo pic.twitter.com/iepgE4SRI7
Thu Aug 20 07:08:06 PDT 2015 --  Soo you guys should listen to this right now #BreakASweat on @Vevo http://smarturl.it/BASpv 
Thu Aug 20 01:48:00 PDT 2015 --  Gracias mami por enseñarme a cocinar @shivaojos
Wed Aug 19 20:09:57 PDT 2015 --  #2DiasParaSiMeDasTuCorazon @mariobautista_ pic.twitter.com/WwrSh7XP2k
Wed Aug 19 20:05:51 PDT 2015 --  Ya casi @mariobautista_ #2DiasParaSiMeDasTuCorazon pic.twitter.com/sboMDGucs6
Wed Aug 19 20:08:45 PDT 2015 --  @PaisaVlogs fino 🏼
Wed Aug 19 20:08:56 PDT 2015 --  Gracias @ArathCopca 🏻 pic.twitter.com/8gl9Qn07uO
Wed Aug 19 19:17:35 PDT 2015 --  #2DíasParaSiMeDasTuCorazón POR FAVOR, LA MÍAAAAA @mariobautista_ @Ro_AvilaR pic.twitter.com/l9uzr1wsWp
Wed Aug 19 20:05:43 PDT 2015 --  #2DiasParaSiMeDasTuCorazon pic.twitter.com/CvhU0uJXJO
Wed Aug 19 20:05:15 PDT 2015 --  #2DiasParaSiMeDasTuCorazon Créditos= @Dieztisters Te amamos @mariobautista_ pic.twitter.com/pKrwnpkEoX
Wed Aug 19 19:59:25 PDT 2015 --  YA CASI NOS VEMOS GUADALAJARA @jancarlobg @bengzeng @BigDreamsOfi pic.twitter.com/LJES1LnHzB
