Tue May 26 07:57:11 PDT 2015 --  What a good day for some footbal!!! #blessed #getbettereveryday #lovethegame #witapassion #HTTR
Mon May 25 11:45:19 PDT 2015 --  There's no such thing as NFL off season anymore. News every week.
Fri May 22 11:40:28 PDT 2015 --  Hearts goes out to the family in tragic accident right before my eyes on lee hwy prayers for safe and speedy recovery#HTTR
Thu May 21 07:50:21 PDT 2015 --  This is so true pic.twitter.com/5VD6AdKbLj
Sun May 17 06:37:51 PDT 2015 --  pic.twitter.com/tgQNFW13JT
Wed May 13 16:09:01 PDT 2015 --  In a world where dreams come true everyday anything possible! Everybody have their day some have mre than others those dat dream hard #HTTR
Wed May 13 04:09:56 PDT 2015 --  It come back like clock work
Fri May 08 15:15:13 PDT 2015 --  Nice cruise through the streets of dc#beautifulsight #HTTR what you on???!!!
Fri May 08 09:41:29 PDT 2015 --  Rather hold my head high and die, then live and duck
Fri May 08 06:26:20 PDT 2015 --  Hottub and music #recoveryvibes
Thu May 07 10:43:00 PDT 2015 --  "We playing chess not checkers "
Thu May 07 04:09:17 PDT 2015 --  Up for good now time to go CLOCK IN!!!!! #warzone
Thu May 07 01:29:42 PDT 2015 --  PSA - I've seen tits & ass before. I'm not 1 of the guys that goes coo coo for cocoa puffs at the mere sight of them.
Thu May 07 00:54:57 PDT 2015 --  Guess I'll go to with a lil on the brain! My best way of mentally preparing for #trrwspractice #seasontocome #GHE pic.twitter.com/NYuoueommz
Thu May 07 00:47:20 PDT 2015 --  Seems like everybody in the world is sleep right now and I'm the only odd one up! I See how it would feel if I was the only one on earth lol
Wed May 06 23:56:26 PDT 2015 --  What kills me is how someone expects you to be ok with something they would never be ok with.
Thu May 07 00:42:34 PDT 2015 --  Clowning with the homie J3 @Jarvis99jenkins lil video performance to a lil doe b pic.twitter.com/PF6tUj31c2
Thu May 07 00:27:58 PDT 2015 --  ? Why do ppl hate on others for things they kw they didn't work nor deserve #sucessisearned #sucessiswhatyoumakeit #dropto haters #tmym
Thu May 07 00:14:36 PDT 2015 --  Can't seem to go back to sleep Up watching #futurerama
Thu May 07 00:10:15 PDT 2015 --  Speaking loudly and don't have to say a word @DrayaFace #meaning #tone #definition lol #imsooooodrayya pic.twitter.com/BXQGoMlTiI
