Sat Jan 31 06:04:07 PST 2015 --  That moment bila kau dah landing atas katil pastu lupa pula nak tutup pintu bilik. Jarak dia umpama dari Malaysia nak ke Vietnam.
Sun May 17 07:51:34 PDT 2015 --  " Jangan nangis kalau sedih, tapi senyumlah. Sebab bila senyum, kau akan cuba jadi kuat. Walaupun sebenarnya kau lemah."
Mon May 18 23:51:20 PDT 2015 --  " pernah tak rasa "malas nak kenal sesiapa dah" sebab dah penat? "
Fri Mar 27 04:59:20 PDT 2015 --  masalah yang baru datang boleh kita lupakan dengan cepat. tapi kenangan akan sentiasa segar dalam ingatan walaupun dah lama.
Mon May 11 21:27:11 PDT 2015 --  Bukan gagal tapi belum berjaya
Thu May 14 07:22:08 PDT 2015 --  Goodluck dak dak Uitm. Syukur tu penting. Bukan dekan. Kita belajar utk diri bukan utk lawan result dgn org.
Mon May 04 07:22:03 PDT 2015 --  Mati .
Fri May 01 07:06:35 PDT 2015 --  "'cause im only human, and i bleed when i fall down." - christina perri
Fri Mar 20 12:50:02 PDT 2015 --  Never lie to someone that trusts you.
Thu Apr 30 17:20:47 PDT 2015 --  Orang yang menangis, tidak selamanya akan terus menangis. "Bila tepat waktunya, tangisan tersebut Allah akan gantikan dengan rasa bahagia."
Wed Apr 29 18:08:54 PDT 2015 --  Aku rindu kau laa senget
Tue Apr 28 20:27:24 PDT 2015 --  jauh...terbawa lukisan hatimu
Sun Apr 26 05:57:34 PDT 2015 --  Credit to gemok #iloveutoo ♡
Thu Apr 16 20:55:51 PDT 2015 --  Alhamdulillah.. Hbes jugak
Thu Mar 26 07:00:39 PDT 2015 --  Sometimes I really hate myself for my mistakes and other times I love myself because I'm proud of the person I've become. I'm complicated.
Thu Apr 09 21:09:39 PDT 2015 --  @__AyiennN Hai najla
Tue Mar 10 10:50:09 PDT 2015 --  Pagi rindu je. Malam rindu lebih sikit. Tengah malam suddenly semua memories datang macam air terjun mengalir deras.
Wed Apr 01 05:07:13 PDT 2015 --  dingin bayu rindu menampar wajah suramku yang menanti khabaran darimu. kutunggu utusanmu selalu meski yang sering hadir cuma bayu rindu.
Thu Apr 02 01:20:07 PDT 2015 --  Persahabatan yang begitu erat punya pengertian yang dalam bagi kita yang menghargainya
Mon Mar 30 07:07:21 PDT 2015 --  "Ambil masa. Hargai apa yang masih Allah kurnia untuk kita serap dengan segala pancaindera yang ada." - Hlovate.
Mon Mar 30 10:29:45 PDT 2015 --  Waktu berhenti, ku toleh ke sisi. Engkau tiada di samping ku..
Tue Mar 24 22:02:45 PDT 2015 --  T.H.E.M
Thu Mar 19 06:24:12 PDT 2015 --  Ain gemok
Thu Mar 19 03:35:11 PDT 2015 --  → sh ←
Mon Mar 16 20:46:36 PDT 2015 --  Shitsuke
Sun Mar 15 04:33:45 PDT 2015 --  
Mon Mar 09 00:01:43 PDT 2015 --  Kita ada 9 jam ok @AmalynaSulaiman ...lepas 9 jam settle..pengsan semua sekali
Sun Mar 08 23:47:52 PDT 2015 --  Jump in above..jump in carry..jump ..jump....jump...sat lagi saya yg jump...
Tue Feb 24 16:16:53 PST 2015 --  Update : Malam Anugerah Sukan Kampus 2014. Tarikh : 10 Mac 2015 Tempat : Dataran PTDI #semuaatlet
Thu Mar 05 00:26:41 PST 2015 --  Leave me alone..thank you
Wed Feb 25 04:50:01 PST 2015 --  I wish you lived next door.
Mon Feb 23 17:31:03 PST 2015 --  Selamat Pagi Warga UiTM Johor! Selamat Datang diucapkan kepada Mahasiswa/i Ijazah. Selamat menjadi ahli keluarga UiTM Johor! :)
Mon Feb 23 06:05:15 PST 2015 --  
Wed Feb 18 22:39:51 PST 2015 --  Gemokkkk ...
Sun Feb 01 01:49:11 PST 2015 --  
Thu Jan 29 07:34:17 PST 2015 --  Hamboii sorakk dia..sampai ke sini..tak nak kalah sungguh..hahhahahaha :D
Tue Jan 27 06:35:07 PST 2015 --  Tetiba semangat nak study game..ngee
Tue Jan 27 02:18:49 PST 2015 --  Jauh lagi perjalanan. Banyak lagi ragam manusia nk kena layan.
Fri Jan 23 19:26:14 PST 2015 --  I love you with all my heart.
Mon Jan 26 06:43:01 PST 2015 --  Sometimes losing a battle helps you find a new way to win the war.
Mon Jan 26 05:58:30 PST 2015 --  Jangan laa nak protes sangat..ngee Ea ea? Hahahahhahahahahaha..
Sun Jan 25 07:49:32 PST 2015 --  Indahnya jika kita dapat bersama Hidup selalu gembira didunia ini Lagi indahnya jika kita dapat bersama Hidup ddalam gembira di akhirat sana
Sun Jan 25 07:10:27 PST 2015 --  Kepada jam subuh saya..jangan lupa jalankan tanggungjawab anda ye esok..trimas ^^
Sat Jan 24 03:30:40 PST 2015 --  @__AyiennN haaa tu la tu.. Kesian ainn..
Sat Jan 24 03:09:25 PST 2015 --  Maaf laa..saya ni memang suka buat kerja luar alam sikit..
Fri Jan 23 23:27:37 PST 2015 --  Nanti pape ain update balik dgn nura k..take care :)
Fri Jan 23 23:17:30 PST 2015 --  Omw to shah alam
Thu Jan 22 17:10:45 PST 2015 --  I will be fine..its okay :)
Tue Jan 20 21:01:04 PST 2015 --  Penawar please
Sun Jan 18 20:43:46 PST 2015 --  I'm gonna be okay :)
Thu Jan 15 08:41:54 PST 2015 --  Gemokkk →←
Wed Jan 14 21:23:59 PST 2015 --  Sakitnya tu disini ••°
Mon Jan 12 07:47:38 PST 2015 --  Feeling too sleepy to start doing the script.. I guess it's time to eat...
Mon Jan 12 07:50:11 PST 2015 --  @__AyiennN OKAYYYYY ITE TUNGGU...Kali ni bwk beg baju skali..tdo sektor c..
Sun Jan 11 16:30:14 PST 2015 --  Faking confidence can positively influence your brain chemistry and change your life.
Mon Jan 12 04:04:19 PST 2015 --  @__AyiennN AINNNNNNN!!!! COMEL!!!! MATA CANTIK!!!!! HAHA!!! RINDDUUU AWAKK!!!!
Sat Jan 10 05:16:57 PST 2015 --  More than words-westlife
Mon Jan 05 02:32:52 PST 2015 --  falia ♡ siha ♡ fanad ♡ aina ♡
Sat Jan 03 23:30:10 PST 2015 --  I hate when I miss someone and can't do anything about it.
