Thu Aug 13 17:10:40 PDT 2015 --  #HTTR ALL UP & DOWN YOUR TIMELINE HOE!!!
Thu Aug 13 17:10:01 PDT 2015 --  Put the man on the blueprint 3... He definitely co-signed him. You can't be attached to the man hip. https://twitter.com/mr1738/status/631978633872019456 …
Wed Jul 22 13:53:40 PDT 2015 --  . @Seahawks one more of these probably could've helped... pic.twitter.com/T1rHpVW5NF
Thu Aug 13 13:57:24 PDT 2015 --  I'm actually really excited to see what Matt Jones has to offer in this preseason debut. I love Alfie Moe but this dude seems beastly...
Thu Aug 13 04:00:06 PDT 2015 --  The hard part is getting up to go workout. But once you've finished the workout you feel awesome.
Tue Aug 11 19:46:19 PDT 2015 --  This dude really siced me with 2 free vinyl records yo! I'm hype!!
Tue Aug 11 19:45:58 PDT 2015 --  So I bought 3 vinyls today when I picked up the bag it seemed really heavy. I look in the bag and I see 5 vinyl records
Tue Aug 11 13:48:07 PDT 2015 --  My man Rome still got played though lol https://twitter.com/lifewithjrdn/status/631164753193357312 …
Sun Aug 09 14:38:41 PDT 2015 --  Yo that last video about your vinyl collection was gold. My collection is ass but I'm Tryna get up there lol @mykectown
Sat Aug 08 20:37:09 PDT 2015 --  Bruh...let your woman watch you doing whatever your passion is. You look up and she like pic.twitter.com/fcDkU8yZ9G
Sat Aug 08 13:43:31 PDT 2015 --  Smh damn. RIP Sean Price... I recently revisited that Mic Tyson album too..
Fri Aug 07 17:25:51 PDT 2015 --  Crunch time.
Thu Aug 06 11:04:26 PDT 2015 --  Happy Birthday to my rolldawg @MrGQ671 Sam the Man!
Thu Aug 06 11:02:49 PDT 2015 --  Add in my $5 too. https://twitter.com/lizzs_lockeroom/status/629351664202477568 …
Thu Aug 06 07:56:16 PDT 2015 --  That's @TAXSTONE episode with Memphis Bleek was actually really dope. My favorite episode next to that Therapy joint.
Thu Aug 06 05:08:29 PDT 2015 --  @MrGQ671 well happy birthday!
Wed Aug 05 15:47:43 PDT 2015 --  Leaders eat last
Tue Aug 04 20:36:29 PDT 2015 --  Damn. I see how people can get seriously caught up in this Twitter life and not get any sleep. Lemme go ahead and let these Z's troop. Lol
Tue Aug 04 20:26:55 PDT 2015 --  Wholeheartedly agree with this statement. https://twitter.com/jayburritos/status/628765560180998144 …
Tue Aug 04 20:25:11 PDT 2015 --  Influenced*
Tue Aug 04 20:24:37 PDT 2015 --  Kanye influence me in so many ways I probably don't even recognize lol.
Tue Aug 04 20:23:50 PDT 2015 --  Kanye is that one artist that I almost Stan for. ALMOST.
Tue Aug 04 20:18:44 PDT 2015 --  I go back & forth with College Dropout & Late Registration just like I go back & forth with Low End Theory & Midnight Marauders.
Tue Aug 04 19:07:58 PDT 2015 --  ASAP Rocky and Tyler the Creator on tour is the best news of the day.
Tue Aug 04 16:38:57 PDT 2015 --  I think ray rice deserves a 2nd chance if Greg Hardy does
Tue Aug 04 15:30:51 PDT 2015 --  Moral of this story: people go hard for FF. We weren’t even playing for $ at that time. Just pure fun.
Tue Aug 04 15:30:08 PDT 2015 --  Sammy also vowed that he wouldn’t ask that guy to participate in our league again. He didn’t & none of my players were dropped :)
Tue Aug 04 16:40:02 PDT 2015 --  you re-telling this story is so funny as I look back at it. https://twitter.com/ericabburn/status/628693968419749890 …
Tue Aug 04 12:08:25 PDT 2015 --  I can guarantee whatever my problem was I won't be that mad when you finally get on the phone with me.
Tue Aug 04 12:07:29 PDT 2015 --  Why not incorporate J. Dilla instrumentals as hold music when calling customer service and waiting your turn to talk to a representative?
Tue Aug 04 09:19:59 PDT 2015 --  That's how it feels don't it? https://twitter.com/thisisrory/status/628599834937806848 …
Tue Aug 04 07:39:53 PDT 2015 --  Prez bday 2 days before mine. I been told y'all #Leos run the world. https://twitter.com/complexpop/status/628570852796297216 …
Tue Aug 04 05:12:02 PDT 2015 --  I would love for him to drop another album. Wasn't really a fan of that Kamau stuff he was doing.
Tue Aug 04 05:11:28 PDT 2015 --  I liked R O Y A L T Y but it was my least favorite body of work from him.
Tue Aug 04 05:10:23 PDT 2015 --  Favorite Childish Gambino verse is the joint he spit on American Royalty with Bobby Digital aka RZA. That joint is so cold.
Tue Aug 04 04:08:29 PDT 2015 --  I'm in a funk and I need to snap out of it.
Thu Feb 20 22:08:04 PST 2014 --  A simple retweet could get him home pic.twitter.com/FS1nKPga5M
Mon Aug 03 20:41:09 PDT 2015 --  I just put this in the Google search bar not too long ago!!! LET'S GO!!! https://twitter.com/okayplayer/status/628197945956036608 …
Mon Aug 03 20:40:39 PDT 2015 --  I just put this in the Google search bar not too long ago!!! LET'S GO!!! https://twitter.com/okayplayer/status/628197945956036608 …
Mon Aug 03 19:33:31 PDT 2015 --  Ah well.
Mon Aug 03 19:30:30 PDT 2015 --  My birthday is in 2 days and I have no plans.
Mon Aug 03 18:27:45 PDT 2015 --  RT @NY_Wiseass: RT @Aneerinyourear: Somewhere @50cent is looking at @Drake 's pettiness like pic.twitter.com/dPabXcvMvu
Mon Aug 03 17:47:40 PDT 2015 --  I can name a bunch of albums that changed my life.
Mon Aug 03 17:47:22 PDT 2015 --  Bruh. Seeing Sounds damn near changed my life.
Mon Aug 03 17:45:11 PDT 2015 --  N.E.R.D. 'Seeing Sounds' will forever be near & dear to me.
Mon Aug 03 14:56:58 PDT 2015 --  VIDEO: Basketball impersonator @BdotAdot5 takes on @kobebryant in his latest edition http://ble.ac/1MIB4ai  pic.twitter.com/cWPylltMjQ
Mon Aug 03 14:32:30 PDT 2015 --  RT @vistabaseball11: RT when you see it pic.twitter.com/Jf7z2OkERc
Mon Aug 03 10:54:13 PDT 2015 --  I'm really a fan of dope content that's made independently. I'm 1000x more intrigued when it's black owned. You have my support 100%.
Mon Aug 03 10:41:22 PDT 2015 --  @MrGQ671 - Much love to you!
Mon Aug 03 08:55:39 PDT 2015 --  Shout outs to @RunawayJukebox though. Dope ass podcast.
