Wed Aug 26 09:22:22 PDT 2015 --  GTA 5 - Los Santos At Night (GTA V Rockstar Editor Video) https://youtu.be/ND5kOJUO68s  via @YouTube
Thu Aug 20 08:11:11 PDT 2015 --  GTA 5 BMX scraps #2 (GTA V PC BMX STUNTS MONTAGE) https://youtu.be/3GJS7TsLlDE  via @YouTube
Thu Aug 20 06:43:32 PDT 2015 --  RAP - NOS FAIBLESSES / Feat LOAM https://youtu.be/Ppyq4bWfnyk  via @YouTube @D4LYMOTION a chaque fois j'ai les larmes qui coule GG les mecs
Mon Aug 17 09:39:16 PDT 2015 --  Y'a un blem ? pic.twitter.com/9SpEGv1yXH
Mon Aug 17 04:23:06 PDT 2015 --  Oua sa fait a peine 1 semaine que j'ai skype et je suis dégà à une soixantaines d'abonnés
Sun Aug 16 13:10:04 PDT 2015 --  GTA 5 Epic BMX tricks #15 'Evolve introduction'' (GTA V BMX MONTAGE ) https://youtu.be/Jey71tElfUo  via @YouTube vous géré les mec !
Sun Aug 16 09:08:45 PDT 2015 --  ET VOUS M'ENGUEULEZ QUOI J'HALLUCINE ! Oui je retourne faire le montage ._. #LT #soumis #esclave #daccordpapa #jyvaisdecepas #dsldsl #PLS
Fri Aug 14 11:15:26 PDT 2015 --  Au mon dieux l'un des premier stunter que j'ai suivi vien de mettre en favoris mon message @MrVeyron5 Merci :)
Fri Aug 14 10:54:45 PDT 2015 --  les meilleurs youtubeur : @jun @Mafiastunting @LasalleMQS @UnwinGTA @AidenShow @MrBboy45 @mraurelytb et @MrVeyron5
Thu Aug 13 07:05:39 PDT 2015 --  As toute personnes youtubeurs , youtubeuses , respect pour vous qui, mette des heure de boulot pour nous satisfaire !
Thu Aug 13 02:57:52 PDT 2015 --  BONJOUR LÉ ABONÉ DE CYRIL pic.twitter.com/xnIVY6T43O
Thu Aug 13 03:11:02 PDT 2015 --  Star Wars The Force Awakens : Le plein de détails sur Kylo Ren http://www.gamer-network.fr/actualites/99274-star-wars-the-force-awakens-kylo-ren … pic.twitter.com/Ff45xiwXsu
Thu Aug 13 04:21:41 PDT 2015 --  Ces gens ont hacké mon Twitter. Merci de signaler leur identité au soldat baguette le plus proche de vous!! pic.twitter.com/gIwdCEUOnQ
