Sun Aug 09 11:35:51 PDT 2015 --  Support Lobotomy Board Game on Kickstarter! https://goo.gl/VJ68ja  pic.twitter.com/uRc7WMiINJ
Thu Mar 04 21:10:09 PST 2010 --  just tagged some photgenic pictures
Thu Mar 04 20:22:00 PST 2010 --  Yr13 camp was intents
Fri Oct 09 20:44:01 PDT 2009 --  facebook. and graphics homework
Fri Oct 09 20:29:20 PDT 2009 --  2 days tille school with homework to do lol
Thu Oct 08 04:45:07 PDT 2009 --  lying in bed. cant get to sleep. listening to the edge.
Mon Oct 05 23:01:13 PDT 2009 --  Bloody Graphics Homework!!!!!!!!!
Sun Oct 04 19:41:22 PDT 2009 --  @lilybethh Party was pretty bad ass.
Sun Oct 04 19:40:40 PDT 2009 --  On computer, bored out of my mind. Should prob do graphics homework
Thu Jun 04 00:41:39 PDT 2009 --  Being Bored
