Wed Aug 26 03:36:03 PDT 2015 --  Favorite from the best thank youu abou elias pic.twitter.com/BCj6cauSRo
Wed Aug 26 02:53:52 PDT 2015 --  Helaaaaaa ! Yessss nassif zeytoun retweeted me ! The happiest day in my life thank youu @ZeytounNassif ily pic.twitter.com/ko1FkGyPY8
Wed Aug 26 03:13:11 PDT 2015 --  شو في احلى من انو فنانك المفضل يعملك retweet و favorite بنفس اليوم؟؟!! هيدا احلى نهار بحياتي الحمد الله
Wed Aug 26 04:45:17 PDT 2015 --  pic.twitter.com/YYbSsdboDR
Wed Aug 26 03:58:02 PDT 2015 --  برشلونة يحقق رقم قياسي في دوري الأبطال http://www.oleeh.com/N.aspx?nid=206475#barca … pic.twitter.com/ki547obeKJ
Wed Aug 26 04:01:23 PDT 2015 --  صورة | ميسي، سواريز ونيمار في تدريبات الفريق اليوم تحضيراً لمباراة ملقا يوم السبت المقبل . pic.twitter.com/UAH5KN9xFH
Wed Aug 26 04:35:07 PDT 2015 --  سيُرافق البعثة أيضاً كارليس بويول و سيُشارك في عملية سحب قرعة الأبطال بجانب زوبيزاريتا.
Wed Aug 26 04:40:22 PDT 2015 --  صور | تدريبات الفريق اليوم الصباحية تحضيراً لمباراة فريق ملقا يوم السبت المقبل . pic.twitter.com/Eoxdkk8n1p
Tue Aug 25 12:56:56 PDT 2015 --  pic.twitter.com/POUnOUgdo9
