Thu Aug 20 13:28:41 PDT 2015 --  http://www.theladbible.com/articles/london-apartments-are-being-built-with-a-floating-glass-bottomed-outdoor-swimming-pool …
Mon Aug 17 15:23:45 PDT 2015 --  . @QBE flags higher dividends for investors in 2016 as half-year profit rises 24pc @ruthliew #ausbiz http://www.afr.com/business/insurance/qbe-flags-higher-dividends-for-investors-in-2016-as-halfyear-profit-rises-24pc-20150817-gj0trj …
Sat Aug 15 18:40:22 PDT 2015 --  Queensland earthquakes: Insurance council to cast close eye on quake claims for fraud http://www.abc.net.au/news/2015-08-07/insurance-council-to-monitor-qld-quake-claims-for-fraud/6681226 … via @abcnews
Fri Aug 14 16:52:46 PDT 2015 --  WELCOME TO @AUDI #HAMILTONISLAND RACE WEEK 2015 - Join us for an incredible week ahead via #AHIRW pic.twitter.com/qmJ2ABGJra
Sun Aug 02 22:46:12 PDT 2015 --  "One day my dad went to work and never made it home..." Shane Webcke, Safety Ambassador. https://amp.twimg.com/v/df55c802-ab0b-4690-8f79-c4058bc7864d …
Wed Aug 12 21:18:45 PDT 2015 --  Cockroach in ‘wild mushroom’ sauce http://bit.ly/1EokkNp 
Wed Aug 12 15:00:07 PDT 2015 --  Increase your sports club’s potential. Apply for the Community Sport Clubs Grant Program. #Teambne http://bne.cc/1gB97Uj 
Wed Aug 12 00:37:05 PDT 2015 --  Morning all! #recipeoftheday One-cup pancakes with blueberries. A super-easy breakfast http://jamieol.com/XVKXNv  pic.twitter.com/YfHy14uGO8
Wed Aug 12 00:26:10 PDT 2015 --  Competition heats up on coveted Sydney to Bali route as @AirAsia X announces flights. http://www.9news.com.au/national/2015/08/12/16/45/competition-heats-up-on-coveted-sydney-to-bali-route-as-airasia-x-announces-flights … #9News pic.twitter.com/Tf52N9udju
Mon Aug 10 06:17:15 PDT 2015 --  The Apollo 11 astronauts didn't have life insurance, so they signed hundreds of autographs and sent them to family to sell if they died.
