Tue Aug 25 01:49:37 PDT 2015 --  terus ol-ol mention gue penuh lalalala
Tue Aug 25 01:49:04 PDT 2015 --  aduh,ano hito nyebelin banget deh.pengen gue pel mulutnya.kampret banget.sial gue bete banget sama dia. gue doain aja dah biar dia ga stress
Mon Aug 24 20:50:39 PDT 2015 --  @liloclilac @ruysheka eh, jangan mendahului dong matinya! (......)
Mon Aug 24 20:31:21 PDT 2015 --  @ruysheka iya tetep kok.
Mon Aug 24 20:27:48 PDT 2015 --  @bygjjang @ruysheka DAENII GA PEKA! DASAR PLAYBOY!! *tendang jauh2*
Mon Aug 24 20:27:22 PDT 2015 --  @bygjjang @ruysheka ga mau pusing ah... *boboan* hicchan udah buat aku pusing... klo ga kuat, kubuat plot rip aja #jahat
Mon Aug 24 20:26:45 PDT 2015 --  @liloclilac @ruysheka daenii kan ngiranya mimo masih polos hahahihi gitu :'3
Mon Aug 24 20:24:07 PDT 2015 --  @bygjjang @ruysheka Daenii ga sadar diri bikin Mimosa stress dan galau gulana! (눈_눈)
Mon Aug 24 20:17:34 PDT 2015 --  @ruysheka @liloclilac let it flow ajalah~ 8D
Mon Aug 24 07:38:57 PDT 2015 --  Yunhee cegukan, knp skrg gue juga...
Mon Aug 24 06:57:10 PDT 2015 --  Belum bisa pulang karena hrs bantu kakak mengerjakan sesuatu
Mon Aug 24 06:38:20 PDT 2015 --  Yunhee: D-diam!!! *merah mukanya* *PM NGAKAK, digaplok yunhee* dae lg full bless abis @bygjjang
Mon Aug 24 03:18:08 PDT 2015 --  kenalin~ @ikemenwota adalah brondong aku >,< dan ini @liloclilac (moy), adik-adikan aku >,<
Mon Aug 24 02:53:32 PDT 2015 --  Krystal - Suho cute juga /hmmm https://twitter.com/kyungfusing/status/635741116000636932 …
Mon Aug 24 02:26:52 PDT 2015 --  OMG!!!! *EMAK BUAT TUMPENGAN* PECAH TELOR! FIRST KISS YUNHEE!!!! *ngakak hard*
Mon Aug 24 02:26:02 PDT 2015 --  DAE YONG BYUN! GOD REALLY BLESS YOU!
Mon Aug 24 02:08:36 PDT 2015 --  Yunhee: kampret itu adalah saat si bayi besar nyari kesempatan dalam kesempitan *tendang @bygjjang* Emak: *ngakak hard* GO DAE GO!
Sun Aug 23 23:54:04 PDT 2015 --  Tsubame dan Minoru akhirnya pecah telur *saya terharu*
Sun Aug 23 22:43:29 PDT 2015 --  Mulai aktivitas minggu ini dgn semangat, sama seperti anak-anak SOS yg semangat ke sekolah. #DesaAnakSOS pic.twitter.com/c0ZWFooilp
Sun Aug 23 22:59:09 PDT 2015 --  沖縄行きのスーツケースをホテルからそのまま家に送り返し、美味しいもので荒ぶる心を鎮める…。 京都ぶらぶらして夜には解散予定( ˘ω˘ ) pic.twitter.com/NzezXQHNrb
Sun Aug 23 23:12:46 PDT 2015 --  Yeah, indeed. https://twitter.com/PoemPorns/status/635693037419634688 …
Sun Aug 23 23:00:55 PDT 2015 --  rupert grint's favourite line as ronald weasley: "Bloody Brilliant!" #HappyBirthdayRupertGrint pic.twitter.com/ZaTW48I1c4
