Wed Aug 26 11:28:57 PDT 2015 --  Nouvelle vidéo https://youtu.be/h9dmsyRLvbM 
Wed Aug 26 11:08:32 PDT 2015 --  Call of duty : Black ops 3 Bêta - Gameplay: http://youtu.be/h9dmsyRLvbM?a  via @YouTube
Wed Aug 26 10:28:36 PDT 2015 --  à 40 RT je choisis un chanceux pour voir la vidéo de VENDREDI en AVANT AVANT DERNIER :D non lol, avant première!! :'p pic.twitter.com/qUCdzZGTWL
Wed Aug 26 10:17:29 PDT 2015 --  J'aime une vidéo @YouTube : "Les vacances ratées 2 - Natoo" à l'adresse http://youtu.be/CTNxWJPqj38?a .
Wed Aug 26 10:13:04 PDT 2015 --  J'aime une vidéo @YouTube de @xsqueezie - LE VRAI VISAGE DE JUMBO http://youtu.be/xxJ5f2_ELXE?a 
Wed Aug 26 08:18:22 PDT 2015 --  Moi au taff en étant YouTuber. pic.twitter.com/JOrit9s8FT
Wed Aug 26 08:17:07 PDT 2015 --  Moi au taff si j'avais pas été YouTuber. pic.twitter.com/N97r5VSPZg
Wed Aug 26 09:40:33 PDT 2015 --  J'aime une vidéo @YouTube : "[BO3 KILLCAM] 26 Aout 2015 | Clip du Jour | commenté par Dadou" à l'adresse http://youtu.be/j1YKjdWkdAY?a .
Wed Aug 26 08:50:39 PDT 2015 --  J'aime une vidéo @YouTube de @farodgames - LE JEU MALSAIN - Sonic Dreams Collection http://youtu.be/rykAwP-tlDk?a 
Wed Aug 26 08:44:15 PDT 2015 --  #RT Si tu as regardé ma dernière vidéo ! https://www.youtube.com/watch?v=9S9fumKOmG4 …
Wed Aug 26 07:05:29 PDT 2015 --  J'aime une vidéo @YouTube de @newtiteuf - Sky Defender 2 #02 - On a pris le Melon ! http://youtu.be/RuU-UByD2qQ?a 
Wed Aug 26 06:34:11 PDT 2015 --  Pour les fan de one peace vous cette servie https://twitter.com/RubberNigga/status/631522323506421760 …
Wed Jul 22 04:12:33 PDT 2015 --  - t'en es a quel saison toi ? - la 2 - aaaaah donc pour toi ( nom ) il est pas encore mort alors? - https://vine.co/v/eBp0TLTeiwI 
Tue Aug 25 01:03:01 PDT 2015 --  Avec l'appli Contrôle Parental, vos enfants sont préservés des dérives d'Internet http://bit.ly/1h0SiSR  pic.twitter.com/7j9FK7N7K7
Tue Aug 25 19:03:03 PDT 2015 --  Dragon Ball Super : Végéta est-il devenu plus fort que Sangoku ? http://u.melty.fr/d8ujs  via @melty_fr
Tue Aug 25 18:55:40 PDT 2015 --  TOUT CEUX QUI FONT PARTI DE LA TEAM BADBOY AVEC MOI JE LE VEUX LE VOIR DANS VOS BIO LAAAAAA! les badgirl aussi...
Tue Aug 25 04:27:33 PDT 2015 --  On vous a dis stop Vous allez me tuer pic.twitter.com/5SqJCDCjxe
Tue Aug 25 15:52:33 PDT 2015 --  J'aime une vidéo @YouTube : "Un mec méga vulgaire et hystérique - C’Cauet sur NRJ" à l'adresse http://youtu.be/HJts4rU7-Fg?a .
Tue Aug 25 15:30:45 PDT 2015 --  J'aime une vidéo @YouTube de @guillaumepley - Guillaume Pley appel un pervers "hommepourfemme" et fou rire en direct
Tue Aug 25 11:58:30 PDT 2015 --  J'aime une vidéo @YouTube de @lebonplandugeek - CALL OF DUTY BLACK OPS 3 NINJA DEFUSE http://youtu.be/KQIf_UDEpgY?a 
Tue Aug 25 11:58:08 PDT 2015 --  J'aime une vidéo @YouTube de @lebonplandugeek - LES 10 SECRETS QUE CACHE DISNEYLAND ! http://youtu.be/ipVOLfFfpl8?a 
