Fri Aug 07 19:48:28 PDT 2015 --  Every 90s kids ipad pic.twitter.com/RDYQdinyCs
Mon Jul 20 08:38:17 PDT 2015 --  Don't reach pic.twitter.com/4jBAen7fv4
Wed Jul 15 15:38:25 PDT 2015 --  #TodayKidsWillNeverKnow this Ray Allen pic.twitter.com/kXfMzx52zR
Mon Aug 10 09:22:39 PDT 2015 --  I got strong genes my lil boi look just like me pic.twitter.com/E1x8sKiqCB
Fri Nov 08 16:27:17 PST 2013 --  “ @NuteIla: sober guys at parties with drunk girls pic.twitter.com/mu5MOotXAC” I'm weak! I hate this shit but it's hella true.
Fri Dec 20 08:44:26 PST 2013 --  Whose trying to come hoop at sports of all sorts in mt zion @ 12:30
Tue Dec 10 16:05:52 PST 2013 --  My goodness it feels good to be back and playing! Easy to take it all for granted.. God I LOVE playing this game #blessed
Tue Dec 10 18:11:44 PST 2013 --  #GoLakers
Tue Dec 10 14:43:22 PST 2013 --  Old pic but needed one for Twitter pic.twitter.com/JiuoSZcjWZ
