Mon Aug 24 16:32:15 PDT 2015 --  Gözlerimi kapattim aklım sende kaldı. https://youtu.be/JE93GEJeOt0  @YouTube aracılığıyla
Mon Aug 24 15:10:46 PDT 2015 --  Benim sabrımla oynama LANET ETTİM seni tanidigim gune her gece ...
Sun Aug 23 02:59:57 PDT 2015 --  Yasak bir nüsha gibi seni saklıyorum artik kalbimin sol alt köşesinde ki düşler sokağında bir dağa hiç çıkmayacasina. Ömer Avincan.
Thu Aug 20 08:03:26 PDT 2015 --  Hem ben çirkin miyim sevgilim? Ben de insanoğluyum. Bu, senin beni bir sevmene bakar..
Thu Aug 20 01:54:54 PDT 2015 --  Eğer karşınızdaki kişi sizi gerçekten seviyor olsaydı dayanamazdı konuşurdu; o yüzden zamanınızı beklemekle harcamayın. Gökyüzünü sevin.
Wed Aug 19 11:40:37 PDT 2015 --  Her şeyi ve herkesi karşımıza almadan, ne sen Leyla olabilirsin ne de ben Mecnun.. Leyla ile Mecnun
Wed Aug 19 09:39:09 PDT 2015 --  Oluk oluk akar kan misali göz yaşları ananin göz çukurlarindan OĞLUM OĞLUM diye kalp parcalanir çalınan kapi ziliyle ve kesilirken nefes.
Tue Aug 18 14:49:12 PDT 2015 --  Seni bu şehirde en çok ben özlüyorum söyle bana seni nasıl sevmeliyim...
Sat Aug 15 08:11:29 PDT 2015 --  "Gönülden sevmeler gerek bize. Temiz ve hesapsız." /Hz. Mevlana/
Sat Aug 15 04:02:37 PDT 2015 --  Sessiz diyarlarin boşluk gecelerinde ansizin akan ve yaprak misali dalgalanan zaman dilimlerinin çılgınca akan rüzgarlarinda yaşıyoruz.
