Tue Aug 04 12:53:21 PDT 2015 --  The planning tho!!! https://twitter.com/Katy_emz/status/628653041965772800 …
Fri Jun 19 13:26:20 PDT 2015 --  She Strikes AGAIN WITH ANOTHER BLUE!!! @So___Katy
Sun Jun 14 00:46:18 PDT 2015 --  OMG, AS IF YOU PACKED RONALDO!!! @So___Katy
Wed May 27 13:47:12 PDT 2015 --  #FifaAarrests haha, already corruption has started in the world of football #WORLDCUPOFFRAUD
Wed May 27 13:39:27 PDT 2015 --  #TOTSTREAM @Shabira12345 hoping for some blues,IF,purples...ect: opening packs for days #10PM pic.twitter.com/1y5j3T2dOK
Fri May 22 14:36:12 PDT 2015 --  A msg from the FIFA Team in support of @Castro1021's 50hr stream for cancer support, an issue close to their hearts. pic.twitter.com/kWpUkQw8pH
Mon May 18 10:36:41 PDT 2015 --  OMFFJAUSUHAODH!!!! My sist.. Neighbour Alice is wearing the first ever @SyndicateOG Matrix Hoodie!!! I'm so jelly!!! pic.twitter.com/jnb7syeYZc
Mon May 18 10:24:19 PDT 2015 --  True dat https://twitter.com/Lyricoldrap/status/600349877143474177 …
Mon May 18 10:15:59 PDT 2015 --  Can't we all just get along?
Mon May 18 10:01:46 PDT 2015 --  Minecraft: Mianite: MEETING MYSELF! [S2:E63]: http://youtu.be/6KmhA7-AN0U?a  via @YouTube
