Tue Aug 18 09:50:07 PDT 2015 --  ""No hay conversaciones vacías, solo pensamientos sordos""
Sat Aug 15 12:40:16 PDT 2015 --  Cuando alguien desea algo debe saber que corre riesgos y por eso la vida vale la pena. #SIGUEMEYTESIGO #Pensamientos
Thu Aug 13 11:10:35 PDT 2015 --  He perdido a 13 seguidores recientemente y se quiénes son gracias a http://Unfollowers.com 
Sat Aug 08 12:35:32 PDT 2015 --  jajajaja seeeeeeee!!! pic.twitter.com/FuGTemCZSg
Fri Aug 07 18:15:17 PDT 2015 --  Si yo se que tú eres, y tú sabes que yo soy, quién va a saber quien soy yo cuando tu no estés. #SIGUEMEYTESIGO #BuenViernes
Fri Aug 07 11:15:47 PDT 2015 --  "Algunas personas solo necesitan una palmadita…. en la cara…. con un martillo." #FelizViernes #SIGUEMEYTESIGO
Fri Aug 07 11:10:06 PDT 2015 --  pic.twitter.com/GRCK369J4E
Fri Aug 07 09:05:04 PDT 2015 --  Hoy es viernes y el cuerpo lo sabe!!!!! #BuenViernes #SIGUEMEYTESIGO
Fri Aug 07 08:51:44 PDT 2015 --  Nuevo twitter el antiguo se bloqueo :( #SIGUEMEYTESIGO #WWERAW #Barcelona
